Municipio,Total
Jiménez,25.0
Jungapeo,19.0
Nuevo Parangaricutiro,487.0
Tlalpujahua,39.0
Aquila,6940.0
Copándaro,9.0
Charapan,5784.0
Cojumatlán de Régules,7.0
Tzintzuntzan,1790.0
Taretan,30.0
Panindícuaro,19.0
Puruándiro,166.0
Jacona,677.0
Álvaro Obregón,20.0
Charo,79.0
Chilchota,19003.0
San Lucas,32.0
Salvador Escalante,62.0
Tingüindín,594.0
Huaniqueo,11.0
Tumbiscatío,25.0
Numarán,11.0
Tocumbo,60.0
Angangueo,20.0
Nuevo Urecho,19.0
Tingambato,861.0
Venustiano Carranza,41.0
Tancítaro,255.0
Huandacareo,32.0
Morelia,3811.0
Angamacutiro,22.0
Villamar,23.0
Huetamo,62.0
Hidalgo,156.0
Pajacuarán,40.0
Tanhuato,152.0
Tacámbaro,163.0
Total estatal,136608.0
Zamora,1211.0
Múgica,105.0
Senguio,22.0
Erongarícuaro,2750.0
Pátzcuaro,4863.0
Briseñas,26.0
Aguililla,53.0
Cherán,4310.0
Tzitzio,20.0
Tiquicheo de Nicolás Romero,33.0
Sahuayo,123.0
Tangamandapio,8544.0
Ecuandureo,31.0
Indaparapeo,23.0
La Piedad,338.0
Lagunillas,5.0
Nocupétaro,5.0
Tuxpan,35.0
Ocampo,89.0
Coahuayana,88.0
Madero,44.0
Arteaga,42.0
Zináparo ,5.0
Epitacio Huerta,42.0
Purépero,62.0
Marcos Castellanos,28.0
Cotija,33.0
Quiroga,7355.0
Uruapan,18020.0
Tlazazalca,13.0
Penjamillo,17.0
Tepalcatepec,38.0
Ziracuaretiro,122.0
Churumuco,19.0
Zacapu,804.0
Vista Hermosa,30.0
Gabriel Zamora,31.0
Buenavista,188.0
Coeneo,3727.0
Juárez,17.0
Yurécuaro,593.0
Ixtlán,21.0
Susupuato,122.0
Paracho,9916.0
Apatzingán,414.0
Ario,122.0
Carácuaro,13.0
Acuitzio,23.0
Los Reyes,10680.0
Lázaro Cárdenas,1450.0
Zitácuaro,5196.0
Turicato,578.0
Cuitzeo,54.0
Aporo ,5.0
La Huacana,48.0
Tuzantla,16.0
Morelos,14.0
Zinapécuaro,58.0
Chinicuila ,26.0
Parácuaro,80.0
Chucándiro,10.0
Tangancícuaro,1602.0
Nahuatzen,9850.0
Churintzio,9.0
Irimbo,16.0
Queréndaro,13.0
Huiramba,20.0
Chavinda,49.0
Jiquilpan,144.0
Maravatío,165.0
Peribán,77.0
Santa Ana Maya,9.0
José Sixto Verduzco,28.0
Tarímbaro,252.0
Contepec,36.0
Coalcomán de Vázquez Pallares,42.0
