Municipio,Total
Jiménez,12946.0
Jungapeo,19834.0
Nuevo Parangaricutiro,20981.0
Tlalpujahua,28556.0
Aquila,24676.0
Copándaro,9484.0
Charapan,13539.0
Cojumatlán de Régules,10553.0
Tzintzuntzan,14911.0
Taretan,15589.0
Panindícuaro,14889.0
Puruándiro,69260.0
Jacona,68781.0
Álvaro Obregón,23000.0
Charo,25138.0
Chilchota,40560.0
San Lucas,17677.0
Salvador Escalante,49896.0
Tingüindín,14934.0
Huaniqueo,7945.0
Tumbiscatío,5971.0
Numarán,9437.0
Tocumbo,12325.0
Angangueo,10892.0
Nuevo Urecho,9027.0
Tingambato,16325.0
Venustiano Carranza,23469.0
Tancítaro,33453.0
Huandacareo,11644.0
Morelia,849053.0
Angamacutiro,14943.0
Villamar,15864.0
Huetamo,41973.0
Hidalgo,125712.0
Pajacuarán,21028.0
Tanhuato,15534.0
Tacámbaro,79540.0
Total estatal,4.748846e6
Zamora,204860.0
Múgica,45732.0
Senguio,19833.0
Erongarícuaro,15715.0
Pátzcuaro,98382.0
Briseñas,11681.0
Aguililla,14754.0
Cherán,20586.0
Tzitzio,8855.0
Tiquicheo de Nicolás Romero,12836.0
Sahuayo,78477.0
Tangamandapio,31716.0
Ecuandureo,11850.0
Indaparapeo,18385.0
La Piedad,106490.0
Lagunillas,5745.0
Nocupétaro,8196.0
Tuxpan,25757.0
Ocampo,24774.0
Coahuayana,17022.0
Madero,19086.0
Arteaga,20332.0
Zináparo ,3232.0
Epitacio Huerta,16112.0
Purépero,15503.0
Marcos Castellanos,13983.0
Cotija,20198.0
Quiroga,27176.0
Uruapan,356786.0
Tlazazalca,6420.0
Penjamillo,16621.0
Tepalcatepec,24074.0
Ziracuaretiro,18402.0
Churumuco,12342.0
Zacapu,76829.0
Vista Hermosa,20982.0
Gabriel Zamora,21466.0
Buenavista,45538.0
Coeneo,20965.0
Juárez,14936.0
Yurécuaro,32303.0
Ixtlán,14302.0
Susupuato,9076.0
Paracho,39657.0
Apatzingán,126191.0
Ario,36268.0
Carácuaro,9176.0
Acuitzio,11301.0
Los Reyes,78935.0
Lázaro Cárdenas,196003.0
Zitácuaro,157056.0
Turicato,29056.0
Cuitzeo,29910.0
Aporo ,3529.0
La Huacana,30627.0
Tuzantla,14329.0
Morelos,7983.0
Zinapécuaro,49005.0
Chinicuila ,4773.0
Parácuaro,26832.0
Chucándiro,4944.0
Tangancícuaro,35256.0
Nahuatzen,32598.0
Churintzio,5233.0
Irimbo,16043.0
Queréndaro,13961.0
Huiramba,9015.0
Chavinda,10417.0
Jiquilpan,36158.0
Maravatío,89311.0
Peribán,29389.0
Santa Ana Maya,12812.0
José Sixto Verduzco,26213.0
Tarímbaro,114513.0
Contepec,35070.0
Coalcomán de Vázquez Pallares,19633.0
