Municipio,Total
Jiménez,Jiménez
Jungapeo,Jungapeo
Nuevo Parangaricutiro,Nuevo Parangaricutiro
Tlalpujahua,Tlalpujahua
Aquila,Aquila
Copándaro,Copándaro
Charapan,Charapan
Cojumatlán de Régules,Cojumatlán de Régules
Tzintzuntzan,Tzintzuntzan
Taretan,Taretan
Panindícuaro,Panindícuaro
Puruándiro,Puruándiro
Jacona,Jacona
Álvaro Obregón,Álvaro Obregón
Charo,Charo
Chilchota,Chilchota
San Lucas,San Lucas
Salvador Escalante,Salvador Escalante
Tingüindín,Tingüindín
Huaniqueo,Huaniqueo
Tumbiscatío,Tumbiscatío
Numarán,Numarán
Tocumbo,Tocumbo
Angangueo,Angangueo
Nuevo Urecho,Nuevo Urecho
Tingambato,Tingambato
Venustiano Carranza,Venustiano Carranza
Tancítaro,Tancítaro
Huandacareo,Huandacareo
Morelia,Morelia
Angamacutiro,Angamacutiro
Villamar,Villamar
Huetamo,Huetamo
Hidalgo,Hidalgo
Pajacuarán,Pajacuarán
Tanhuato,Tanhuato
Tacámbaro,Tacámbaro
Total estatal,Total estatal
Zamora,Zamora
Múgica,Múgica
Senguio,Senguio
Erongarícuaro,Erongarícuaro
Pátzcuaro,Pátzcuaro
Briseñas,Briseñas
Aguililla,Aguililla
Cherán,Cherán
Tzitzio,Tzitzio
Tiquicheo de Nicolás Romero,Tiquicheo de Nicolás Romero
Sahuayo,Sahuayo
Tangamandapio,Tangamandapio
Ecuandureo,Ecuandureo
Indaparapeo,Indaparapeo
La Piedad,La Piedad
Lagunillas,Lagunillas
Nocupétaro,Nocupétaro
Tuxpan,Tuxpan
Ocampo,Ocampo
Coahuayana,Coahuayana
Madero,Madero
Arteaga,Arteaga
Zináparo ,Zináparo 
Epitacio Huerta,Epitacio Huerta
Purépero,Purépero
Marcos Castellanos,Marcos Castellanos
Cotija,Cotija
Quiroga,Quiroga
Uruapan,Uruapan
Tlazazalca,Tlazazalca
Penjamillo,Penjamillo
Tepalcatepec,Tepalcatepec
Ziracuaretiro,Ziracuaretiro
Churumuco,Churumuco
Zacapu,Zacapu
Vista Hermosa,Vista Hermosa
Gabriel Zamora,Gabriel Zamora
Buenavista,Buenavista
Coeneo,Coeneo
Juárez,Juárez
Yurécuaro,Yurécuaro
Ixtlán,Ixtlán
Susupuato,Susupuato
Paracho,Paracho
Apatzingán,Apatzingán
Ario,Ario
Carácuaro,Carácuaro
Acuitzio,Acuitzio
Los Reyes,Los Reyes
Lázaro Cárdenas,Lázaro Cárdenas
Zitácuaro,Zitácuaro
Turicato,Turicato
Cuitzeo,Cuitzeo
Aporo ,Aporo 
La Huacana,La Huacana
Tuzantla,Tuzantla
Morelos,Morelos
Zinapécuaro,Zinapécuaro
Chinicuila ,Chinicuila 
Parácuaro,Parácuaro
Chucándiro,Chucándiro
Tangancícuaro,Tangancícuaro
Nahuatzen,Nahuatzen
Churintzio,Churintzio
Irimbo,Irimbo
Queréndaro,Queréndaro
Huiramba,Huiramba
Chavinda,Chavinda
Jiquilpan,Jiquilpan
Maravatío,Maravatío
Peribán,Peribán
Santa Ana Maya,Santa Ana Maya
José Sixto Verduzco,José Sixto Verduzco
Tarímbaro,Tarímbaro
Contepec,Contepec
Coalcomán de Vázquez Pallares,Coalcomán de Vázquez Pallares
