Municipio,Porcentaje de mujeres
Jiménez,51.4830835779391
Jungapeo,50.4285570232933
Nuevo Parangaricutiro,50.8460035270006
Tlalpujahua,53.029135733296
Aquila,49.6312206192252
Copándaro,51.5710670603121
Charapan,52.4632543023857
Cojumatlán de Régules,49.5783189614328
Tzintzuntzan,52.1628328079941
Taretan,50.7601513887998
Panindícuaro,51.8033447511586
Puruándiro,51.9044181345654
Jacona,51.5287652113229
Álvaro Obregón,51.2
Charo,45.8111226032302
Chilchota,51.5212031558185
San Lucas,50.5006505628783
Salvador Escalante,51.0942760942761
Tingüindín,51.9552698540244
Huaniqueo,52.9515418502203
Tumbiscatío,49.5394406297103
Numarán,51.2980820175903
Tocumbo,50.709939148073
Angangueo,51.5791406536908
Nuevo Urecho,49.5291902071563
Tingambato,51.3874425727412
Venustiano Carranza,52.1027738719161
Tancítaro,49.9716019490031
Huandacareo,52.1298522844383
Morelia,52.0490475859575
Angamacutiro,51.8503647192666
Villamar,51.8973777105396
Huetamo,50.768351082839
Hidalgo,51.7834415171185
Pajacuarán,51.445691459007
Tanhuato,51.6994978756277
Tacámbaro,51.0108121699774
Total estatal,51.4336535655189
Zamora,51.7626671873475
Múgica,51.0124201871775
Senguio,52.4781929108052
Erongarícuaro,51.4476614699332
Pátzcuaro,52.0034152588888
Briseñas,51.4596353051965
Aguililla,50.2846685644571
Cherán,51.6516078888565
Tzitzio,50.0056465273857
Tiquicheo de Nicolás Romero,50.9816142100343
Sahuayo,51.7094180460517
Tangamandapio,51.1729095724555
Ecuandureo,53.1561181434599
Indaparapeo,51.0579276584172
La Piedad,51.6564935674711
Lagunillas,51.035683202785
Nocupétaro,50.8174719375305
Tuxpan,51.496680514035
Ocampo,50.7467506256559
Coahuayana,48.7486781811773
Madero,49.5494079429949
Arteaga,50.5311823726146
Zináparo ,51.9492574257426
Epitacio Huerta,51.7812810327706
Purépero,51.0223827646262
Marcos Castellanos,51.7843095187013
Cotija,51.5793642934944
Quiroga,52.4470120694731
Uruapan,51.7049435796248
Tlazazalca,51.5264797507788
Penjamillo,52.7104265687985
Tepalcatepec,50.1121541912437
Ziracuaretiro,50.7607868709923
Churumuco,51.2720790795657
Zacapu,51.9894831378776
Vista Hermosa,50.6291106662854
Gabriel Zamora,50.6615112270567
Buenavista,49.4773595678335
Coeneo,52.6687336036251
Juárez,51.0176754151044
Yurécuaro,51.4874779432251
Ixtlán,50.9369318976367
Susupuato,50.8704275011018
Paracho,51.4461507426179
Apatzingán,50.7468836921809
Ario,50.8326899746333
Carácuaro,49.7493461203139
Acuitzio,51.3936819750465
Los Reyes,50.8988408183949
Lázaro Cárdenas,50.2640265710219
Zitácuaro,51.9579003667482
Turicato,51.3250275330396
Cuitzeo,52.1765295887663
Aporo ,52.7628223292717
La Huacana,50.4587455513109
Tuzantla,50.8409519156954
Morelos,52.5616935988977
Zinapécuaro,51.7192123252729
Chinicuila ,47.9572595851666
Parácuaro,49.7912939773405
Chucándiro,51.7192556634304
Tangancícuaro,51.265032902201
Nahuatzen,51.0338057549543
Churintzio,51.7103000191095
Irimbo,52.1847534750358
Queréndaro,51.2212592221188
Huiramba,51.8136439267887
Chavinda,51.3487568397811
Jiquilpan,52.3314342607445
Maravatío,51.6397756155457
Peribán,49.7328932593828
Santa Ana Maya,52.2556977833281
José Sixto Verduzco,51.9932857742342
Tarímbaro,51.3164444211574
Contepec,51.6852010265184
Coalcomán de Vázquez Pallares,50.1349768247339
