Municipio,Edad mediana
Cuernavaca,34.0
Total estatal,30.0
Emiliano Zapata,30.0
Temoac,27.0
Jiutepec,31.0
Ayala,28.0
Zacatepec,33.0
Huitzilac,29.0
Ocuituco,27.0
Xochitepec,29.0
Temixco,29.0
Tlaltizapán de Zapata,30.0
Atlatlahucan,30.0
Jantetelco,29.0
Jonacatepec,30.0
Totolapan,28.0
Tepalcingo,30.0
Tlayacapan,29.0
Yecapixtla,27.0
Mazatepec,30.0
Tetecala,31.0
Jojutla,32.0
Tetela del Volcán,25.0
Zacualpan de Amilpas,31.0
Axochiapan,27.0
Amacuzac,29.0
Cuautla,31.0
Puente de Ixtla,30.0
Miacatlán,30.0
Tlaquiltenango,31.0
Tlalnepantla,27.0
Coatlán del Río,32.0
Tepoztlán,30.0
Yautepec,30.0
