Municipio,Porcentaje de hombres
Cuernavaca,47.2233378074171
Total estatal,48.2291328518098
Emiliano Zapata,48.5815437213343
Temoac,47.7253529624713
Jiutepec,47.882817832715
Ayala,48.4693991139212
Zacatepec,47.7420069817698
Huitzilac,48.8517234346319
Ocuituco,49.0400124876424
Xochitepec,50.1910550864167
Temixco,48.2451763820616
Tlaltizapán de Zapata,48.7127616939255
Atlatlahucan,48.6128725428028
Jantetelco,48.8968590370612
Jonacatepec,48.3766622738708
Totolapan,48.643137254902
Tepalcingo,49.2176943318398
Tlayacapan,49.613561417972
Yecapixtla,49.301927500312
Mazatepec,47.6846576193929
Tetecala,48.4836549822765
Jojutla,48.229950417808
Tetela del Volcán,49.175250791086
Zacualpan de Amilpas,48.7405920722529
Axochiapan,49.2367386531883
Amacuzac,48.011137629276
Cuautla,47.9820220395686
Puente de Ixtla,47.6535558998451
Miacatlán,49.1140361979496
Tlaquiltenango,48.7140785462725
Tlalnepantla,50.1196021654287
Coatlán del Río,45.0380228136882
Tepoztlán,48.8151744957899
Yautepec,48.3068633011912
