Municipio,Porcentaje de mujeres
Cuernavaca,52.7766621925829
Total estatal,51.7708671481902
Emiliano Zapata,51.4184562786657
Temoac,52.2746470375287
Jiutepec,52.117182167285
Ayala,51.5306008860788
Zacatepec,52.2579930182302
Huitzilac,51.1482765653681
Ocuituco,50.9599875123576
Xochitepec,49.8089449135833
Temixco,51.7548236179384
Tlaltizapán de Zapata,51.2872383060745
Atlatlahucan,51.3871274571972
Jantetelco,51.1031409629388
Jonacatepec,51.6233377261292
Totolapan,51.356862745098
Tepalcingo,50.7823056681602
Tlayacapan,50.386438582028
Yecapixtla,50.698072499688
Mazatepec,52.3153423806071
Tetecala,51.5163450177235
Jojutla,51.770049582192
Tetela del Volcán,50.824749208914
Zacualpan de Amilpas,51.2594079277471
Axochiapan,50.7632613468117
Amacuzac,51.9888623707239
Cuautla,52.0179779604314
Puente de Ixtla,52.3464441001549
Miacatlán,50.8859638020504
Tlaquiltenango,51.2859214537275
Tlalnepantla,49.8803978345713
Coatlán del Río,54.9619771863118
Tepoztlán,51.1848255042101
Yautepec,51.6931366988088
