Municipio,Total
Jilotepec,507.0
La Paz,1382.0
Ixtapan de la Sal,246.0
Ecatepec de Morelos,9937.0
El Oro,210.0
Santo Tomás,46.0
Jocotitlán,383.0
Zacazonapan,21.0
Tequixquiac,194.0
Almoloya de Juárez,777.0
Hueypoxtla,252.0
Capulhuac,224.0
San Martín de las Pirámides,126.0
Temascalcingo,406.0
Tlatlaya,260.0
Tenancingo,535.0
Chiconcuac,177.0
Chimalhuacán,3282.0
Tonatico,116.0
Atizapán de Zaragoza,2808.0
Morelos,211.0
Tepetlixpa,130.0
Timilpan,100.0
San Antonio la Isla,83.0
Teoloyucán,465.0
Valle de Chalco Solidaridad,1738.0
Polotitlán,85.0
Cuautitlán Izcalli,2861.0
Villa de Allende,242.0
Naucalpan de Juárez,5331.0
Ixtapaluca,2159.0
Tejupilco,457.0
Chicoloapan,797.0
Nicolás Romero,1974.0
Nextlalpan,195.0
Ocuilan,219.0
Coacalco de Berriozábal,1660.0
Texcalyacac,37.0
Huehuetoca,520.0
Otzoloapan,25.0
Donato Guerra,204.0
Valle de Bravo,376.0
Villa del Carbón,221.0
Jaltenco,134.0
Metepec,1213.0
Tezoyuca,241.0
Amanalco,149.0
Almoloya del Río,78.0
Texcoco,1557.0
Villa Guerrero,362.0
Chalco,1887.0
Almoloya de Alquisiras,100.0
Tianguistenco,444.0
Sultepec,199.0
Atlautla,201.0
Temamatla,66.0
Juchitepec,161.0
Coatepec Harinas,249.0
Ayapango,42.0
Chapa de Mota,138.0
Teotihuacán,311.0
Papalotla,40.0
Tepetlaoxtoc,166.0
Atlacomulco,512.0
Amatepec,201.0
Otumba,207.0
Mexicaltzingo,62.0
Jilotzingo,131.0
Zumpahuacán,118.0
Ecatzingo,54.0
Xonacatlán,304.0
Isidro Fabela,70.0
San Mateo Atenco,451.0
Temascaltepec,199.0
Tenango del Valle,494.0
Zumpango,1053.0
Jiquipilco,421.0
Soyaniquilpan de Juárez,66.0
San José del Rincón,478.0
Melchor Ocampo,310.0
Toluca,4562.0
Chiautla,185.0
Amecameca,350.0
Ozumba,148.0
Aculco,279.0
Malinalco,184.0
Villa Victoria,492.0
Tlalmanalco,341.0
Texcaltitlán,96.0
Joquicingo,98.0
Chapultepec,57.0
Atizapán,119.0
Tonanitla,51.0
Axapusco,176.0
San Felipe del Progreso,586.0
Calimaya,286.0
Apaxco,161.0
Tultitlán,2640.0
Atenco,336.0
Lerma,724.0
Xalatlaco,164.0
Temascalapa,218.0
Tepotzotlán,437.0
Zacualpan,103.0
Cuautitlán,584.0
Coyotepec,265.0
Total estatal,89390.0
Cocotitlán,100.0
Tenango del Aire,56.0
Tecámac,1968.0
Nezahualcóyotl,7752.0
Tultepec,706.0
Luvianos,195.0
Acolman,608.0
Nopaltepec,48.0
Temoaya,442.0
Tlalnepantla de Baz,4814.0
Ocoyoacac,378.0
Ixtapan del Oro,50.0
Otzolotepec,350.0
Huixquilucan,1263.0
Zinacantepec,863.0
Ixtlahuaca,749.0
Rayón,74.0
Acambay de Ruíz Castañeda,398.0
San Simón de Guerrero,42.0
