Municipio,Total
Jilotepec,154.247405221932
La Paz,8206.06447086855
Ixtapan de la Sal,320.62506873724
Ecatepec de Morelos,10533.9993171408
El Oro,251.071462675904
Santo Tomás,90.3661460353568
Jocotitlán,249.409879477562
Zacazonapan,76.6214320262286
Tequixquiac,322.436105873379
Almoloya de Juárez,364.022986699641
Hueypoxtla,199.372006960099
Capulhuac,1711.16402545302
San Martín de las Pirámides,417.239282734692
Temascalcingo,186.431071324379
Tlatlaya,40.2769838353216
Tenancingo,635.776260866003
Chiconcuac,4050.13104547673
Chimalhuacán,12863.4198923365
Tonatico,143.225562203423
Atizapán de Zaragoza,5639.73661063372
Morelos,140.669851062337
Tepetlixpa,475.36839760363
Timilpan,98.4396085876309
San Antonio la Isla,1263.33874815741
Teoloyucán,2108.29864781498
Valle de Chalco Solidaridad,8394.54511083564
Polotitlán,118.281267943161
Cuautitlán Izcalli,5043.39778553867
Villa de Allende,172.106040922883
Naucalpan de Juárez,5284.56170650088
Ixtapaluca,1673.35777376946
Tejupilco,118.613072465548
Chicoloapan,4862.29648762682
Nicolás Romero,1851.78051860064
Nextlalpan,1043.50441245472
Ocuilan,93.8766389336404
Coacalco de Berriozábal,8376.81708956486
Texcalyacac,231.942290849446
Huehuetoca,1363.03893482601
Otzoloapan,31.8274819032239
Donato Guerra,195.372650216549
Valle de Bravo,153.744933245298
Villa del Carbón,169.784835812902
Jaltenco,6016.79247823025
Metepec,3587.71489981307
Tezoyuca,2886.73061165236
Amanalco,106.515047115374
Almoloya del Río,1386.23481301763
Texcoco,648.341380720001
Villa Guerrero,305.558803219259
Chalco,1776.42342477871
Almoloya de Alquisiras,89.689820151434
Tianguistenco,639.398381444653
Sultepec,42.6480369759702
Atlautla,190.215279772476
Temamatla,483.274604034066
Juchitepec,204.658539785441
Coatepec Harinas,133.602641001773
Ayapango,198.391002240516
Chapa de Mota,108.60475726195
Teotihuacán,703.221836813378
Papalotla,1537.835990595
Tepetlaoxtoc,182.008390148589
Atlacomulco,423.741322473737
Amatepec,39.6750564469777
Otumba,256.011804925238
Mexicaltzingo,1178.17286353124
Jilotzingo,170.685103722192
Zumpahuacán,93.0700215175636
Ecatzingo,203.631234131089
Xonacatlán,1021.00039064754
Isidro Fabela,149.625203646766
San Mateo Atenco,4642.59604950676
Temascaltepec,61.6108399383912
Tenango del Valle,428.87407032305
Zumpango,1254.02954182015
Jiquipilco,279.02505089689
Soyaniquilpan de Juárez,97.7100453892795
San José del Rincón,209.155572817811
Melchor Ocampo,4367.95155886069
Toluca,2133.51790957967
Chiautla,1497.55746060438
Amecameca,302.925226623334
Ozumba,649.743166646473
Aculco,108.681007230797
Malinalco,134.102919825988
Villa Victoria,254.701458901835
Tlalmanalco,307.142735771923
Texcaltitlán,127.061922256338
Joquicingo,334.969082445965
Chapultepec,1104.31395152453
Atizapán,1521.09553733613
Tonanitla,1646.96701347169
Axapusco,101.663858472663
San Felipe del Progreso,393.087785841058
Calimaya,665.233318625926
Apaxco,421.594778219649
Tultitlán,7819.08191394893
Atenco,861.683434406787
Lerma,737.95427113027
Xalatlaco,283.54854446868
Temascalapa,264.820211294158
Tepotzotlán,500.654369760052
Zacualpan,46.2886439118957
Cuautitlán,4376.83571570304
Coyotepec,1024.21390320354
Total estatal,760.227530329802
Cocotitlán,1022.21270162921
Tenango del Aire,299.257285359598
Tecámac,3490.26869419458
Nezahualcóyotl,17026.3691683352
Tultepec,5888.98972370229
Luvianos,41.0034354882781
Acolman,1973.57194295559
Nopaltepec,125.277729567523
Temoaya,567.594653896567
Tlalnepantla de Baz,8365.86754407724
Ocoyoacac,519.831336624554
Ixtapan del Oro,65.1849238307214
Otzolotepec,775.180942420297
Huixquilucan,2018.25505789548
Zinacantepec,656.90284924692
Ixtlahuaca,477.281306480408
Rayón,694.824953404639
Acambay de Ruíz Castañeda,142.718386259077
San Simón de Guerrero,51.1729694276698
