Municipio,Total
Jilotepec,28.0
La Paz,28.0
Ixtapan de la Sal,26.0
Ecatepec de Morelos,32.0
El Oro,26.0
Santo Tomás,26.0
Jocotitlán,28.0
Zacazonapan,25.0
Tequixquiac,29.0
Almoloya de Juárez,27.0
Hueypoxtla,28.0
Capulhuac,28.0
San Martín de las Pirámides,29.0
Temascalcingo,27.0
Tlatlaya,27.0
Tenancingo,27.0
Chiconcuac,28.0
Chimalhuacán,27.0
Tonatico,30.0
Atizapán de Zaragoza,33.0
Morelos,25.0
Tepetlixpa,28.0
Timilpan,29.0
San Antonio la Isla,28.0
Teoloyucán,28.0
Valle de Chalco Solidaridad,28.0
Polotitlán,29.0
Cuautitlán Izcalli,34.0
Villa de Allende,24.0
Naucalpan de Juárez,33.0
Ixtapaluca,29.0
Tejupilco,24.0
Chicoloapan,29.0
Nicolás Romero,30.0
Nextlalpan,28.0
Ocuilan,25.0
Coacalco de Berriozábal,34.0
Texcalyacac,29.0
Huehuetoca,27.0
Otzoloapan,25.0
Donato Guerra,22.0
Valle de Bravo,28.0
Villa del Carbón,25.0
Jaltenco,31.0
Metepec,33.0
Tezoyuca,28.0
Amanalco,25.0
Almoloya del Río,28.0
Texcoco,30.0
Villa Guerrero,24.0
Chalco,28.0
Almoloya de Alquisiras,26.0
Tianguistenco,27.0
Sultepec,25.0
Atlautla,28.0
Temamatla,28.0
Juchitepec,27.0
Coatepec Harinas,24.0
Ayapango,29.0
Chapa de Mota,26.0
Teotihuacán,30.0
Papalotla,30.0
Tepetlaoxtoc,28.0
Atlacomulco,26.0
Amatepec,28.0
Otumba,29.0
Mexicaltzingo,28.0
Jilotzingo,29.0
Zumpahuacán,24.0
Ecatzingo,25.0
Xonacatlán,28.0
Isidro Fabela,27.0
San Mateo Atenco,28.0
Temascaltepec,25.0
Tenango del Valle,27.0
Zumpango,28.0
Jiquipilco,25.0
Soyaniquilpan de Juárez,29.0
San José del Rincón,22.0
Melchor Ocampo,29.0
Toluca,30.0
Chiautla,29.0
Amecameca,30.0
Ozumba,28.0
Aculco,26.0
Malinalco,27.0
Villa Victoria,22.0
Tlalmanalco,31.0
Texcaltitlán,24.0
Joquicingo,27.0
Chapultepec,29.0
Atizapán,27.0
Tonanitla,29.0
Axapusco,28.0
San Felipe del Progreso,23.0
Calimaya,29.0
Apaxco,29.0
Tultitlán,31.0
Atenco,28.0
Lerma,29.0
Xalatlaco,26.0
Temascalapa,28.0
Tepotzotlán,30.0
Zacualpan,27.0
Cuautitlán,31.0
Coyotepec,28.0
Total estatal,30.0
Cocotitlán,30.0
Tenango del Aire,29.0
Tecámac,30.0
Nezahualcóyotl,34.0
Tultepec,30.0
Luvianos,24.0
Acolman,30.0
Nopaltepec,29.0
Temoaya,25.0
Tlalnepantla de Baz,35.0
Ocoyoacac,30.0
Ixtapan del Oro,25.0
Otzolotepec,26.0
Huixquilucan,31.0
Zinacantepec,28.0
Ixtlahuaca,27.0
Rayón,28.0
Acambay de Ruíz Castañeda,26.0
San Simón de Guerrero,25.0
