Municipio,Total
Jilotepec,1560.0
La Paz,4860.0
Ixtapan de la Sal,755.0
Ecatepec de Morelos,22636.0
El Oro,683.0
Santo Tomás,231.0
Jocotitlán,1101.0
Zacazonapan,113.0
Tequixquiac,545.0
Almoloya de Juárez,3325.0
Hueypoxtla,729.0
Capulhuac,675.0
San Martín de las Pirámides,449.0
Temascalcingo,1451.0
Tlatlaya,683.0
Tenancingo,1933.0
Chiconcuac,504.0
Chimalhuacán,12256.0
Tonatico,231.0
Atizapán de Zaragoza,6917.0
Morelos,701.0
Tepetlixpa,332.0
Timilpan,293.0
San Antonio la Isla,432.0
Teoloyucán,1676.0
Valle de Chalco Solidaridad,6684.0
Polotitlán,280.0
Cuautitlán Izcalli,6208.0
Villa de Allende,1165.0
Naucalpan de Juárez,11374.0
Ixtapaluca,7204.0
Tejupilco,1726.0
Chicoloapan,2593.0
Nicolás Romero,5524.0
Nextlalpan,652.0
Ocuilan,675.0
Coacalco de Berriozábal,3184.0
Texcalyacac,106.0
Huehuetoca,2331.0
Otzoloapan,99.0
Donato Guerra,937.0
Valle de Bravo,1352.0
Villa del Carbón,1082.0
Jaltenco,406.0
Metepec,3167.0
Tezoyuca,764.0
Amanalco,593.0
Almoloya del Río,228.0
Texcoco,3919.0
Villa Guerrero,1549.0
Chalco,5861.0
Almoloya de Alquisiras,343.0
Tianguistenco,1535.0
Sultepec,557.0
Atlautla,600.0
Temamatla,242.0
Juchitepec,488.0
Coatepec Harinas,975.0
Ayapango,159.0
Chapa de Mota,559.0
Teotihuacán,990.0
Papalotla,70.0
Tepetlaoxtoc,555.0
Atlacomulco,2177.0
Amatepec,474.0
Otumba,725.0
Mexicaltzingo,235.0
Jilotzingo,376.0
Zumpahuacán,450.0
Ecatzingo,206.0
Xonacatlán,1064.0
Isidro Fabela,213.0
San Mateo Atenco,1738.0
Temascaltepec,743.0
Tenango del Valle,1716.0
Zumpango,3537.0
Jiquipilco,1558.0
Soyaniquilpan de Juárez,221.0
San José del Rincón,2807.0
Melchor Ocampo,955.0
Toluca,13903.0
Chiautla,513.0
Amecameca,923.0
Ozumba,555.0
Aculco,917.0
Malinalco,577.0
Villa Victoria,2541.0
Tlalmanalco,743.0
Texcaltitlán,412.0
Joquicingo,300.0
Chapultepec,187.0
Atizapán,257.0
Tonanitla,219.0
Axapusco,439.0
San Felipe del Progreso,3439.0
Calimaya,911.0
Apaxco,528.0
Tultitlán,6540.0
Atenco,1010.0
Lerma,2525.0
Xalatlaco,544.0
Temascalapa,667.0
Tepotzotlán,1203.0
Zacualpan,331.0
Cuautitlán,1519.0
Coyotepec,1055.0
Total estatal,253938.0
Cocotitlán,208.0
Tenango del Aire,195.0
Tecámac,5672.0
Nezahualcóyotl,14881.0
Tultepec,2054.0
Luvianos,695.0
Acolman,1626.0
Nopaltepec,169.0
Temoaya,2074.0
Tlalnepantla de Baz,7896.0
Ocoyoacac,1129.0
Ixtapan del Oro,160.0
Otzolotepec,1604.0
Huixquilucan,4133.0
Zinacantepec,3242.0
Ixtlahuaca,2723.0
Rayón,204.0
Acambay de Ruíz Castañeda,1364.0
San Simón de Guerrero,126.0
