Municipio,Total
Jilotepec,321.0
La Paz,7217.0
Ixtapan de la Sal,65.0
Ecatepec de Morelos,25322.0
El Oro,4771.0
Santo Tomás,11.0
Jocotitlán,1689.0
Zacazonapan,4.0
Tequixquiac,137.0
Almoloya de Juárez,834.0
Hueypoxtla,102.0
Capulhuac,105.0
San Martín de las Pirámides,284.0
Temascalcingo,10477.0
Tlatlaya,23.0
Tenancingo,223.0
Chiconcuac,355.0
Chimalhuacán,20491.0
Tonatico,21.0
Atizapán de Zaragoza,7162.0
Morelos,5126.0
Tepetlixpa,67.0
Timilpan,957.0
San Antonio la Isla,72.0
Teoloyucán,351.0
Valle de Chalco Solidaridad,10160.0
Polotitlán,32.0
Cuautitlán Izcalli,3348.0
Villa de Allende,3280.0
Naucalpan de Juárez,21767.0
Ixtapaluca,7996.0
Tejupilco,101.0
Chicoloapan,1844.0
Nicolás Romero,6812.0
Nextlalpan,443.0
Ocuilan,835.0
Coacalco de Berriozábal,1609.0
Texcalyacac,45.0
Huehuetoca,1650.0
Otzoloapan,3.0
Donato Guerra,6570.0
Valle de Bravo,601.0
Villa del Carbón,944.0
Jaltenco,164.0
Metepec,814.0
Tezoyuca,765.0
Amanalco,1953.0
Almoloya del Río,54.0
Texcoco,4614.0
Villa Guerrero,71.0
Chalco,5987.0
Almoloya de Alquisiras,19.0
Tianguistenco,731.0
Sultepec,135.0
Atlautla,60.0
Temamatla,164.0
Juchitepec,45.0
Coatepec Harinas,40.0
Ayapango,37.0
Chapa de Mota,3116.0
Teotihuacán,755.0
Papalotla,11.0
Tepetlaoxtoc,253.0
Atlacomulco,12555.0
Amatepec,12.0
Otumba,160.0
Mexicaltzingo,43.0
Jilotzingo,145.0
Zumpahuacán,17.0
Ecatzingo,14.0
Xonacatlán,739.0
Isidro Fabela,50.0
San Mateo Atenco,272.0
Temascaltepec,1649.0
Tenango del Valle,251.0
Zumpango,1498.0
Jiquipilco,5311.0
Soyaniquilpan de Juárez,30.0
San José del Rincón,11147.0
Melchor Ocampo,779.0
Toluca,22861.0
Chiautla,186.0
Amecameca,154.0
Ozumba,76.0
Aculco,3123.0
Malinalco,43.0
Villa Victoria,4914.0
Tlalmanalco,149.0
Texcaltitlán,14.0
Joquicingo,64.0
Chapultepec,39.0
Atizapán,85.0
Tonanitla,186.0
Axapusco,116.0
San Felipe del Progreso,33517.0
Calimaya,120.0
Apaxco,60.0
Tultitlán,5079.0
Atenco,882.0
Lerma,2328.0
Xalatlaco,198.0
Temascalapa,313.0
Tepotzotlán,860.0
Zacualpan,15.0
Cuautitlán,1088.0
Coyotepec,474.0
Total estatal,376830.0
Cocotitlán,92.0
Tenango del Aire,71.0
Tecámac,3887.0
Nezahualcóyotl,14316.0
Tultepec,1449.0
Luvianos,13.0
Acolman,1762.0
Nopaltepec,29.0
Temoaya,20669.0
Tlalnepantla de Baz,9378.0
Ocoyoacac,844.0
Ixtapan del Oro,61.0
Otzolotepec,5632.0
Huixquilucan,3700.0
Zinacantepec,786.0
Ixtlahuaca,19931.0
Rayón,31.0
Acambay de Ruíz Castañeda,8532.0
San Simón de Guerrero,16.0
