Municipio,Total
Jilotepec,87671.0
La Paz,304088.0
Ixtapan de la Sal,36911.0
Ecatepec de Morelos,1.645352e6
El Oro,36937.0
Santo Tomás,9729.0
Jocotitlán,69264.0
Zacazonapan,5109.0
Tequixquiac,39489.0
Almoloya de Juárez,174587.0
Hueypoxtla,46757.0
Capulhuac,36921.0
San Martín de las Pirámides,29182.0
Temascalcingo,66414.0
Tlatlaya,31762.0
Tenancingo,104677.0
Chiconcuac,27692.0
Chimalhuacán,705193.0
Tonatico,12912.0
Atizapán de Zaragoza,523674.0
Morelos,33164.0
Tepetlixpa,20500.0
Timilpan,16414.0
San Antonio la Isla,31962.0
Teoloyucán,65459.0
Valle de Chalco Solidaridad,391731.0
Polotitlán,14985.0
Cuautitlán Izcalli,555163.0
Villa de Allende,53275.0
Naucalpan de Juárez,834434.0
Ixtapaluca,542211.0
Tejupilco,79282.0
Chicoloapan,200750.0
Nicolás Romero,430601.0
Nextlalpan,57082.0
Ocuilan,36223.0
Coacalco de Berriozábal,293444.0
Texcalyacac,5736.0
Huehuetoca,163244.0
Otzoloapan,4891.0
Donato Guerra,37436.0
Valle de Bravo,61590.0
Villa del Carbón,51498.0
Jaltenco,28217.0
Metepec,242307.0
Tezoyuca,47044.0
Amanalco,23675.0
Almoloya del Río,12694.0
Texcoco,277562.0
Villa Guerrero,69086.0
Chalco,400057.0
Almoloya de Alquisiras,15333.0
Tianguistenco,84259.0
Sultepec,24145.0
Atlautla,31900.0
Temamatla,14130.0
Juchitepec,27116.0
Coatepec Harinas,38643.0
Ayapango,10053.0
Chapa de Mota,31737.0
Teotihuacán,58507.0
Papalotla,4862.0
Tepetlaoxtoc,32564.0
Atlacomulco,109384.0
Amatepec,25244.0
Otumba,36331.0
Mexicaltzingo,13807.0
Jilotzingo,19877.0
Zumpahuacán,18833.0
Ecatzingo,10827.0
Xonacatlán,54633.0
Isidro Fabela,11929.0
San Mateo Atenco,97418.0
Temascaltepec,35014.0
Tenango del Valle,90518.0
Zumpango,280455.0
Jiquipilco,76826.0
Soyaniquilpan de Juárez,14323.0
San José del Rincón,100082.0
Melchor Ocampo,61220.0
Toluca,910608.0
Chiautla,30045.0
Amecameca,53441.0
Ozumba,30785.0
Aculco,49266.0
Malinalco,28155.0
Villa Victoria,108196.0
Tlalmanalco,49196.0
Texcaltitlán,18482.0
Joquicingo,15428.0
Chapultepec,12772.0
Atizapán,12984.0
Tonanitla,14883.0
Axapusco,29128.0
San Felipe del Progreso,144924.0
Calimaya,68489.0
Apaxco,31898.0
Tultitlán,516341.0
Atenco,75489.0
Lerma,170327.0
Xalatlaco,30687.0
Temascalapa,43593.0
Tepotzotlán,103696.0
Zacualpan,13522.0
Cuautitlán,178847.0
Coyotepec,40885.0
Total estatal,1.6992418e7
Cocotitlán,15107.0
Tenango del Aire,11359.0
Tecámac,547503.0
Nezahualcóyotl,1.077208e6
Tultepec,157645.0
Luvianos,28822.0
Acolman,171507.0
Nopaltepec,10351.0
Temoaya,105766.0
Tlalnepantla de Baz,672202.0
Ocoyoacac,72103.0
Ixtapan del Oro,6475.0
Otzolotepec,88783.0
Huixquilucan,284965.0
Zinacantepec,203872.0
Ixtlahuaca,160139.0
Rayón,15972.0
Acambay de Ruíz Castañeda,67872.0
San Simón de Guerrero,6692.0
