Municipio,Total
Jilotepec,Jilotepec
La Paz,La Paz
Ixtapan de la Sal,Ixtapan de la Sal
Ecatepec de Morelos,Ecatepec de Morelos
El Oro,El Oro
Santo Tomás,Santo Tomás
Jocotitlán,Jocotitlán
Zacazonapan,Zacazonapan
Tequixquiac,Tequixquiac
Almoloya de Juárez,Almoloya de Juárez
Hueypoxtla,Hueypoxtla
Capulhuac,Capulhuac
San Martín de las Pirámides,San Martín de las Pirámides
Temascalcingo,Temascalcingo
Tlatlaya,Tlatlaya
Tenancingo,Tenancingo
Chiconcuac,Chiconcuac
Chimalhuacán,Chimalhuacán
Tonatico,Tonatico
Atizapán de Zaragoza,Atizapán de Zaragoza
Morelos,Morelos
Tepetlixpa,Tepetlixpa
Timilpan,Timilpan
San Antonio la Isla,San Antonio la Isla
Teoloyucán,Teoloyucán
Valle de Chalco Solidaridad,Valle de Chalco Solidaridad
Polotitlán,Polotitlán
Cuautitlán Izcalli,Cuautitlán Izcalli
Villa de Allende,Villa de Allende
Naucalpan de Juárez,Naucalpan de Juárez
Ixtapaluca,Ixtapaluca
Tejupilco,Tejupilco
Chicoloapan,Chicoloapan
Nicolás Romero,Nicolás Romero
Nextlalpan,Nextlalpan
Ocuilan,Ocuilan
Coacalco de Berriozábal,Coacalco de Berriozábal
Texcalyacac,Texcalyacac
Huehuetoca,Huehuetoca
Otzoloapan,Otzoloapan
Donato Guerra,Donato Guerra
Valle de Bravo,Valle de Bravo
Villa del Carbón,Villa del Carbón
Jaltenco,Jaltenco
Metepec,Metepec
Tezoyuca,Tezoyuca
Amanalco,Amanalco
Almoloya del Río,Almoloya del Río
Texcoco,Texcoco
Villa Guerrero,Villa Guerrero
Chalco,Chalco
Almoloya de Alquisiras,Almoloya de Alquisiras
Tianguistenco,Tianguistenco
Sultepec,Sultepec
Atlautla,Atlautla
Temamatla,Temamatla
Juchitepec,Juchitepec
Coatepec Harinas,Coatepec Harinas
Ayapango,Ayapango
Chapa de Mota,Chapa de Mota
Teotihuacán,Teotihuacán
Papalotla,Papalotla
Tepetlaoxtoc,Tepetlaoxtoc
Atlacomulco,Atlacomulco
Amatepec,Amatepec
Otumba,Otumba
Mexicaltzingo,Mexicaltzingo
Jilotzingo,Jilotzingo
Zumpahuacán,Zumpahuacán
Ecatzingo,Ecatzingo
Xonacatlán,Xonacatlán
Isidro Fabela,Isidro Fabela
San Mateo Atenco,San Mateo Atenco
Temascaltepec,Temascaltepec
Tenango del Valle,Tenango del Valle
Zumpango,Zumpango
Jiquipilco,Jiquipilco
Soyaniquilpan de Juárez,Soyaniquilpan de Juárez
San José del Rincón,San José del Rincón
Melchor Ocampo,Melchor Ocampo
Toluca,Toluca
Chiautla,Chiautla
Amecameca,Amecameca
Ozumba,Ozumba
Aculco,Aculco
Malinalco,Malinalco
Villa Victoria,Villa Victoria
Tlalmanalco,Tlalmanalco
Texcaltitlán,Texcaltitlán
Joquicingo,Joquicingo
Chapultepec,Chapultepec
Atizapán,Atizapán
Tonanitla,Tonanitla
Axapusco,Axapusco
San Felipe del Progreso,San Felipe del Progreso
Calimaya,Calimaya
Apaxco,Apaxco
Tultitlán,Tultitlán
Atenco,Atenco
Lerma,Lerma
Xalatlaco,Xalatlaco
Temascalapa,Temascalapa
Tepotzotlán,Tepotzotlán
Zacualpan,Zacualpan
Cuautitlán,Cuautitlán
Coyotepec,Coyotepec
Total estatal,Total estatal
Cocotitlán,Cocotitlán
Tenango del Aire,Tenango del Aire
Tecámac,Tecámac
Nezahualcóyotl,Nezahualcóyotl
Tultepec,Tultepec
Luvianos,Luvianos
Acolman,Acolman
Nopaltepec,Nopaltepec
Temoaya,Temoaya
Tlalnepantla de Baz,Tlalnepantla de Baz
Ocoyoacac,Ocoyoacac
Ixtapan del Oro,Ixtapan del Oro
Otzolotepec,Otzolotepec
Huixquilucan,Huixquilucan
Zinacantepec,Zinacantepec
Ixtlahuaca,Ixtlahuaca
Rayón,Rayón
Acambay de Ruíz Castañeda,Acambay de Ruíz Castañeda
San Simón de Guerrero,San Simón de Guerrero
