Municipio,Porcentaje de mujeres
Jilotepec,51.1697140445529
La Paz,51.2634500539318
Ixtapan de la Sal,52.1118365798813
Ecatepec de Morelos,51.4663731529788
El Oro,51.4903755042369
Santo Tomás,50.2929386370644
Jocotitlán,52.0024832524833
Zacazonapan,49.5791740066549
Tequixquiac,51.0521917496011
Almoloya de Juárez,50.0936495844479
Hueypoxtla,50.5785230019035
Capulhuac,51.8485414804583
San Martín de las Pirámides,51.1068466863135
Temascalcingo,51.972475682838
Tlatlaya,50.8028461683773
Tenancingo,51.0618378440345
Chiconcuac,51.0761230680341
Chimalhuacán,51.1380572410673
Tonatico,51.7115861214374
Atizapán de Zaragoza,51.6055790434507
Morelos,51.8453745024726
Tepetlixpa,51.4829268292683
Timilpan,52.1079566223955
San Antonio la Isla,51.7520805957074
Teoloyucán,51.207626147665
Valle de Chalco Solidaridad,51.3252716787796
Polotitlán,51.0910910910911
Cuautitlán Izcalli,51.5536878358248
Villa de Allende,51.3955889253871
Naucalpan de Juárez,51.7643096997486
Ixtapaluca,51.4795900488924
Tejupilco,52.0597361317827
Chicoloapan,51.5840597758406
Nicolás Romero,51.2834387286606
Nextlalpan,50.9687817525665
Ocuilan,51.2878557822378
Coacalco de Berriozábal,51.9134826406401
Texcalyacac,50.8193863319386
Huehuetoca,50.9838033863419
Otzoloapan,50.9916172561848
Donato Guerra,50.8734907575596
Valle de Bravo,51.1673973047573
Villa del Carbón,50.3534117829819
Jaltenco,51.6426267852713
Metepec,52.1280854453235
Tezoyuca,50.6058158319871
Amanalco,51.2819429778247
Almoloya del Río,51.5519142902158
Texcoco,51.3838349629993
Villa Guerrero,50.9900703471036
Chalco,51.7246292403333
Almoloya de Alquisiras,52.5141850909802
Tianguistenco,51.5220925954497
Sultepec,52.6278732656865
Atlautla,51.1442006269592
Temamatla,50.9695682944091
Juchitepec,51.5304617200177
Coatepec Harinas,51.970602696478
Ayapango,52.1535859942306
Chapa de Mota,51.0854838201468
Teotihuacán,51.8091852256995
Papalotla,51.9127930892637
Tepetlaoxtoc,51.1546493059821
Atlacomulco,52.2617567468734
Amatepec,51.4855015053082
Otumba,49.9132971842228
Mexicaltzingo,51.090026798001
Jilotzingo,51.1042913920612
Zumpahuacán,51.7442786597993
Ecatzingo,50.8543456174379
Xonacatlán,51.022275913825
Isidro Fabela,51.236482521586
San Mateo Atenco,51.2605473321152
Temascaltepec,50.9082081453133
Tenango del Valle,50.8495547846837
Zumpango,51.1611488474087
Jiquipilco,52.5369015697811
Soyaniquilpan de Juárez,50.4084339872932
San José del Rincón,51.0071741172239
Melchor Ocampo,51.1483175432865
Toluca,51.7714537979021
Chiautla,51.1798968214345
Amecameca,52.3961003723733
Ozumba,52.0805587136593
Aculco,51.104209799862
Malinalco,50.8684070324987
Villa Victoria,50.8863543938778
Tlalmanalco,52.0814700382145
Texcaltitlán,51.6015582729142
Joquicingo,51.1083743842365
Chapultepec,51.7303476354526
Atizapán,51.5788662969809
Tonanitla,51.2665457233085
Axapusco,50.9509750068663
San Felipe del Progreso,52.1625127653115
Calimaya,51.2505657842865
Apaxco,50.9906577214872
Tultitlán,51.2651522927678
Atenco,50.9173521970088
Lerma,50.701885197297
Xalatlaco,51.2757845341676
Temascalapa,50.9691923015163
Tepotzotlán,51.0993673815769
Zacualpan,52.255583493566
Cuautitlán,50.9826835227876
Coyotepec,51.1018711018711
Total estatal,51.4413134140179
Cocotitlán,51.3470576553915
Tenango del Aire,51.1224579628488
Tecámac,51.5034620814863
Nezahualcóyotl,51.7342982970791
Tultepec,51.0723460940721
Luvianos,51.1241412809659
Acolman,49.7233349076131
Nopaltepec,50.8260071490677
Temoaya,51.2773481080877
Tlalnepantla de Baz,51.3513794960443
Ocoyoacac,51.1518244733229
Ixtapan del Oro,50.3474903474903
Otzolotepec,51.063829787234
Huixquilucan,52.1113119154984
Zinacantepec,51.1919243446869
Ixtlahuaca,52.0572752421334
Rayón,51.4838467317806
Acambay de Ruíz Castañeda,51.9433639792551
San Simón de Guerrero,51.3897190675433
