Municipio,Porcentaje de hombres
Total estatal,49.5588673331952
San Blas,51.2476516209837
Compostela,49.8088744253319
Del Nayar ,49.3396424815983
San Pedro Lagunillas,51.0477677990368
La Yesca,49.9890662584736
Acaponeta,49.9973141383756
Jala,49.4436105791626
Tepic,48.6218198551854
Tecuala,50.7391948296755
Xalisco,48.6317435496482
Ixtlán del Río,48.2746851428376
Ahuacatlán,49.6264535827974
Amatlán de Cañas,50.8668515950069
Rosamorada,50.8922453600262
Huajicori,50.9566639411284
Ruíz,50.2946547144754
Santiago Ixcuintla,50.5059533309924
Santa María del Oro,50.3753361968608
Tuxpan,49.8004257583821
Bahía de Banderas,50.2547539865268
