Municipio,Porcentaje de mujeres
Total estatal,50.4411326668048
San Blas,48.7523483790163
Compostela,50.1911255746681
Del Nayar ,50.6603575184017
San Pedro Lagunillas,48.9522322009632
La Yesca,50.0109337415264
Acaponeta,50.0026858616244
Jala,50.5563894208374
Tepic,51.3781801448146
Tecuala,49.2608051703245
Xalisco,51.3682564503518
Ixtlán del Río,51.7253148571624
Ahuacatlán,50.3735464172026
Amatlán de Cañas,49.1331484049931
Rosamorada,49.1077546399738
Huajicori,49.0433360588716
Ruíz,49.7053452855246
Santiago Ixcuintla,49.4940466690076
Santa María del Oro,49.6246638031392
Tuxpan,50.1995742416179
Bahía de Banderas,49.7452460134732
