Municipio,Defunciones Generales
El Carmen,163.0
Monterrey,8698.0
Doctor González ,24.0
Doctor Coss ,20.0
Vallecillo ,16.0
General Escobedo,1674.0
Allende,251.0
Mier y Noriega,55.0
Marín,36.0
Hidalgo,131.0
Total estatal,29711.0
Mina,50.0
Santa Catarina,1436.0
Rayones ,26.0
San Pedro Garza García,735.0
General Bravo,47.0
Santiago,292.0
Pesquería,311.0
Aramberri,114.0
Montemorelos,452.0
García,802.0
General Terán,149.0
Higueras ,11.0
General Treviño ,12.0
Agualeguas ,47.0
Anáhuac,149.0
Abasolo ,18.0
Ciénega de Flores,217.0
Iturbide ,13.0
Apodaca,2122.0
Villaldama,38.0
Doctor Arroyo,218.0
Juárez,1232.0
Melchor Ocampo ,9.0
Sabinas Hidalgo,251.0
Lampazos de Naranjo,39.0
Los Ramones,56.0
Cadereyta Jiménez,644.0
Bustamante ,23.0
Galeana,261.0
General Zuazua,185.0
General Zaragoza,46.0
Hualahuises,61.0
Parás ,9.0
Los Herreras ,32.0
Guadalupe,4371.0
Salinas Victoria,298.0
Linares,547.0
Los Aldamas ,22.0
San Nicolás de los Garza,3130.0
China,77.0
Cerralvo,68.0
