Municipio,Edad mediana
El Carmen,25.0
Monterrey,34.0
Doctor González ,31.0
Doctor Coss ,38.0
Vallecillo ,39.0
General Escobedo,28.0
Allende,30.0
Mier y Noriega,25.0
Marín,29.0
Hidalgo,32.0
Total estatal,30.0
Mina,28.0
Santa Catarina,30.0
Rayones ,36.0
San Pedro Garza García,35.0
General Bravo,31.0
Santiago,34.0
Pesquería,25.0
Aramberri,32.0
Montemorelos,31.0
García,25.0
General Terán,36.0
Higueras ,33.0
General Treviño ,41.0
Agualeguas ,41.5
Anáhuac,30.0
Abasolo ,28.0
Ciénega de Flores,25.0
Iturbide ,33.0
Apodaca,29.0
Villaldama,39.0
Doctor Arroyo,28.0
Juárez,26.0
Melchor Ocampo ,37.0
Sabinas Hidalgo,32.0
Lampazos de Naranjo,31.0
Los Ramones,40.0
Cadereyta Jiménez,29.0
Bustamante ,33.0
Galeana,29.0
General Zuazua,25.0
General Zaragoza,27.0
Hualahuises,33.0
Parás ,40.0
Los Herreras ,43.0
Guadalupe,34.0
Salinas Victoria,25.0
Linares,30.0
Los Aldamas ,42.0
San Nicolás de los Garza,36.0
China,34.0
Cerralvo,32.0
