Municipio,Nacimientos
El Carmen,1215.0
Monterrey,18702.0
Doctor González ,50.0
Doctor Coss ,16.0
Vallecillo ,20.0
General Escobedo,7777.0
Allende,597.0
Mier y Noriega,180.0
Marín,106.0
Hidalgo,276.0
Total estatal,90651.0
Mina,110.0
Santa Catarina,4612.0
Rayones ,25.0
San Pedro Garza García,1507.0
General Bravo,76.0
Santiago,656.0
Pesquería,2541.0
Aramberri,202.0
Montemorelos,1018.0
García,5906.0
General Terán,172.0
Higueras ,29.0
General Treviño ,18.0
Agualeguas ,32.0
Anáhuac,235.0
Abasolo ,77.0
Ciénega de Flores,1386.0
Iturbide ,48.0
Apodaca,9694.0
Villaldama,43.0
Doctor Arroyo,631.0
Juárez,7139.0
Melchor Ocampo ,15.0
Sabinas Hidalgo,481.0
Lampazos de Naranjo,81.0
Los Ramones,49.0
Cadereyta Jiménez,1608.0
Bustamante ,51.0
Galeana,551.0
General Zuazua,1546.0
General Zaragoza,114.0
Hualahuises,77.0
Parás ,7.0
Los Herreras ,22.0
Guadalupe,11655.0
Salinas Victoria,1677.0
Linares,1249.0
Los Aldamas ,17.0
San Nicolás de los Garza,5304.0
China,137.0
Cerralvo,102.0
