Municipio,Población de 5 años y más hablante de lengua indígena
El Carmen,244.0
Monterrey,11382.0
Doctor González ,29.0
Doctor Coss ,7.0
Vallecillo ,1.0
General Escobedo,3511.0
Allende,139.0
Mier y Noriega,14.0
Marín,206.0
Hidalgo,50.0
Total estatal,40137.0
Mina,9.0
Santa Catarina,2822.0
Rayones ,3.0
San Pedro Garza García,2650.0
General Bravo,33.0
Santiago,595.0
Pesquería,468.0
Aramberri,21.0
Montemorelos,187.0
García,2874.0
General Terán,42.0
Higueras ,12.0
General Treviño ,0.0
Agualeguas ,8.0
Anáhuac,35.0
Abasolo ,4.0
Ciénega de Flores,456.0
Iturbide ,2.0
Apodaca,3211.0
Villaldama,3.0
Doctor Arroyo,45.0
Juárez,3167.0
Melchor Ocampo ,0.0
Sabinas Hidalgo,50.0
Lampazos de Naranjo,8.0
Los Ramones,25.0
Cadereyta Jiménez,545.0
Bustamante ,6.0
Galeana,52.0
General Zuazua,1066.0
General Zaragoza,13.0
Hualahuises,13.0
Parás ,0.0
Los Herreras ,0.0
Guadalupe,3330.0
Salinas Victoria,684.0
Linares,145.0
Los Aldamas ,1.0
San Nicolás de los Garza,1928.0
China,25.0
Cerralvo,16.0
