Municipio,Porcentaje de hombres
El Carmen,50.6163977105228
Monterrey,49.4145201112167
Doctor González ,51.3513513513513
Doctor Coss ,48.3088235294118
Vallecillo ,52.8350515463918
General Escobedo,50.3230378231677
Allende,50.5228258097424
Mier y Noriega,49.594877156299
Marín,51.5530377026763
Hidalgo,50.242446848191
Total estatal,49.9780272669343
Mina,50.5291005291005
Santa Catarina,49.8224090989221
Rayones ,51.7458981909971
San Pedro Garza García,47.353010161233
General Bravo,50.7809662186705
Santiago,50.1453488372093
Pesquería,51.4848534113694
Aramberri,51.1406083244397
Montemorelos,49.7849558047102
García,50.5300789264989
General Terán,50.4288043093061
Higueras ,52.2366522366522
General Treviño ,49.2256637168142
Agualeguas ,49.9704316972206
Anáhuac,49.095951192457
Abasolo ,48.4868863483524
Ciénega de Flores,51.2109619328843
Iturbide ,52.0315342631898
Apodaca,50.4997989227132
Villaldama,50.0139938427092
Doctor Arroyo,50.0443360673908
Juárez,50.4147199606382
Melchor Ocampo ,51.5171948752529
Sabinas Hidalgo,49.07948946959
Lampazos de Naranjo,49.6542702298636
Los Ramones,51.5123399517536
Cadereyta Jiménez,50.9878450509658
Bustamante ,49.8224528817263
Galeana,49.9816639366306
General Zuazua,50.7533113393181
General Zaragoza,51.32123527539
Hualahuises,49.530315969257
Parás ,50.4415011037528
Los Herreras ,50.4849412965799
Guadalupe,49.5990782765264
Salinas Victoria,50.8666989373718
Linares,49.4625941936551
Los Aldamas ,49.680170575693
San Nicolás de los Garza,49.2378681170988
China,49.9597180261833
Cerralvo,50.5040871934605
