Municipio,Porcentaje de mujeres
El Carmen,49.3836022894772
Monterrey,50.5854798887833
Doctor González ,48.6486486486487
Doctor Coss ,51.6911764705882
Vallecillo ,47.1649484536082
General Escobedo,49.6769621768323
Allende,49.4771741902576
Mier y Noriega,50.405122843701
Marín,48.4469622973237
Hidalgo,49.757553151809
Total estatal,50.0219727330657
Mina,49.4708994708995
Santa Catarina,50.1775909010779
Rayones ,48.2541018090029
San Pedro Garza García,52.646989838767
General Bravo,49.2190337813295
Santiago,49.8546511627907
Pesquería,48.5151465886306
Aramberri,48.8593916755603
Montemorelos,50.2150441952898
García,49.4699210735011
General Terán,49.5711956906939
Higueras ,47.7633477633478
General Treviño ,50.7743362831858
Agualeguas ,50.0295683027794
Anáhuac,50.904048807543
Abasolo ,51.5131136516476
Ciénega de Flores,48.7890380671157
Iturbide ,47.9684657368102
Apodaca,49.5002010772868
Villaldama,49.9860061572908
Doctor Arroyo,49.9556639326092
Juárez,49.5852800393618
Melchor Ocampo ,48.4828051247471
Sabinas Hidalgo,50.92051053041
Lampazos de Naranjo,50.3457297701364
Los Ramones,48.4876600482464
Cadereyta Jiménez,49.0121549490342
Bustamante ,50.1775471182737
Galeana,50.0183360633694
General Zuazua,49.2466886606819
General Zaragoza,48.67876472461
Hualahuises,50.469684030743
Parás ,49.5584988962472
Los Herreras ,49.5150587034201
Guadalupe,50.4009217234736
Salinas Victoria,49.1333010626282
Linares,50.5374058063449
Los Aldamas ,50.319829424307
San Nicolás de los Garza,50.7621318829012
China,50.0402819738167
Cerralvo,49.4959128065395
