Municipio,Edad mediana
Santo Domingo Armenta ,28.0
San Andrés Teotilálpam ,27.0
Santa María Apazco ,36.0
Santo Domingo Tepuxtepec ,24.0
Santos Reyes Nopala,25.0
San Antonino Monte Verde,25.0
Magdalena Apasco,30.0
Santa Inés del Monte ,22.0
Ánimas Trujano ,31.0
Santo Domingo Teojomulco ,24.0
El Barrio de la Soledad,36.0
San Andrés Solaga ,34.0
San Francisco Ixhuatán,32.0
Santa María Ixcatlán ,41.0
Santiago Yosondúa,29.0
San Juan Colorado,25.0
Villa de Etla,30.0
Santa María Jacatepec,29.0
San Lorenzo,26.0
Totontepec Villa de Morelos ,27.0
San Juan Bautista Jayacatlán,30.0
Tlacolula de Matamoros,30.0
Santa María Mixtequilla ,33.0
San Francisco Huehuetlán,41.0
Santa María Temaxcaltepec ,19.0
San Vicente Lachixío ,23.0
San Mateo Yucutindoo ,26.0
Putla Villa de Guerrero,27.0
Santa Cruz Papalutla ,31.0
San Juan Mazatlán,25.0
San Lucas Ojitlán ,26.0
San Luis Amatlán ,29.0
Santiago Lachiguiri,34.0
San Pedro Ocopetatillo ,34.0
San Pedro y San Pablo Teposcolula ,31.0
Santos Reyes Pápalo ,24.0
San Mateo Río Hondo ,29.0
Santiago Zacatepec ,28.0
Santa María Texcatitlán ,35.0
Santa María Tonameca,25.0
Santa María Teopoxco ,27.0
San José Lachiguiri ,25.0
San Juan Guelavía,34.0
San Pedro Tidaá ,35.0
Fresnillo de Trujano,30.0
San Francisco Chindúa ,30.0
San Andrés Huayápam ,34.0
San Sebastián Coatlán ,27.0
Concepción Pápalo ,35.0
Villa Hidalgo ,33.0
San Francisco Teopan ,38.0
San Lucas Quiaviní ,34.0
San Francisco Nuxaño ,33.5
San Mateo Tlapiltepec ,35.0
San Juan Guichicovi,32.0
San Miguel Coatlán ,24.0
Sitio de Xitlapehua ,28.0
San Miguel Mixtepec ,21.0
Santo Domingo Tlatayápam ,43.0
San Francisco Logueche ,22.0
Santiago Huajolotitlán ,30.0
Santo Domingo Tomaltepec ,33.0
San Juan Bautista Valle Nacional,29.0
San Pablo Huitzo,31.0
Santiago Nuyoó ,36.0
San Andrés Paxtlán ,24.0
Santa María Peñoles ,22.0
San Juan Teitipac,33.0
Santiago Nacaltepec ,43.0
La Pe ,22.0
Soledad Etla ,30.0
Santa Catalina Quierí ,34.0
Santa Catarina Cuixtla ,37.0
Santa Catarina Juquila,25.0
San Francisco del Mar,25.0
San Miguel Panixtlahuaca ,21.0
Santiago Pinotepa Nacional,27.0
Tlacotepec Plumas ,39.0
Santo Domingo Tonalá,29.0
Rojas de Cuauhtémoc ,35.0
San Juan Coatzóspam,33.0
Santa Catarina Loxicha ,24.0
Santa María Tlahuitoltepec ,27.0
San Pedro Molinos ,34.0
San Jerónimo Coatlán ,23.0
Santa Ana Tlapacoyan ,35.0
Santiago Texcalcingo ,24.0
Santiago Atitlán ,25.5
Villa Díaz Ordaz,34.0
San Martín de los Cansecos ,29.0
San Melchor Betaza ,33.0
San Miguel Achiutla ,39.0
San José Chiltepec,30.0
La Compañía ,30.0
San Ildefonso Sola ,23.0
Santa María Guienagati ,26.0
San Miguel Soyaltepec,27.0
San Baltazar Loxicha ,26.0
San Cristóbal Lachirioag ,39.5
San Francisco Chapulapa ,24.0
San Juan Tepeuxila,30.0
San Pablo Villa de Mitla,31.0
San Lorenzo Cacaotepec,30.0
Santa María Tepantlali ,24.0
San Carlos Yautepec,26.0
Santiago Suchilquitongo,30.0
Zapotitlán Palmas ,29.0
Santiago Ixcuintepec ,23.5
Mártires de Tacubaya ,28.5
Santiago Zoochila ,38.0
Santiago Astata ,32.0
San Juan Yaeé ,33.0
San Miguel Tequixtepec ,32.0
San Juan Lachigalla,23.0
Santiago Lalopa ,29.0
San Juan Ozolotepec,19.0
Santiago Xanica ,24.0
Santa Catarina Zapoquila ,36.0
San Pedro Jicayán,24.0
San Miguel Tilquiápam ,24.0
Santa Catarina Quioquitani ,25.0
San Pedro Totolápam ,31.0
Santiago del Río ,45.0
San Juan Achiutla ,46.0
San Juan Lalana,27.0
405 Villa de Chilapa de Díaz ,33.0
Chiquihuitlán de Benito Juárez ,35.0
Santa María Alotepec ,31.0
San Juan Quiotepec,33.0
San Pablo Huixtepec,30.0
Tlalixtac de Cabrera,30.0
Santa Cruz Xitla ,26.0
San Miguel del Río ,39.0
Asunción Cacalotepec ,32.0
Santa Ana Cuauhtémoc ,35.0
San Pedro Mixtepec ,30.0
Santo Domingo Yodohino ,36.0
San Mateo Piñas ,36.0
San Pedro Nopala ,29.0
San Martín Toxpalan ,27.0
San Andrés Zautla ,30.0
Santa María Colotepec,26.0
San Cristóbal Suchixtlahuaca ,33.0
Villa de Tututepec de Melchor Ocampo,28.0
San Antonino el Alto ,25.0
San Pedro Juchatengo ,31.0
San Antonino Castillo Velasco,30.0
Mesones Hidalgo ,25.0
Heroica Ciudad de Huajuapan de León,28.0
San Agustín Loxicha ,20.0
San Andrés Cabecera Nueva ,28.0
Santiago Yucuyachi ,38.0
San Juan Lajarcia,39.0
San Agustín Etla ,34.0
Santo Domingo Zanatepec,32.0
Santa Catarina Yosonotú ,38.0
Santiago Xiacuí ,31.0
San Marcial Ozolotepec ,22.5
San Juan Petlapa,22.0
San Juan Sayultepec,31.0
San Juan Bautista Guelache,30.0
Santiago Laollaga ,35.0
San Lorenzo Texmelúcan ,18.0
Heroica Ciudad de Tlaxiaco,27.0
San Dionisio Ocotlán ,31.0
Santo Domingo Ozolotepec ,23.0
Pinotepa de Don Luis,28.0
Santiago Tapextla ,23.0
San Juan del Río,39.0
San Juan Quiahije,20.0
Capulálpam de Méndez ,30.0
San Bartolomé Quialana ,36.0
Santa María Yosoyúa ,26.0
Chalcatongo de Hidalgo,29.0
Santo Domingo Petapa,28.0
San Mateo Cajonos ,31.0
San Miguel Amatitlán,24.0
San Miguel Santa Flor ,37.0
Santiago Llano Grande ,31.0
Santos Reyes Tepejillo ,40.0
Santa María Totolapilla ,38.0
San Jerónimo Sosola ,31.0
San Andrés Zabache ,29.0
Santo Domingo Tehuantepec,31.0
Santa Ana del Valle,33.0
San Sebastián Tutla,32.0
San Juan Bautista Atatlahuca,31.0
Santiago Tenango ,29.0
San José Estancia Grande ,28.0
San Dionisio del Mar,29.0
San Martín Peras ,18.0
Santa María Zacatepec,26.0
Santiago Tamazola ,26.0
San Agustín Chayuco ,28.0
San Baltazar Yatzachi el Bajo ,40.5
Eloxochitlán de Flores Magón ,26.0
San Pedro Huamelula,31.0
San José Tenango ,25.0
San Pedro Mártir Yucuxaco ,33.0
Santa María Zaniza ,18.0
San Jorge Nuchita ,28.0
San Agustín Atenango ,37.0
Tamazulápam del Espíritu Santo,30.0
San Bartolomé Loxicha ,27.0
San Juan Juquila Mixes,29.0
San Sebastián Ixcapa ,29.0
San Juan Mixtepec,40.0
San Miguel Amatlán ,30.0
Santa María Ecatepec ,27.0
Zapotitlán Lagunas ,26.0
Santa María Pápalo ,31.0
San Andrés Dinicuiti ,31.0
Santa María Atzompa,28.0
Santo Domingo Ingenio,36.0
Santiago Camotlán ,27.0
Santo Tomás Mazaltepec ,29.0
Teotitlán de Flores Magón,27.0
Asunción Cuyotepeji ,30.0
Asunción Ocotlán ,38.0
Trinidad Zaachila ,31.0
San Francisco Cahuacuá ,25.0
Cosolapa,29.0
San Pedro Yólox ,36.0
Santa Cruz Zenzontepec ,22.0
Santiago Cacaloxtepec ,32.0
San Pedro Ocotepec ,25.0
Natividad ,35.0
San Pedro Quiatoni ,26.0
San Miguel Aloápam ,27.0
Teotongo,35.0
San Miguel Tlacotepec ,32.0
San Francisco Cajonos ,44.0
Santa María Jaltianguis ,31.0
Santiago Amoltepec ,18.0
Valerio Trujano ,35.0
Santiago Tilantongo ,35.0
Magdalena Yodocono de Porfirio Díaz ,29.0
Santa María Huazolotitlán  ,30.0
San Pedro Coxcaltepec Cántaros ,38.0
San Antonio de la Cal,27.0
San Antonio Nanahuatípam ,30.0
San Francisco Telixtlahuaca,27.0
San Ildefonso Amatlán ,27.0
San José Ayuquila ,27.0
San Jacinto Amilpas,30.0
San José del Progreso,25.0
San Esteban Atatlahuca ,29.0
San Pedro Sochiápam ,24.0
San Vicente Nuñú ,41.0
San Pablo Macuiltianguis ,36.0
San Pedro Huilotepec ,29.0
San Cristóbal Amatlán ,24.0
Santiago Choápam ,26.0
San Juan Atepec ,37.0
San Juan Bautista Suchitepec,40.0
Santo Domingo Albarradas ,36.0
San Miguel Tlacamama ,28.0
San Andrés Lagunas ,36.0
Ayotzintepec,27.0
San Lorenzo Victoria ,34.0
Magdalena Tequisistlán,34.0
San Miguel Ejutla ,28.0
Concepción Buenavista ,32.0
San Pedro Yaneri ,26.0
San Bartolo Coyotepec,30.0
Santa Lucía Miahuatlán ,22.0
San José del Peñasco ,25.0
Ocotlán de Morelos,29.0
San Miguel Huautla ,28.0
San Pedro Ixtlahuaca,25.0
Santa María Coyotepec ,29.0
Yogana ,35.0
Santo Domingo Nuxaá ,25.0
San Jerónimo Tlacochahuaya,33.0
Heroica Ciudad de Ejutla de Crespo,28.0
San Lorenzo Albarradas ,31.0
San Pablo Coatlán ,25.0
San Simón Zahuatlán ,18.0
San Bartolomé Yucuañe ,38.0
Santa Catarina Minas ,29.0
Santiago Chazumba,37.0
San Felipe Jalapa de Díaz ,23.0
San Pablo Cuatro Venados ,23.0
Santa María Ozolotepec ,24.0
San Miguel Tecomatlán ,44.0
San Miguel Piedras ,30.0
San Juan Ihualtepec,41.0
Santa María del Rosario ,33.0
San Jerónimo Taviche ,23.0
San Pedro Teozacoalco ,33.0
San Simón Almolongas ,30.5
San Juan Bautista Tuxtepec,30.0
Santa María la Asunción ,28.0
San Francisco Sola ,24.0
Huautla de Jiménez,29.0
San Felipe Usila ,28.0
San Martín Tilcajete ,30.0
San Pedro Ixcatlán,26.0
Magdalena Tlacotepec ,39.0
San Andrés Tepetlapa ,27.0
Santa Cruz Mixtepec ,28.0
Santa María Cortijo ,29.0
Santa María Chachoápam ,39.0
Santiago Minas ,31.0
Asunción Nochixtlán,27.0
San Pedro Pochutla,26.0
Santo Domingo Yanhuitlán ,34.0
San Antonio Huitepec ,30.0
Acatlán de Pérez Figueroa,30.0
San Miguel Tulancingo ,44.0
Cosoltepec ,48.0
Santos Reyes Yucuná ,18.0
Santa Cruz Amilpas,29.0
Abejones ,25.0
Magdalena Ocotlán ,28.0
