Municipio,Población total
Santo Domingo Armenta ,3155.0
San Andrés Teotilálpam ,4233.0
Santa María Apazco ,1629.0
Santo Domingo Tepuxtepec ,6029.0
Santos Reyes Nopala,16688.0
San Antonino Monte Verde,7678.0
Magdalena Apasco,7888.0
Santa Inés del Monte ,2809.0
Ánimas Trujano ,4564.0
Santo Domingo Teojomulco ,5260.0
El Barrio de la Soledad,13474.0
San Andrés Solaga ,1771.0
San Francisco Ixhuatán,9461.0
Santa María Ixcatlán ,461.0
Santiago Yosondúa,7991.0
San Juan Colorado,9609.0
Villa de Etla,10361.0
Santa María Jacatepec,9682.0
San Lorenzo,5903.0
Totontepec Villa de Morelos ,5904.0
San Juan Bautista Jayacatlán,1447.0
Tlacolula de Matamoros,30254.0
Santa María Mixtequilla ,4690.0
San Francisco Huehuetlán,842.0
Santa María Temaxcaltepec ,2694.0
San Vicente Lachixío ,3227.0
San Mateo Yucutindoo ,3144.0
Putla Villa de Guerrero,34652.0
Santa Cruz Papalutla ,2242.0
San Juan Mazatlán,19032.0
San Lucas Ojitlán ,22185.0
San Luis Amatlán ,3829.0
Santiago Lachiguiri,4394.0
San Pedro Ocopetatillo ,786.0
San Pedro y San Pablo Teposcolula ,4353.0
Santos Reyes Pápalo ,2490.0
San Mateo Río Hondo ,3207.0
Santiago Zacatepec ,5089.0
Santa María Texcatitlán ,896.0
Santa María Tonameca,25347.0
Santa María Teopoxco ,3985.0
San José Lachiguiri ,3700.0
San Juan Guelavía,3288.0
San Pedro Tidaá ,982.0
Fresnillo de Trujano,1077.0
San Francisco Chindúa ,812.0
San Andrés Huayápam ,6279.0
San Sebastián Coatlán ,2809.0
Concepción Pápalo ,2754.0
Villa Hidalgo ,1885.0
San Francisco Teopan ,312.0
San Lucas Quiaviní ,1720.0
San Francisco Nuxaño ,376.0
San Mateo Tlapiltepec ,229.0
San Juan Guichicovi,29802.0
San Miguel Coatlán ,3184.0
Sitio de Xitlapehua ,713.0
San Miguel Mixtepec ,3194.0
Santo Domingo Tlatayápam ,113.0
San Francisco Logueche ,2803.0
Santiago Huajolotitlán ,4600.0
Santo Domingo Tomaltepec ,3386.0
San Juan Bautista Valle Nacional,23067.0
San Pablo Huitzo,7035.0
Santiago Nuyoó ,1898.0
San Andrés Paxtlán ,4562.0
Santa María Peñoles ,8967.0
San Juan Teitipac,2668.0
Santiago Nacaltepec ,1599.0
La Pe ,3052.0
Soledad Etla ,6348.0
Santa Catalina Quierí ,825.0
Santa Catarina Cuixtla ,1495.0
Santa Catarina Juquila,18654.0
San Francisco del Mar,8710.0
San Miguel Panixtlahuaca ,6252.0
Santiago Pinotepa Nacional,55840.0
Tlacotepec Plumas ,410.0
Santo Domingo Tonalá,7393.0
Rojas de Cuauhtémoc ,1301.0
San Juan Coatzóspam,1808.0
Santa Catarina Loxicha ,3676.0
Santa María Tlahuitoltepec ,9653.0
San Pedro Molinos ,706.0
San Jerónimo Coatlán ,5537.0
Santa Ana Tlapacoyan ,1958.0
Santiago Texcalcingo ,2974.0
Santiago Atitlán ,3556.0
Villa Díaz Ordaz,6467.0
San Martín de los Cansecos ,994.0
San Melchor Betaza ,1052.0
San Miguel Achiutla ,698.0
San José Chiltepec,11310.0
La Compañía ,3607.0
