Municipio,Porcentaje de hombres
Santo Domingo Armenta ,50.1426307448494
San Andrés Teotilálpam ,47.1060713442003
Santa María Apazco ,45.426642111725
Santo Domingo Tepuxtepec ,46.3758500580527
Santos Reyes Nopala,47.3214285714286
San Antonino Monte Verde,46.001562907007
Magdalena Apasco,47.4137931034483
Santa Inés del Monte ,49.4838020647917
Ánimas Trujano ,47.5460122699387
Santo Domingo Teojomulco ,48.9733840304183
El Barrio de la Soledad,48.2559002523378
San Andrés Solaga ,48.3907396950875
San Francisco Ixhuatán,50.3752246062784
Santa María Ixcatlán ,48.590021691974
Santiago Yosondúa,46.9653360030034
San Juan Colorado,48.5794567592882
Villa de Etla,48.1806775407779
Santa María Jacatepec,47.386903532328
San Lorenzo,47.4673894629849
Totontepec Villa de Morelos ,48.119918699187
San Juan Bautista Jayacatlán,48.5832757429164
Tlacolula de Matamoros,47.5474317445627
Santa María Mixtequilla ,48.5714285714286
San Francisco Huehuetlán,44.8931116389549
Santa María Temaxcaltepec ,45.3600593912398
San Vicente Lachixío ,45.2432599938023
San Mateo Yucutindoo ,50.4452926208651
Putla Villa de Guerrero,46.7188041094309
Santa Cruz Papalutla ,48.7957181088314
San Juan Mazatlán,49.2171080285834
San Lucas Ojitlán ,47.8521523551949
San Luis Amatlán ,46.8268477409245
Santiago Lachiguiri,48.5889849795175
San Pedro Ocopetatillo ,44.2748091603053
San Pedro y San Pablo Teposcolula ,47.1858488398805
Santos Reyes Pápalo ,48.9156626506024
San Mateo Río Hondo ,48.9865918303711
Santiago Zacatepec ,48.7129101984673
Santa María Texcatitlán ,48.2142857142857
Santa María Tonameca,48.7789481989979
Santa María Teopoxco ,44.9184441656211
San José Lachiguiri ,47.3513513513513
San Juan Guelavía,49.1788321167883
San Pedro Tidaá ,45.9266802443992
Fresnillo de Trujano,49.9535747446611
San Francisco Chindúa ,48.8916256157635
San Andrés Huayápam ,47.7783086478739
San Sebastián Coatlán ,48.3802064791741
Concepción Pápalo ,49.9636891793755
Villa Hidalgo ,47.7453580901857
San Francisco Teopan ,51.6025641025641
San Lucas Quiaviní ,42.3255813953488
San Francisco Nuxaño ,51.3297872340426
San Mateo Tlapiltepec ,48.471615720524
San Juan Guichicovi,46.8458492718609
San Miguel Coatlán ,45.822864321608
Sitio de Xitlapehua ,48.9481065918654
San Miguel Mixtepec ,49.5303694427051
Santo Domingo Tlatayápam ,46.0176991150442
San Francisco Logueche ,47.235105244381
Santiago Huajolotitlán ,48.1086956521739
Santo Domingo Tomaltepec ,48.7595983461311
San Juan Bautista Valle Nacional,47.626479386136
San Pablo Huitzo,47.1641791044776
Santiago Nuyoó ,47.945205479452
San Andrés Paxtlán ,50.3068829460763
Santa María Peñoles ,48.2101037136166
San Juan Teitipac,47.8260869565217
Santiago Nacaltepec ,45.9662288930582
La Pe ,49.6395806028834
Soledad Etla ,48.4719596723377
Santa Catalina Quierí ,44.3636363636364
Santa Catarina Cuixtla ,45.1505016722408
Santa Catarina Juquila,48.1451699367428
San Francisco del Mar,50.2181400688863
San Miguel Panixtlahuaca ,44.1138835572617
Santiago Pinotepa Nacional,48.7356733524355
Tlacotepec Plumas ,48.2926829268293
Santo Domingo Tonalá,48.2483430271879
Rojas de Cuauhtémoc ,48.6548808608762
San Juan Coatzóspam,48.3407079646018
Santa Catarina Loxicha ,47.0348204570185
Santa María Tlahuitoltepec ,47.3945923547084
San Pedro Molinos ,48.0169971671388
San Jerónimo Coatlán ,48.7809283005238
Santa Ana Tlapacoyan ,47.2420837589377
Santiago Texcalcingo ,47.2427706792199
Santiago Atitlán ,50.140607424072
Villa Díaz Ordaz,45.8326890366476
San Martín de los Cansecos ,47.4849094567404
San Melchor Betaza ,47.9087452471483
San Miguel Achiutla ,50.1432664756447
San José Chiltepec,48.2847038019452
La Compañía ,47.1583032991406
San Ildefonso Sola ,48.3962264150943
Santa María Guienagati ,48.8986784140969
San Miguel Soyaltepec,48.1154025127966
San Baltazar Loxicha ,48.122436099716
San Cristóbal Lachirioag ,47.3919523099851
San Francisco Chapulapa ,48.3371298405467
San Juan Tepeuxila,51.5601783060921
San Pablo Villa de Mitla,48.0312063001398
San Lorenzo Cacaotepec,48.3068869622117
Santa María Tepantlali ,48.5738255033557
San Carlos Yautepec,50.3001200480192
Santiago Suchilquitongo,48.1719639904464
Zapotitlán Palmas ,45.1327433628319
Santiago Ixcuintepec ,47.3716381418093
Mártires de Tacubaya ,49.1009681881051
Santiago Zoochila ,48.4705882352941
Santiago Astata ,49.7192445125064
San Juan Yaeé ,48.1767180925666
San Miguel Tequixtepec ,47.5095785440613
San Juan Lachigalla,49.1803278688525
Santiago Lalopa ,47.0997679814385
San Juan Ozolotepec,50.0732922896511
Santiago Xanica ,50.7758336084516
Santa Catarina Zapoquila ,49.8759305210918
San Pedro Jicayán,46.7417324230872
San Miguel Tilquiápam ,45.049347341611
Santa Catarina Quioquitani ,50.6578947368421
San Pedro Totolápam ,49.6964177292046
Santiago del Río ,47.6280834914611
San Juan Achiutla ,49.7549019607843
San Juan Lalana,48.5255165106834
405 Villa de Chilapa de Díaz ,45.6749311294766
Chiquihuitlán de Benito Juárez ,45.6172556218449
Santa María Alotepec ,48.3905579399142
San Juan Quiotepec,49.5327102803738
San Pablo Huixtepec,47.1157684630739
Tlalixtac de Cabrera,47.8329327919118
Santa Cruz Xitla ,47.5803087192324
San Miguel del Río ,49.7959183673469
Asunción Cacalotepec ,48.252846486062
Santa Ana Cuauhtémoc ,50.2202643171806
San Pedro Mixtepec ,48.1481481481481
Santo Domingo Yodohino ,52.2935779816514
San Mateo Piñas ,50.7669470559129
San Pedro Nopala ,47.6697736351531
San Martín Toxpalan ,48.0681240467717
San Andrés Zautla ,47.9722117912129
Santa María Colotepec,48.957331952969
San Cristóbal Suchixtlahuaca ,49.1573033707865
Villa de Tututepec de Melchor Ocampo,48.5407886666271
San Antonino el Alto ,49.7597042513863
San Pedro Juchatengo ,47.977207977208
San Antonino Castillo Velasco,47.5263852242744
Mesones Hidalgo ,46.3607594936709
Heroica Ciudad de Huajuapan de León,47.4531686948527
San Agustín Loxicha ,48.7821638543178
San Andrés Cabecera Nueva ,48.4206872613676
Santiago Yucuyachi ,49.3987975951904
San Juan Lajarcia,46.0567823343849
San Agustín Etla ,47.6007677543186
Santo Domingo Zanatepec,49.267003124249
Santa Catarina Yosonotú ,44.9088145896657
Santiago Xiacuí ,47.8605388272583
San Marcial Ozolotepec ,45.9183673469388
San Juan Petlapa,47.6098812961181
San Juan Sayultepec,45.9613196814562
San Juan Bautista Guelache,47.3251643753736
Santiago Laollaga ,48.467717941089
San Lorenzo Texmelúcan ,45.004372540446
Heroica Ciudad de Tlaxiaco,46.3624355108043
San Dionisio Ocotlán ,48.2608695652174
Santo Domingo Ozolotepec ,47.6839237057221
Pinotepa de Don Luis,49.283042394015
Santiago Tapextla ,50.4786215698787
San Juan del Río,47.4489795918367
San Juan Quiahije,45.4913157268618
Capulálpam de Méndez ,44.6571957998765
San Bartolomé Quialana ,41.6073670992047
Santa María Yosoyúa ,47.8516774573278
Chalcatongo de Hidalgo,46.8954067515219
Santo Domingo Petapa,49.8726044089952
San Mateo Cajonos ,48.6088379705401
San Miguel Amatitlán,48.2256203115984
San Miguel Santa Flor ,52.2431259044863
Santiago Llano Grande ,49.8837209302326
Santos Reyes Tepejillo ,45.7964601769911
Santa María Totolapilla ,48.7684729064039
San Jerónimo Sosola ,47.8021978021978
San Andrés Zabache ,45.0534759358289
Santo Domingo Tehuantepec,48.4580522298823
Santa Ana del Valle,49.3804497475906
San Sebastián Tutla,45.65706837303
San Juan Bautista Atatlahuca,47.752808988764
Santiago Tenango ,49.2878942014242
San José Estancia Grande ,48.7206823027719
San Dionisio del Mar,49.9420849420849
San Martín Peras ,47.0730138308138
Santa María Zacatepec,47.6374269005848
Santiago Tamazola ,47.1511888739345
San Agustín Chayuco ,48.5947633917848
San Baltazar Yatzachi el Bajo ,48.2195845697329
Eloxochitlán de Flores Magón ,47.3309608540925
San Pedro Huamelula,49.3271700051361
San José Tenango ,47.3207380399956
San Pedro Mártir Yucuxaco ,47.6531424025457
Santa María Zaniza ,48.1976508707979
San Jorge Nuchita ,46.5463380770566
San Agustín Atenango ,48.5301977552111
Tamazulápam del Espíritu Santo,44.5929018789144
San Bartolomé Loxicha ,48.3506552191595
San Juan Juquila Mixes,47.6370510396975
San Sebastián Ixcapa ,48.567335243553
San Juan Mixtepec,40.3624382207578
San Miguel Amatlán ,47.7295660948537
Santa María Ecatepec ,50.7314218841428
Zapotitlán Lagunas ,48.4033116499113
Santa María Pápalo ,49.9514091350826
San Andrés Dinicuiti ,48.6568457538995
Santa María Atzompa,47.5847427303738
Santo Domingo Ingenio,49.0170550709543
Santiago Camotlán ,48.744769874477
Santo Tomás Mazaltepec ,48.353751914242
Teotitlán de Flores Magón,47.3908307753243
Asunción Cuyotepeji ,47.2448057813912
Asunción Ocotlán ,45.553235908142
Trinidad Zaachila ,47.0020473822755
San Francisco Cahuacuá ,49.1884057971014
Cosolapa,47.2528989508559
San Pedro Yólox ,48.2616381850324
Santa Cruz Zenzontepec ,48.4459353215577
Santiago Cacaloxtepec ,48.1103779244151
San Pedro Ocotepec ,49.7504159733777
Natividad ,44.578313253012
San Pedro Quiatoni ,48.4576697401509
San Miguel Aloápam ,45.5499771793701
Teotongo,45.4726368159204
San Miguel Tlacotepec ,46.1935483870968
San Francisco Cajonos ,47.0066518847007
Santa María Jaltianguis ,46.9594594594595
Santiago Amoltepec ,48.9714904366655
Valerio Trujano ,46.5116279069767
Santiago Tilantongo ,46.0926193921852
Magdalena Yodocono de Porfirio Díaz ,48.3353151010702
Santa María Huazolotitlán  ,49.1037932471863
San Pedro Coxcaltepec Cántaros ,46.6480446927374
San Antonio de la Cal,47.1501407807625
San Antonio Nanahuatípam ,49.1071428571429
San Francisco Telixtlahuaca,48.1668591224018
San Ildefonso Amatlán ,46.3288965221125
San José Ayuquila ,46.9613259668508
San Jacinto Amilpas,47.4772686753432
San José del Progreso,47.8099019729495
San Esteban Atatlahuca ,47.737671581088
San Pedro Sochiápam ,48.2581155977831
San Vicente Nuñú ,46.9933184855234
San Pablo Macuiltianguis ,50.0523560209424
San Pedro Huilotepec ,49.077713940127
San Cristóbal Amatlán ,47.7761304670126
Santiago Choápam ,47.5200305227013
San Juan Atepec ,48.3870967741936
San Juan Bautista Suchitepec,49.0066225165563
Santo Domingo Albarradas ,47.2431077694236
San Miguel Tlacamama ,48.6913849509269
San Andrés Lagunas ,47.6833976833977
Ayotzintepec,47.8780807933499
San Lorenzo Victoria ,51.2875536480687
Magdalena Tequisistlán,49.0160106737825
San Miguel Ejutla ,46.6492602262837
Concepción Buenavista ,49.8670212765958
San Pedro Yaneri ,48.2122260668973
San Bartolo Coyotepec,48.0993167163892
Santa Lucía Miahuatlán ,48.8
San José del Peñasco ,47.557003257329
Ocotlán de Morelos,47.7327270430719
San Miguel Huautla ,46.9107551487414
San Pedro Ixtlahuaca,48.9142385926333
Santa María Coyotepec ,47.1340975739803
Yogana ,47.8714859437751
Santo Domingo Nuxaá ,48.7556221889055
San Jerónimo Tlacochahuaya,47.0506592643997
Heroica Ciudad de Ejutla de Crespo,47.8615863141524
San Lorenzo Albarradas ,50.6563446650959
San Pablo Coatlán ,48.9090064995357
San Simón Zahuatlán ,49.9797570850202
San Bartolomé Yucuañe ,44.2176870748299
Santa Catarina Minas ,49.7339138848573
Santiago Chazumba,47.0781217961862
San Felipe Jalapa de Díaz ,47.0350877192982
San Pablo Cuatro Venados ,47.5496688741722
Santa María Ozolotepec ,48.3785921434221
San Miguel Tecomatlán ,49.8360655737705
San Miguel Piedras ,47.8915662650602
San Juan Ihualtepec,45.748987854251
Santa María del Rosario ,49.2985971943888
San Jerónimo Taviche ,48.2404692082111
San Pedro Teozacoalco ,49.8699045967043
San Simón Almolongas ,47.5731620271235
San Juan Bautista Tuxtepec,47.6425507362717
Santa María la Asunción ,43.9398588524087
San Francisco Sola ,46.9044081228331
Huautla de Jiménez,46.1305581835383
San Felipe Usila ,47.9698137970634
San Martín Tilcajete ,46.6835443037975
San Pedro Ixcatlán,47.9938271604938
Magdalena Tlacotepec ,47.9568234387047
San Andrés Tepetlapa ,48.0314960629921
Santa Cruz Mixtepec ,48.1720430107527
Santa María Cortijo ,48.5473289597001
Santa María Chachoápam ,48.2260183968463
Santiago Minas ,49.1333835719668
Asunción Nochixtlán,46.7992572322127
San Pedro Pochutla,48.7905568002655
Santo Domingo Yanhuitlán ,46.4788732394366
San Antonio Huitepec ,46.1171662125341
Acatlán de Pérez Figueroa,48.6638474992805
San Miguel Tulancingo ,43.6482084690554
Cosoltepec ,47.945205479452
Santos Reyes Yucuná ,49.5929443690638
Santa Cruz Amilpas,46.8939393939394
Abejones ,42.8061831153389
Magdalena Ocotlán ,49.4087837837838
Santiago Matatlán,46.3292383292383
Taniche ,46.5614430665163
San Juan Tabaá,47.945205479452
Guelatao de Juárez,49.4672754946728
Santiago Jamiltepec,47.9227710339054
Santiago Yolomécatl ,45.993756503642
San Pedro el Alto ,48.4744305973356
San Pedro y San Pablo Ayutla ,45.1032763532764
San Juan Teposcolula,48.3935742971888
San Lorenzo Cuaunecuiltitla ,51.7406962785114
San Francisco Tlapancingo ,46.2783171521036
El Espinal,48.5567010309278
San Martín Huamelúlpam ,46.8
Santa Ana Zegache ,46.7972871137905
Santa María Quiegolani ,50.9892086330935
Santo Domingo Ixcatlán ,45.3947368421053
Chahuites,49.0401549841493
San Agustín Yatareni ,46.9117913421482
San Bartolomé Zoogocho ,53.8975501113586
San Pedro Yucunama ,45.2282157676349
San Mateo Peñasco ,46.9798657718121
Monjas ,46.0076045627376
Zimatlán de Álvarez,47.2095233784457
San Vicente Coatlán ,46.0421412300683
Santa Inés de Zaragoza ,47.7303988995873
Santiago Apóstol ,45.3743496946392
San Juan Tamazola,48.6015037593985
Mazatlán Villa de Flores ,48.9938688885395
San Pablo Yaganiza ,48.2666666666667
La Trinidad Vista Hermosa ,49.3464052287582
San Blas Atempa,49.6090576766856
Reforma de Pineda ,48.1954887218045
Santa María del Tule,46.3027184248797
Magdalena Teitipac ,46.6204869857263
Santo Tomás Ocotepec ,45.6714215445155
San Andrés Ixtlahuaca ,47.5788288288288
Santiago Jocotepec,48.3377940555008
"Heroica Villa Tezoatlán de Segura y Luna, Cuna de la Independencia de Oaxaca",47.0649803750545
Ixtlán de Juárez,48.1335718545021
San Sebastián Abasolo ,47.423711855928
Silacayoápam,48.0923994038748
San Martín Itunyoso ,45.5074572571844
San Sebastián Tecomaxtlahuaca,47.71728515625
Heroica Ciudad de Juchitán de Zaragoza,48.0901646561592
San Juan Lachao,47.9571771902993
San Raymundo Jalpan ,46.747868453106
Santo Domingo de Morelos ,48.0498945888967
San Mateo Yoloxochitlán ,47.1156356042809
San Lucas Zoquiápam ,48.0664526036577
Magdalena Zahuatlán ,46.7821782178218
Mariscala de Juárez ,47.7935276811982
Santa María Zoquitlán ,49.4839101396478
San Juan Cacahuatepec,48.0702539433941
San Jerónimo Tecóatl ,46.4172479391249
San Juan Yucuita ,47.4339035769829
San Andrés Nuxiño ,47.6756756756757
Santa Ana Yareni ,44.1130298273155
Villa de Zaachila,47.699294077135
San Francisco Jaltepetongo ,47.8139534883721
Santa Magdalena Jicotlán ,50.6172839506173
Magdalena Peñasco ,47.2
Santa Lucía Monteverde,48.052334225394
Santa María Sola ,48.5488126649077
Santa Ana Tavela ,48.2311320754717
Santiago Nejapilla ,48.2758620689655
Santiago Yaveo,49.874884762281
Santo Tomás Jalieza,47.3617129747642
Tataltepec de Valdés ,48.7316003758221
San Miguel Tenango ,51.1485451761103
Yaxe ,48.4089370345295
Santa Lucía del Camino,47.9945196775346
Santiago Nundiche ,47.6683937823834
San Pedro Teutila ,48.8826815642458
San Francisco Lachigoló ,47.9769894534995
Coicoyán de las Flores ,46.6380842831747
Magdalena Jaltepec ,45.497791369351
San Juan Bautista Coixtlahuaca,48.2201834862385
San Juan Evangelista Analco ,47.1744471744472
San Mateo Sindihui ,47.1421345472939
San Pedro Jocotipac ,46.7123287671233
Villa Talea de Castro ,46.9915464942815
Santa Cruz Xoxocotlán,46.8277524352104
Santa María Xadani,49.3827160493827
San Juan Cotzocón,48.3113527000535
San Jerónimo Silacayoapilla ,48.9153254023793
Nuevo Zoquiápam ,47.9245283018868
Teococuilco de Marcos Pérez ,48.3527131782946
San Juan Bautista Tlachichilco,46.7118644067797
Santiago Juxtlahuaca,47.5802504678278
Guadalupe Etla ,47.6954592010925
Santo Domingo Chihuitán ,49.0111248454883
San Pedro y San Pablo Tequixtepec ,45.7927876359473
Huautepec ,46.6249021143305
Santo Domingo Tonaltepec ,46.8
San Jacinto Tlacotepec ,48.141513658755
San Agustín de las Juntas,48.3451847950136
Santa María Tataltepec ,48.5804416403785
Miahuatlán de Porfirio Díaz,48.8397022332506
Santa María Nduayaco ,48.3443708609272
Santo Domingo Roayaga ,47.8214665249734
San Antonio Acutla ,50.6024096385542
Santa Inés Yatzeche ,46.4757709251101
Cuyamecalco Villa de Zaragoza ,50.6860592755214
San Miguel Ahuehuetitlán,48.2259570494865
San Agustín Amatengo ,49.1525423728814
Teotitlán del Valle,47.5125156445557
Santiago Niltepec,48.951703481842
San Mateo del Mar ,50.0353220730846
San Pedro Jaltepetongo ,47.8260869565217
Santa Cruz Itundujia,47.6979742173112
Santa Lucía Ocotlán ,47.2322070452912
San Ildefonso Villa Alta ,48.3818330160457
Santa Catarina Mechoacán ,48.8432998690528
San Juan Chilateca,45.7950065703022
San Juan Bautista Tlacoatzintepec,46.1256304447501
Santiago Miltepec ,49.8812351543943
San Andrés Huaxpaltepec,48.0269489894129
San Pedro Tapanatepec,49.1892241100846
San Bartolo Yautepec ,49.1577335375191
San Antonio Sinicahua ,44.3645083932854
San Cristóbal Amoltepec ,46.0063897763578
Magdalena Mixtepec ,48.2903000697837
Santa María Guelacé ,47.2466960352423
San Sebastián Teitipac ,46.0027409776153
Santa Cruz Tacache de Mina ,47.2108843537415
Santiago Apoala ,46.0255152109912
San Pedro Comitancillo ,47.6575121163166
Santa Cruz Nundaco ,44.9678075228736
San Andrés Sinaxtla,46.8253968253968
San Pedro Topiltepec ,49.0616621983914
San Juan Juquila Vijanos,47.0212765957447
Asunción Tlacolulita ,48.3651226158038
San Juan Bautista Lo de Soto,50.2133105802048
Santa Catarina Quiané ,48.7460100319197
Tanetze de Zaragoza ,47.8818998716303
La Reforma,49.1058340662562
San Miguel Suchixtepec ,47.7830832196453
Santa María Tecomavaca ,48.6885245901639
Guevea de Humboldt,47.279299847793
San José Independencia ,48.2945189367208
San Antonio Tepetlapa,47.5271906423148
Santa Ana ,49.3765586034913
San Agustín Tlacotepec ,44.1860465116279
San Martín Zacatepec ,50.1510574018127
Santa María Tlalixtac ,50.2446982055465
Santa Cruz Acatepec ,46.9908814589666
Santa Cruz Tacahua ,47.4619289340102
San Pedro Mártir ,45.6556082148499
Santiago Laxopa ,46.0883036405887
Santa Cruz de Bravo ,46.5753424657534
San Martín Lachilá ,44.9709864603482
Santa Catarina Ticuá,43.4077079107505
San Dionisio Ocotepec,47.4366839014986
Total estatal,47.7921652370631
Ciénega de Zimatlán ,48.1104173512981
Santa María Yucuhiti,47.4367509986684
San Pedro Mixtepec,48.2282040980313
San Felipe Tejalápam,47.8678167901835
San Nicolás Hidalgo ,47.8427612655801
San Miguel del Puerto,49.9122909601216
Mixistlán de la Reforma ,45.9187776437475
Santa Gertrudis ,47.9418886198547
Santa María Jalapa del Marqués,48.2317852577759
Santo Tomás Tamazulapan,47.982391782832
Calihualá ,49.2154065620542
Loma Bonita,47.6205599257341
San Baltazar Chichicápam ,47.554347826087
Santa María Chilchotla ,48.3161768130793
San Pedro Taviche,47.9528105482304
San Bernardo Mixtepec ,47.8967833156592
Santa María Camotlán ,47.9276123759486
Santiago Comaltepec ,46.6724286949006
San Bartolomé Ayautla ,47.2282740256596
Santiago Ixtayutla ,47.1974063400576
Pluma Hidalgo ,48.5407066052227
San Juan Chicomezúchil,44.9324324324324
Villa Sola de Vega,48.2186234817814
Matías Romero Avendaño ,47.6023361181678
Asunción Ixtaltepec,49.4725116309547
Santiago Huauclilla,46.6666666666667
Santiago Tlazoyaltepec ,46.1269841269841
San Lucas Camotlán ,48.2899278318168
Guadalupe de Ramírez ,47.6708074534161
Santo Domingo Xagacía ,45.9751037344398
Santa María Temaxcalapa ,49.0586932447398
Santa Ana Ateixtlahuaca ,49.895178197065
San Miguel Yotao ,46.4957264957265
Ixpantepec Nieves ,45.1343836886006
San Miguel el Grande ,46.556920936703
Candelaria Loxicha ,48.8088841124843
Yutanduchi de Guerrero ,48.2845188284519
San Marcos Arteaga ,46.8112244897959
Santiago Tepetlapa ,40.0
Santa María Chimalapa ,50.0104405930257
San Miguel Peras ,47.7213200628601
Santiago Yaitepec ,45.0271674935034
Ciudad Ixtepec,47.3577380528452
Santa María Nativitas ,45.771144278607
Santa María Yavesía ,45.852534562212
San Andrés Yaá ,46.8193384223919
Santa María Yolotepec ,46.985446985447
Constancia del Rosario ,44.8731173922014
Salina Cruz,47.8966815888581
San Mateo Etlatongo ,48.910411622276
San Juan de los Cués,48.9054109871954
Santiago Textitlán ,49.0872210953347
San Pedro Amuzgos,46.4414957780458
Santa Cruz Tayata ,49.2436974789916
Santiago Tillo ,47.5229357798165
Santiago Tetepec ,48.4416378081076
San Juan Comaltepec,48.8767650834403
San Pedro Apóstol ,46.8632371392723
Santa María Ipalapa ,47.1914719147191
San Juan Ñumí,45.3490386280963
Santa Catarina Tayata ,47.7341389728097
Cuilápam de Guerrero,47.8498623614314
Santa María Petapa ,48.3658565784748
San Miguel Quetzaltepec,48.4490804282185
San Sebastián Nicananduta ,45.6549935149157
San Juan Diuxi,47.0643939393939
Santa Catarina Ixtepeji ,47.1775700934579
Reyes Etla ,48.1693363844394
San Pedro Atoyac ,46.3478833077429
San Juan del Estado,47.809048806555
San Nicolás ,47.7759472817133
San Pablo Etla,46.9326945548025
Oaxaca de Juárez,46.4475650938348
Santa María Lachixío ,45.2650387135199
San Francisco Ozolotepec ,47.6626947754354
San Miguel Chimalapa,50.8866040828491
San Juan Cieneguilla,51.7175572519084
San Pedro Mártir Quiechapa ,46.8834688346883
San Sebastián Río Hondo ,49.9762018086625
Santiago Ihuitlán Plumas ,45.4545454545455
Santiago Ayuquililla ,48.4504132231405
Santa Catarina Lachatao ,45.7979225684608
Ayoquezco de Aldama ,48.420188756668
San Miguel Chicahua ,44.767173812817
San Juan Yatzona ,44.7727272727273
Nazareno Etla ,47.891917074307
San Pablo Tijaltepec ,46.419483824064
Santa María Huatulco,48.8655577838072
San Bartolo Soyaltepec ,48.489932885906
Villa de Tamazulápam del Progreso,45.1116982944992
Coatecas Altas ,47.1807318894698
San Mateo Nejápam ,46.3434675431389
San Pedro Cajonos ,45.790934320074
San Juan Teita,47.7941176470588
