Municipio,Porcentaje de mujeres
Santo Domingo Armenta ,49.8573692551506
San Andrés Teotilálpam ,52.8939286557997
Santa María Apazco ,54.573357888275
Santo Domingo Tepuxtepec ,53.6241499419473
Santos Reyes Nopala,52.6785714285714
San Antonino Monte Verde,53.998437092993
Magdalena Apasco,52.5862068965517
Santa Inés del Monte ,50.5161979352083
Ánimas Trujano ,52.4539877300613
Santo Domingo Teojomulco ,51.0266159695817
El Barrio de la Soledad,51.7440997476622
San Andrés Solaga ,51.6092603049125
San Francisco Ixhuatán,49.6247753937216
Santa María Ixcatlán ,51.409978308026
Santiago Yosondúa,53.0346639969966
San Juan Colorado,51.4205432407118
Villa de Etla,51.8193224592221
Santa María Jacatepec,52.613096467672
San Lorenzo,52.5326105370151
Totontepec Villa de Morelos ,51.880081300813
San Juan Bautista Jayacatlán,51.4167242570836
Tlacolula de Matamoros,52.4525682554373
Santa María Mixtequilla ,51.4285714285714
San Francisco Huehuetlán,55.1068883610451
Santa María Temaxcaltepec ,54.6399406087602
San Vicente Lachixío ,54.7567400061977
San Mateo Yucutindoo ,49.5547073791349
Putla Villa de Guerrero,53.2811958905691
Santa Cruz Papalutla ,51.2042818911686
San Juan Mazatlán,50.7828919714166
San Lucas Ojitlán ,52.147847644805
San Luis Amatlán ,53.1731522590755
Santiago Lachiguiri,51.4110150204825
San Pedro Ocopetatillo ,55.7251908396947
San Pedro y San Pablo Teposcolula ,52.8141511601195
Santos Reyes Pápalo ,51.0843373493976
San Mateo Río Hondo ,51.0134081696289
Santiago Zacatepec ,51.2870898015327
Santa María Texcatitlán ,51.7857142857143
Santa María Tonameca,51.2210518010021
Santa María Teopoxco ,55.0815558343789
San José Lachiguiri ,52.6486486486486
San Juan Guelavía,50.8211678832117
San Pedro Tidaá ,54.0733197556008
Fresnillo de Trujano,50.0464252553389
San Francisco Chindúa ,51.1083743842365
San Andrés Huayápam ,52.2216913521261
San Sebastián Coatlán ,51.6197935208259
Concepción Pápalo ,50.0363108206245
Villa Hidalgo ,52.2546419098143
San Francisco Teopan ,48.3974358974359
San Lucas Quiaviní ,57.6744186046512
San Francisco Nuxaño ,48.6702127659575
San Mateo Tlapiltepec ,51.528384279476
San Juan Guichicovi,53.1541507281391
San Miguel Coatlán ,54.177135678392
Sitio de Xitlapehua ,51.0518934081346
San Miguel Mixtepec ,50.4696305572949
Santo Domingo Tlatayápam ,53.9823008849557
San Francisco Logueche ,52.764894755619
Santiago Huajolotitlán ,51.8913043478261
Santo Domingo Tomaltepec ,51.2404016538689
San Juan Bautista Valle Nacional,52.373520613864
San Pablo Huitzo,52.8358208955224
Santiago Nuyoó ,52.0547945205479
San Andrés Paxtlán ,49.6931170539237
Santa María Peñoles ,51.7898962863834
San Juan Teitipac,52.1739130434783
Santiago Nacaltepec ,54.0337711069418
La Pe ,50.3604193971166
Soledad Etla ,51.5280403276623
Santa Catalina Quierí ,55.6363636363636
Santa Catarina Cuixtla ,54.8494983277592
Santa Catarina Juquila,51.8548300632572
San Francisco del Mar,49.7818599311137
San Miguel Panixtlahuaca ,55.8861164427383
Santiago Pinotepa Nacional,51.2643266475645
Tlacotepec Plumas ,51.7073170731707
Santo Domingo Tonalá,51.7516569728121
Rojas de Cuauhtémoc ,51.3451191391238
San Juan Coatzóspam,51.6592920353982
Santa Catarina Loxicha ,52.9651795429815
Santa María Tlahuitoltepec ,52.6054076452916
San Pedro Molinos ,51.9830028328612
San Jerónimo Coatlán ,51.2190716994762
Santa Ana Tlapacoyan ,52.7579162410623
Santiago Texcalcingo ,52.7572293207801
Santiago Atitlán ,49.859392575928
Villa Díaz Ordaz,54.1673109633524
San Martín de los Cansecos ,52.5150905432596
San Melchor Betaza ,52.0912547528517
San Miguel Achiutla ,49.8567335243553
San José Chiltepec,51.7152961980548
La Compañía ,52.8416967008594
San Ildefonso Sola ,51.6037735849057
Santa María Guienagati ,51.1013215859031
San Miguel Soyaltepec,51.8845974872034
San Baltazar Loxicha ,51.877563900284
San Cristóbal Lachirioag ,52.6080476900149
San Francisco Chapulapa ,51.6628701594533
San Juan Tepeuxila,48.4398216939079
San Pablo Villa de Mitla,51.9687936998602
San Lorenzo Cacaotepec,51.6931130377883
Santa María Tepantlali ,51.4261744966443
San Carlos Yautepec,49.6998799519808
Santiago Suchilquitongo,51.8280360095536
Zapotitlán Palmas ,54.8672566371681
Santiago Ixcuintepec ,52.6283618581907
Mártires de Tacubaya ,50.8990318118949
Santiago Zoochila ,51.5294117647059
Santiago Astata ,50.2807554874936
San Juan Yaeé ,51.8232819074334
San Miguel Tequixtepec ,52.4904214559387
San Juan Lachigalla,50.8196721311475
Santiago Lalopa ,52.9002320185615
San Juan Ozolotepec,49.9267077103489
Santiago Xanica ,49.2241663915484
Santa Catarina Zapoquila ,50.1240694789082
San Pedro Jicayán,53.2582675769128
San Miguel Tilquiápam ,54.950652658389
Santa Catarina Quioquitani ,49.3421052631579
San Pedro Totolápam ,50.3035822707954
Santiago del Río ,52.3719165085389
San Juan Achiutla ,50.2450980392157
San Juan Lalana,51.4744834893166
405 Villa de Chilapa de Díaz ,54.3250688705234
Chiquihuitlán de Benito Juárez ,54.3827443781551
Santa María Alotepec ,51.6094420600858
San Juan Quiotepec,50.4672897196262
San Pablo Huixtepec,52.8842315369262
Tlalixtac de Cabrera,52.1670672080882
Santa Cruz Xitla ,52.4196912807676
San Miguel del Río ,50.2040816326531
