Municipio,Total
San Gabriel Chilac,133.0
Coyotepec ,33.0
Tenampulco,58.0
Atlixco,1018.0
Palmar de Bravo,261.0
Acateno,65.0
San Salvador Huixcolotla,77.0
Tehuacán,1659.0
Olintla,84.0
Ixcaquixtla,48.0
Zinacatepec,124.0
Epatlán ,45.0
Nicolás Bravo,41.0
Camocuautla ,9.0
San Martín Texmelucan,928.0
Tlachichuca,186.0
Chilchotla,157.0
Atexcal ,26.0
Rafael Lara Grajales,111.0
Zacapala ,31.0
Zihuateutla,84.0
Ayotoxco de Guerrero,69.0
Ajalpan,370.0
Yaonáhuac,47.0
San Felipe Teotlalcingo,73.0
Tilapa,65.0
Teotlalco ,34.0
Ixtacamaxtitlán,164.0
Libres,192.0
Hueytamalco,169.0
San José Chiapa,54.0
Acatlán,321.0
Xochitlán de Vicente Suárez,110.0
San Salvador el Verde,192.0
Tepeaca,443.0
Cuautlancingo,420.0
San Pedro Yeloixtlahuaca ,33.0
Zoquitlán ,136.0
Cañada Morelos,148.0
Atzala ,14.0
Jalpan,74.0
Pahuatlán,143.0
Santo Tomás Hueyotlipan,50.0
Acteopan ,25.0
Zongozotla ,46.0
Tlapacoya,37.0
San José Miahuatlán,87.0
Piaxtla ,57.0
Xiutetelco,227.0
Honey,40.0
Esperanza,97.0
Cuautinchán,54.0
Yehualtepec,145.0
Cuapiaxtla de Madero,59.0
Cuyoaco,90.0
Zacatlán,494.0
Coyomeapan ,114.0
Ahuazotepec,60.0
Tehuitzingo,123.0
Tepeojuma,71.0
Zoquiapan ,33.0
Ahuacatlán,108.0
Pantepec,156.0
Zautla,146.0
Venustiano Carranza,238.0
General Felipe Ángeles,139.0
San Juan Atzompa ,9.0
Juan N. Méndez ,43.0
Francisco Z. Mena,141.0
Tepatlaxco de Hidalgo,127.0
Chietla,310.0
Huitzilan de Serdán,93.0
San Sebastián Tlacotepec,84.0
Vicente Guerrero ,177.0
Ocotepec ,42.0
Xicotepec,488.0
Huehuetlán el Grande,56.0
Atzitzintla,48.0
Lafragua,71.0
San Miguel Ixitlán ,6.0
Xochiapulco ,30.0
Xochitlán Todos Santos,41.0
Atempan,157.0
San Jerónimo Tecuanipan ,46.0
Xayacatlán de Bravo ,23.0
Cohetzala ,13.0
Jonotla ,44.0
Mazapiltepec de Juárez ,9.0
Jolalpan,87.0
Chichiquila,146.0
Juan C. Bonilla,142.0
Coronango,268.0
Tepemaxalco ,3.0
Zapotitlán de Méndez ,37.0
Tecamachalco,461.0
Huitziltepec ,34.0
Molcaxac,45.0
San Martín Totoltepec ,11.0
Izúcar de Matamoros,553.0
San Gregorio Atzompa,67.0
Teopantlán ,45.0
Chiautzingo,122.0
Xicotlán ,13.0
Tepetzintla,55.0
Huaquechula,223.0
Hermenegildo Galeana,57.0
Nopalucan,115.0
Chignautla,168.0
Juan Galindo,80.0
Los Reyes de Juárez,146.0
Petlalcingo,69.0
Tepexi de Rodríguez,154.0
Huatlatlauca,66.0
Tlahuapan,259.0
Teteles de Avila Castillo,36.0
Nauzontla ,30.0
San Felipe Tepatlán ,29.0
Ixtepec,58.0
Tochtepec,134.0
Aljojuca,68.0
Santa Isabel Cholula,71.0
Tlaxco,43.0
Acajete,376.0
Amozoc,419.0
Zaragoza,89.0
Zacapoaxtla,369.0
Chiconcuautla,97.0
Caltepec ,42.0
Atzitzihuacán,120.0
Acatzingo,279.0
Jopala,97.0
Eloxochitlán ,68.0
Tetela de Ocampo,165.0
Xochiltepec ,34.0
San Antonio Cañada ,25.0
Calpan,122.0
Tepango de Rodríguez ,28.0
Oriental,103.0
La Magdalena Tlatlauquitepec ,3.0
Tlacotepec de Benito Juárez,282.0
Huehuetla,136.0
Chiautla,179.0
San Andrés Cholula,512.0
Santa Inés Ahuatempan,60.0
Tepeyahualco,121.0
Tochimilco,153.0
Chignahuapan,367.0
Huejotzingo,431.0
Tepanco de López,110.0
Mixtla ,15.0
San Salvador el Seco,195.0
Coxcatlán,144.0
Santiago Miahuatlán,150.0
San Juan Atenco ,37.0
Chalchicomula de Sesma,330.0
Chapulco,43.0
Atoyatempan,49.0
San Diego la Mesa Tochimiltzingo ,11.0
Coatzingo ,15.0
Coatepec ,5.0
Chila ,42.0
Santa Catarina Tlaltempan ,21.0
Amixtlán ,31.0
Chila de la Sal ,18.0
Guadalupe,68.0
Ahuatlán ,28.0
Tulcingo,80.0
Tecomatlán,43.0
