Municipio,Total
San Gabriel Chilac,145.997654720176
Coyotepec ,17.4514564682822
Tenampulco,48.0669336900385
Atlixco,483.589002143834
Palmar de Bravo,138.647311669941
Acateno,50.7123435930092
San Salvador Huixcolotla,704.642034837653
Tehuacán,591.890315294482
Olintla,190.234503398413
Ixcaquixtla,82.4746021750701
Zinacatepec,292.115828212713
Epatlán ,94.7870093367816
Nicolás Bravo,61.2896320414867
Camocuautla ,170.567150457156
San Martín Texmelucan,1738.78561584983
Tlachichuca,75.0771200522771
Chilchotla,143.941626105127
Atexcal ,11.6367997496583
Rafael Lara Grajales,3878.55060829822
Zacapala ,18.756247053239
Zihuateutla,67.9078791299062
Ayotoxco de Guerrero,76.9043765266908
Ajalpan,189.825041537891
Yaonáhuac,267.853778391223
San Felipe Teotlalcingo,280.87330159738
Tilapa,115.555885460594
Teotlalco ,26.9768708491617
Ixtacamaxtitlán,45.0741315460799
Libres,135.904416064012
Hueytamalco,86.4893442895564
San José Chiapa,58.9946688784196
Acatlán,62.3697539272895
Xochitlán de Vicente Suárez,166.128607017175
San Salvador el Verde,314.436431051531
Tepeaca,387.499454972843
Cuautlancingo,3602.8896670971
San Pedro Yeloixtlahuaca ,19.923241049488
Zoquitlán ,75.5213331700792
Cañada Morelos,84.4567324747168
Atzala ,133.301359227322
Jalpan,58.5187088908592
Pahuatlán,205.919517587964
Santo Tomás Hueyotlipan,479.958851836921
Acteopan ,40.8632757152614
Zongozotla ,124.34560209338
Tlapacoya,101.405945702791
San José Miahuatlán,41.8043718495923
Piaxtla ,20.9191536052798
Xiutetelco,294.359820591315
Honey,104.899943584239
Esperanza,186.27518314577
Cuautinchán,76.9910348390935
Yehualtepec,206.560818432232
Cuapiaxtla de Madero,452.434913871845
Cuyoaco,56.8787329567363
Zacatlán,178.577533247908
Coyomeapan ,64.7387377291638
Ahuazotepec,188.339758012889
Tehuitzingo,25.77178944518
Tepeojuma,67.4260047532445
Zoquiapan ,128.030133272419
Ahuacatlán,159.208679514439
Pantepec,84.1026192036348
Zautla,77.6746607835834
Venustiano Carranza,89.7040647380229
General Felipe Ángeles,247.964514029382
San Juan Atzompa ,39.4033070963672
Juan N. Méndez ,23.5153696981478
Francisco Z. Mena,41.5810052797504
Tepatlaxco de Hidalgo,307.490987019457
Chietla,113.759685535916
Huitzilan de Serdán,228.928791194441
San Sebastián Tlacotepec,55.7079577135162
Vicente Guerrero ,101.650263358872
Ocotepec ,75.5812402593076
Xicotepec,257.870052559722
Huehuetlán el Grande,33.8498234503879
Atzitzintla,67.9808905069348
Lafragua,42.4194449790912
San Miguel Ixitlán ,7.2270402375976
Xochiapulco ,57.191809839015
Xochitlán Todos Santos,43.8678718881298
Atempan,618.422486879438
San Jerónimo Tecuanipan ,165.622848934179
Xayacatlán de Bravo ,26.0318020524157
Cohetzala ,5.74269164203862
Jonotla ,148.610348350335
Mazapiltepec de Juárez ,57.2771533322892
Jolalpan,22.128080196882
Chichiquila,246.266796314734
Juan C. Bonilla,1066.69708418085
Coronango,1274.80539263204
Tepemaxalco ,41.1301232366019
Zapotitlán de Méndez ,278.924435038004
Tecamachalco,447.712536224605
Huitziltepec ,114.338269051557
Molcaxac,42.5648037289101
San Martín Totoltepec ,96.0014009767454
Izúcar de Matamoros,154.193720902685
San Gregorio Atzompa,820.337206941987
Teopantlán ,15.4256533562784
Chiautzingo,271.831385969477
Xicotlán ,6.41087554217815
Tepetzintla,146.255368590901
Huaquechula,126.35240496825
Hermenegildo Galeana,138.826061537534
Nopalucan,195.654035348772
Chignautla,237.467968861526
Juan Galindo,427.673765730901
Los Reyes de Juárez,975.562295140631
Petlalcingo,40.1532010972061
Tepexi de Rodríguez,56.9592748983696
Huatlatlauca,36.2863485303188
Tlahuapan,132.376491261714
Teteles de Avila Castillo,680.51285256997
Nauzontla ,120.091795416841
San Felipe Tepatlán ,84.0073259588584
Ixtepec,353.71309952152
Tochtepec,220.433964355944
Aljojuca,126.033645530121
Santa Isabel Cholula,350.720296827307
Tlaxco,90.0589705007169
Acajete,412.108592763892
Amozoc,882.857754993108
Zaragoza,544.448551598955
Zacapoaxtla,327.910282291627
Chiconcuautla,193.983980720734
Caltepec ,10.5093248390761
Atzitzihuacán,99.0505626840244
Acatzingo,453.443847834847
Jopala,71.2153092777646
Eloxochitlán ,145.229766897443
Tetela de Ocampo,82.8285182219107
Xochiltepec ,72.4059991508104
San Antonio Cañada ,74.1864824617656
Calpan,228.248454119898
Tepango de Rodríguez ,144.61537776359
Oriental,83.0734722002837
La Magdalena Tlatlauquitepec ,57.8000944199222
Tlacotepec de Benito Juárez,138.133934603456
Huehuetla,358.810631231322
Chiautla,26.9828391780677
San Andrés Cholula,2443.09860801405
Santa Inés Ahuatempan,22.1486689396651
Tepeyahualco,42.6080220597726
Tochimilco,88.2133978117105
Chignahuapan,87.4893293488212
Huejotzingo,524.972240677626
Tepanco de López,98.8447253392121
Mixtla ,280.655766673433
San Salvador el Seco,139.083694113042
Coxcatlán,82.847853084185
Santiago Miahuatlán,322.449097437204
San Juan Atenco ,37.4428526578259
Chalchicomula de Sesma,121.670743926266
Chapulco,94.0107938293852
Atoyatempan,285.995660620955
San Diego la Mesa Tochimiltzingo ,9.54745863254007
Coatzingo ,24.4940030521506
Coatepec ,62.9789987775148
Chila ,39.4602087196633
Santa Catarina Tlaltempan ,15.7517669713895
Amixtlán ,108.094747717744
Chila de la Sal ,9.33187938353874
Guadalupe,41.61803649477
Ahuatlán ,17.0888541503902
Tulcingo,35.5361434187052
Tecomatlán,47.0223997347784
Domingo Arenas,495.546266137327
Tuzamapan de Galeana,141.305743359273
Totoltepec de Guerrero ,7.63766432211595
Guadalupe Victoria,82.354919664904
Teziutlán,1119.52287992049
Chigmecatitlán ,46.8332131559035
Tlatlauquitepec,188.955456306406
Huehuetlán el Chico,70.677657474001
Hueyapan,174.853680932552
San Pablo Anicano ,38.7988251471743
Tlanepantla ,361.159211044554
San Miguel Xoxtla,1497.81855426755
Axutla ,5.18684917635627
Cuetzalan del Progreso,274.442940110568
Cuautempan,160.364679290253
Tlapanalá,123.464135162623
Total estatal,191.878340216284
Tianguismanalco,108.306921780145
Tepexco,64.7379657347291
Tzicatlacoyan,23.2264805961745
Puebla,3161.18926553326
Cuayuca de Andrade ,16.6707395454176
Zapotitlán,20.0200295842278
Ocoyucan,356.210697469654
Nealtican,745.529120526618
San Pedro Cholula,1800.01767367624
San Nicolás de los Ranchos ,72.6477931800248
Aquixtla,54.0804732037784
Tlaltenango,345.600374002441
Ahuehuetitla ,30.5462165250471
Tlacuilotepec,92.1837476100896
Soltepec,110.529992570098
Huauchinango,414.207381732542
San Nicolás Buenos Aires,49.7274786115931
Tecali de Herrera,134.492305549122
Chinantla ,32.1595393497958
Altepexi,479.940182261213
San Matías Tlalancaleca,413.468286553853
Naupan,152.386272455328
Quecholac,310.394567763474
Ixcamilpa de Guerrero ,13.1851663367079
Quimixtlán,136.752046646298
Tlaola,142.919492901067
Hueytlalpan ,141.252789523332
San Jerónimo Xayacatlán ,25.217977236864
Tepeyahualco de Cuauhtémoc ,246.182857286295
Atlequizayan ,211.757003284633
Albino Zertuche ,23.7477134367663
Caxhuacan ,272.401485657832
Cohuecan ,113.845308605316
