Municipio,Total
San Gabriel Chilac,28.0
Coyotepec ,37.0
Tenampulco,34.0
Atlixco,28.0
Palmar de Bravo,23.0
Acateno,30.0
San Salvador Huixcolotla,25.0
Tehuacán,27.0
Olintla,25.0
Ixcaquixtla,28.0
Zinacatepec,27.0
Epatlán ,28.0
Nicolás Bravo,25.0
Camocuautla ,24.0
San Martín Texmelucan,28.0
Tlachichuca,25.0
Chilchotla,22.0
Atexcal ,28.0
Rafael Lara Grajales,25.0
Zacapala ,27.0
Zihuateutla,27.0
Ayotoxco de Guerrero,28.0
Ajalpan,23.0
Yaonáhuac,27.5
San Felipe Teotlalcingo,27.0
Tilapa,27.0
Teotlalco ,29.0
Ixtacamaxtitlán,27.0
Libres,25.0
Hueytamalco,28.0
San José Chiapa,25.0
Acatlán,28.0
Xochitlán de Vicente Suárez,25.0
San Salvador el Verde,26.0
Tepeaca,25.0
Cuautlancingo,29.0
San Pedro Yeloixtlahuaca ,30.0
Zoquitlán ,23.0
Cañada Morelos,25.0
Atzala ,27.0
Jalpan,28.0
Pahuatlán,25.0
Santo Tomás Hueyotlipan,26.0
Acteopan ,30.0
Zongozotla ,33.0
Tlapacoya,25.0
San José Miahuatlán,28.0
Piaxtla ,33.0
Xiutetelco,23.0
Honey,25.0
Esperanza,26.0
Cuautinchán,24.0
Yehualtepec,24.0
Cuapiaxtla de Madero,23.0
Cuyoaco,26.0
Zacatlán,26.0
Coyomeapan ,21.0
Ahuazotepec,27.0
Tehuitzingo,28.0
Tepeojuma,27.0
Zoquiapan ,31.0
Ahuacatlán,26.0
Pantepec,32.0
Zautla,25.0
Venustiano Carranza,28.0
General Felipe Ángeles,24.0
San Juan Atzompa ,28.0
Juan N. Méndez ,27.0
Francisco Z. Mena,31.0
Tepatlaxco de Hidalgo,25.0
Chietla,29.0
Huitzilan de Serdán,22.0
San Sebastián Tlacotepec,24.0
Vicente Guerrero ,22.0
Ocotepec ,29.0
Xicotepec,26.0
Huehuetlán el Grande,27.0
Atzitzintla,23.0
Lafragua,28.0
San Miguel Ixitlán ,44.5
Xochiapulco ,32.0
Xochitlán Todos Santos,25.0
Atempan,23.0
San Jerónimo Tecuanipan ,25.0
Xayacatlán de Bravo ,34.0
Cohetzala ,33.0
Jonotla ,31.0
Mazapiltepec de Juárez ,27.0
Jolalpan,27.0
Chichiquila,21.0
Juan C. Bonilla,27.0
Coronango,27.0
Tepemaxalco ,23.5
Zapotitlán de Méndez ,29.0
Tecamachalco,25.0
Huitziltepec ,27.0
Molcaxac,28.0
San Martín Totoltepec ,29.0
Izúcar de Matamoros,28.0
San Gregorio Atzompa,30.0
Teopantlán ,40.0
Chiautzingo,27.0
Xicotlán ,28.0
Tepetzintla,24.0
Huaquechula,26.0
Hermenegildo Galeana,30.0
Nopalucan,23.0
Chignautla,23.0
Juan Galindo,30.0
Los Reyes de Juárez,23.0
Petlalcingo,29.0
Tepexi de Rodríguez,28.0
Huatlatlauca,32.0
Tlahuapan,26.0
Teteles de Avila Castillo,26.0
Nauzontla ,31.0
San Felipe Tepatlán ,30.0
Ixtepec,26.0
Tochtepec,26.0
Aljojuca,30.0
Santa Isabel Cholula,24.0
Tlaxco,31.0
Acajete,23.0
Amozoc,26.0
Zaragoza,28.0
Zacapoaxtla,26.0
Chiconcuautla,21.0
Caltepec ,34.0
Atzitzihuacán,27.0
Acatzingo,23.0
Jopala,27.0
Eloxochitlán ,22.0
Tetela de Ocampo,28.0
Xochiltepec ,28.0
San Antonio Cañada ,24.0
Calpan,28.0
Tepango de Rodríguez ,27.0
Oriental,25.0
La Magdalena Tlatlauquitepec ,29.0
Tlacotepec de Benito Juárez,22.0
Huehuetla,28.0
Chiautla,28.0
San Andrés Cholula,30.0
Santa Inés Ahuatempan,28.0
Tepeyahualco,26.0
Tochimilco,25.0
Chignahuapan,27.0
Huejotzingo,27.0
Tepanco de López,25.0
Mixtla ,27.0
San Salvador el Seco,27.0
Coxcatlán,28.0
Santiago Miahuatlán,25.0
San Juan Atenco ,30.0
Chalchicomula de Sesma,27.0
Chapulco,23.0
Atoyatempan,24.0
San Diego la Mesa Tochimiltzingo ,28.0
Coatzingo ,29.0
Coatepec ,30.0
Chila ,28.0
Santa Catarina Tlaltempan ,38.0
Amixtlán ,29.0
Chila de la Sal ,34.0
Guadalupe,29.0
Ahuatlán ,29.0
Tulcingo,28.0
Tecomatlán,23.0
Domingo Arenas,24.0
Tuzamapan de Galeana,32.0
Totoltepec de Guerrero ,37.0
Guadalupe Victoria,25.0
Teziutlán,28.0
Chigmecatitlán ,38.0
Tlatlauquitepec,27.0
Huehuetlán el Chico,28.0
Hueyapan,24.0
San Pablo Anicano ,29.0
Tlanepantla ,24.0
San Miguel Xoxtla,27.0
Axutla ,35.0
Cuetzalan del Progreso,26.0
Cuautempan,27.0
Tlapanalá,25.0
Total estatal,28.0
Tianguismanalco,26.0
Tepexco,24.0
Tzicatlacoyan,27.0
Puebla,31.0
Cuayuca de Andrade ,30.0
Zapotitlán,28.0
Ocoyucan,25.0
Nealtican,24.0
San Pedro Cholula,30.0
San Nicolás de los Ranchos ,26.0
Aquixtla,27.0
Tlaltenango,25.0
Ahuehuetitla ,30.0
Tlacuilotepec,29.0
Soltepec,27.0
Huauchinango,27.0
San Nicolás Buenos Aires,25.0
Tecali de Herrera,26.0
Chinantla ,29.0
Altepexi,27.0
San Matías Tlalancaleca,28.0
Naupan,27.0
Quecholac,23.0
Ixcamilpa de Guerrero ,27.0
Quimixtlán,22.0
Tlaola,23.0
Hueytlalpan ,26.0
San Jerónimo Xayacatlán ,38.0
Tepeyahualco de Cuauhtémoc ,28.0
Atlequizayan ,30.0
Albino Zertuche ,28.0
Caxhuacan ,30.0
Cohuecan ,28.0
