Municipio,Total
San Gabriel Chilac,348.0
Coyotepec ,35.0
Tenampulco,92.0
Atlixco,2848.0
Palmar de Bravo,1206.0
Acateno,153.0
San Salvador Huixcolotla,392.0
Tehuacán,5721.0
Olintla,257.0
Ixcaquixtla,179.0
Zinacatepec,327.0
Epatlán ,103.0
Nicolás Bravo,139.0
Camocuautla ,56.0
San Martín Texmelucan,2864.0
Tlachichuca,604.0
Chilchotla,569.0
Atexcal ,97.0
Rafael Lara Grajales,432.0
Zacapala ,93.0
Zihuateutla,292.0
Ayotoxco de Guerrero,163.0
Ajalpan,1943.0
Yaonáhuac,118.0
San Felipe Teotlalcingo,242.0
Tilapa,217.0
Teotlalco ,50.0
Ixtacamaxtitlán,445.0
Libres,759.0
Hueytamalco,562.0
San José Chiapa,181.0
Acatlán,827.0
Xochitlán de Vicente Suárez,274.0
San Salvador el Verde,748.0
Tepeaca,2062.0
Cuautlancingo,1786.0
San Pedro Yeloixtlahuaca ,65.0
Zoquitlán ,489.0
Cañada Morelos,475.0
Atzala ,27.0
Jalpan,231.0
Pahuatlán,461.0
Santo Tomás Hueyotlipan,168.0
Acteopan ,43.0
Zongozotla ,66.0
Tlapacoya,152.0
San José Miahuatlán,286.0
Piaxtla ,104.0
Xiutetelco,984.0
Honey,144.0
Esperanza,285.0
Cuautinchán,257.0
Yehualtepec,659.0
Cuapiaxtla de Madero,292.0
Cuyoaco,337.0
Zacatlán,1790.0
Coyomeapan ,391.0
Ahuazotepec,216.0
Tehuitzingo,274.0
Tepeojuma,187.0
Zoquiapan ,55.0
Ahuacatlán,347.0
Pantepec,353.0
Zautla,495.0
Venustiano Carranza,568.0
General Felipe Ángeles,551.0
San Juan Atzompa ,19.0
Juan N. Méndez ,103.0
Francisco Z. Mena,259.0
Tepatlaxco de Hidalgo,479.0
Chietla,665.0
Huitzilan de Serdán,371.0
San Sebastián Tlacotepec,351.0
Vicente Guerrero ,682.0
Ocotepec ,78.0
Xicotepec,1517.0
Huehuetlán el Grande,134.0
Atzitzintla,230.0
Lafragua,162.0
San Miguel Ixitlán ,6.0
Xochiapulco ,60.0
Xochitlán Todos Santos,179.0
Atempan,767.0
San Jerónimo Tecuanipan ,142.0
Xayacatlán de Bravo ,25.0
Cohetzala ,23.0
Jonotla ,76.0
Mazapiltepec de Juárez ,73.0
Jolalpan,277.0
Chichiquila,747.0
Juan C. Bonilla,487.0
Coronango,1078.0
Tepemaxalco ,29.0
Zapotitlán de Méndez ,82.0
Tecamachalco,1712.0
Huitziltepec ,74.0
Molcaxac,133.0
San Martín Totoltepec ,10.0
Izúcar de Matamoros,1575.0
San Gregorio Atzompa,184.0
Teopantlán ,77.0
Chiautzingo,439.0
Xicotlán ,36.0
Tepetzintla,236.0
Huaquechula,670.0
Hermenegildo Galeana,167.0
Nopalucan,670.0
Chignautla,790.0
Juan Galindo,107.0
Los Reyes de Juárez,804.0
Petlalcingo,185.0
Tepexi de Rodríguez,411.0
Huatlatlauca,102.0
Tlahuapan,899.0
Teteles de Avila Castillo,93.0
Nauzontla ,49.0
San Felipe Tepatlán ,80.0
Ixtepec,178.0
Tochtepec,472.0
Aljojuca,115.0
Santa Isabel Cholula,340.0
Tlaxco,104.0
Acajete,1775.0
Amozoc,2229.0
Zaragoza,259.0
Zacapoaxtla,1158.0
Chiconcuautla,536.0
