Municipio,Total
San Gabriel Chilac,6943.0
Coyotepec ,128.0
Tenampulco,1307.0
Atlixco,3752.0
Palmar de Bravo,91.0
Acateno,208.0
San Salvador Huixcolotla,43.0
Tehuacán,22248.0
Olintla,9800.0
Ixcaquixtla,75.0
Zinacatepec,7605.0
Epatlán ,54.0
Nicolás Bravo,58.0
Camocuautla ,2174.0
San Martín Texmelucan,716.0
Tlachichuca,38.0
Chilchotla,1061.0
Atexcal ,44.0
Rafael Lara Grajales,34.0
Zacapala ,29.0
Zihuateutla,3973.0
Ayotoxco de Guerrero,2002.0
Ajalpan,26693.0
Yaonáhuac,3160.0
San Felipe Teotlalcingo,50.0
Tilapa,37.0
Teotlalco ,13.0
Ixtacamaxtitlán,2797.0
Libres,434.0
Hueytamalco,1491.0
San José Chiapa,14.0
Acatlán,393.0
Xochitlán de Vicente Suárez,9080.0
San Salvador el Verde,125.0
Tepeaca,313.0
Cuautlancingo,1261.0
San Pedro Yeloixtlahuaca ,8.0
Zoquitlán ,17562.0
Cañada Morelos,61.0
Atzala ,3.0
Jalpan,1128.0
Pahuatlán,9500.0
Santo Tomás Hueyotlipan,61.0
Acteopan ,755.0
Zongozotla ,3920.0
Tlapacoya,2472.0
San José Miahuatlán,10092.0
Piaxtla ,31.0
Xiutetelco,387.0
Honey,641.0
Esperanza,16.0
Cuautinchán,118.0
Yehualtepec,139.0
Cuapiaxtla de Madero,36.0
Cuyoaco,193.0
Zacatlán,8168.0
Coyomeapan ,12079.0
Ahuazotepec,74.0
Tehuitzingo,30.0
Tepeojuma,853.0
Zoquiapan ,1859.0
Ahuacatlán,12120.0
Pantepec,6695.0
Zautla,8892.0
Venustiano Carranza,1223.0
General Felipe Ángeles,93.0
San Juan Atzompa ,2.0
Juan N. Méndez ,144.0
Francisco Z. Mena,1038.0
Tepatlaxco de Hidalgo,1658.0
Chietla,144.0
Huitzilan de Serdán,9521.0
San Sebastián Tlacotepec,10882.0
Vicente Guerrero ,7057.0
Ocotepec ,170.0
Xicotepec,3621.0
Huehuetlán el Grande,276.0
Atzitzintla,97.0
Lafragua,65.0
San Miguel Ixitlán ,4.0
Xochiapulco ,1449.0
Xochitlán Todos Santos,21.0
Atempan,8209.0
San Jerónimo Tecuanipan ,84.0
Xayacatlán de Bravo ,695.0
Cohetzala ,89.0
Jonotla ,2474.0
Mazapiltepec de Juárez ,2.0
Jolalpan,744.0
Chichiquila,3035.0
Juan C. Bonilla,184.0
Coronango,357.0
Tepemaxalco ,25.0
Zapotitlán de Méndez ,3819.0
Tecamachalco,308.0
Huitziltepec ,45.0
Molcaxac,394.0
San Martín Totoltepec ,30.0
Izúcar de Matamoros,380.0
San Gregorio Atzompa,79.0
Teopantlán ,2844.0
Chiautzingo,164.0
Xicotlán ,8.0
Tepetzintla,8388.0
Huaquechula,141.0
Hermenegildo Galeana,5226.0
Nopalucan,61.0
Chignautla,3370.0
Juan Galindo,1362.0
Los Reyes de Juárez,61.0
Petlalcingo,438.0
Tepexi de Rodríguez,1407.0
Huatlatlauca,4337.0
Tlahuapan,116.0
Teteles de Avila Castillo,880.0
Nauzontla ,630.0
San Felipe Tepatlán ,2620.0
Ixtepec,5833.0
Tochtepec,101.0
Aljojuca,10.0
Santa Isabel Cholula,132.0
Tlaxco,737.0
Acajete,4131.0
Amozoc,1974.0
Zaragoza,734.0
Zacapoaxtla,19675.0
Chiconcuautla,9538.0
Caltepec ,35.0
Atzitzihuacán,170.0
Acatzingo,153.0
Jopala,6770.0
Eloxochitlán ,10346.0
Tetela de Ocampo,5323.0
Xochiltepec ,85.0
San Antonio Cañada ,1457.0
Calpan,2260.0
Tepango de Rodríguez ,3261.0
Oriental,75.0
La Magdalena Tlatlauquitepec ,2.0
Tlacotepec de Benito Juárez,11647.0
Huehuetla,12328.0
Chiautla,54.0
San Andrés Cholula,2792.0
Santa Inés Ahuatempan,700.0
Tepeyahualco,21.0
Tochimilco,1756.0
Chignahuapan,314.0
Huejotzingo,787.0
Tepanco de López,1838.0
Mixtla ,121.0
San Salvador el Seco,77.0
Coxcatlán,6366.0
Santiago Miahuatlán,1313.0
San Juan Atenco ,7.0
Chalchicomula de Sesma,156.0
Chapulco,98.0
Atoyatempan,663.0
San Diego la Mesa Tochimiltzingo ,9.0
Coatzingo ,5.0
Coatepec ,604.0
Chila ,12.0
Santa Catarina Tlaltempan ,516.0
Amixtlán ,3344.0
Chila de la Sal ,0.0
Guadalupe,39.0
Ahuatlán ,199.0
Tulcingo,105.0
Tecomatlán,418.0
Domingo Arenas,264.0
Tuzamapan de Galeana,2974.0
Totoltepec de Guerrero ,56.0
Guadalupe Victoria,128.0
Teziutlán,6445.0
Chigmecatitlán ,829.0
Tlatlauquitepec,8867.0
Huehuetlán el Chico,20.0
Hueyapan,9327.0
San Pablo Anicano ,10.0
Tlanepantla ,84.0
San Miguel Xoxtla,85.0
Axutla ,3.0
Cuetzalan del Progreso,30738.0
Cuautempan,5952.0
