Municipio,Total
San Gabriel Chilac,15954.0
Coyotepec ,2334.0
Tenampulco,6743.0
Atlixco,141793.0
Palmar de Bravo,50226.0
Acateno,9170.0
San Salvador Huixcolotla,16790.0
Tehuacán,327312.0
Olintla,11993.0
Ixcaquixtla,8804.0
Zinacatepec,18359.0
Epatlán ,4943.0
Nicolás Bravo,6644.0
Camocuautla ,2758.0
San Martín Texmelucan,155738.0
Tlachichuca,31639.0
Chilchotla,21002.0
Atexcal ,3859.0
Rafael Lara Grajales,15952.0
Zacapala ,4647.0
Zihuateutla,11967.0
Ayotoxco de Guerrero,8208.0
Ajalpan,74768.0
Yaonáhuac,7926.0
San Felipe Teotlalcingo,11063.0
Tilapa,9664.0
Teotlalco ,3689.0
Ixtacamaxtitlán,25319.0
Libres,37257.0
Hueytamalco,27600.0
San José Chiapa,10443.0
Acatlán,37955.0
Xochitlán de Vicente Suárez,13025.0
San Salvador el Verde,34880.0
Tepeaca,84270.0
Cuautlancingo,137435.0
San Pedro Yeloixtlahuaca ,3488.0
Zoquitlán ,20335.0
Cañada Morelos,20659.0
Atzala ,1512.0
Jalpan,12050.0
Pahuatlán,20274.0
Santo Tomás Hueyotlipan,9315.0
Acteopan ,3070.0
Zongozotla ,4539.0
Tlapacoya,6422.0
San José Miahuatlán,14018.0
Piaxtla ,4627.0
Xiutetelco,42943.0
Honey,6687.0
Esperanza,14766.0
Cuautinchán,12340.0
Yehualtepec,26392.0
Cuapiaxtla de Madero,10542.0
Cuyoaco,17139.0
Zacatlán,87361.0
Coyomeapan ,14806.0
Ahuazotepec,11439.0
Tehuitzingo,12672.0
Tepeojuma,8918.0
Zoquiapan ,2452.0
Ahuacatlán,14542.0
Pantepec,18528.0
Zautla,20717.0
Venustiano Carranza,28395.0
General Felipe Ángeles,22694.0
San Juan Atzompa ,975.0
Juan N. Méndez ,5293.0
Francisco Z. Mena,17824.0
Tepatlaxco de Hidalgo,18854.0
Chietla,37030.0
Huitzilan de Serdán,15928.0
San Sebastián Tlacotepec,13189.0
Vicente Guerrero ,26559.0
Ocotepec ,5077.0
Xicotepec,80591.0
Huehuetlán el Grande,6105.0
Atzitzintla,9051.0
Lafragua,7650.0
San Miguel Ixitlán ,526.0
Xochiapulco ,3443.0
Xochitlán Todos Santos,7178.0
Atempan,29742.0
San Jerónimo Tecuanipan ,6597.0
Xayacatlán de Bravo ,1570.0
Cohetzala ,1382.0
Jonotla ,4457.0
Mazapiltepec de Juárez ,3176.0
Jolalpan,13308.0
Chichiquila,26928.0
Juan C. Bonilla,23783.0
Coronango,46836.0
Tepemaxalco ,1216.0
Zapotitlán de Méndez ,5675.0
Tecamachalco,80771.0
Huitziltepec ,5782.0
Molcaxac,6668.0
San Martín Totoltepec ,692.0
Izúcar de Matamoros,82809.0
San Gregorio Atzompa,9671.0
Teopantlán ,3836.0
Chiautzingo,22039.0
Xicotlán ,1312.0
Tepetzintla,10373.0
Huaquechula,29233.0
Hermenegildo Galeana,7011.0
Nopalucan,32772.0
Chignautla,35223.0
Juan Galindo,9828.0
Los Reyes de Juárez,30021.0
Petlalcingo,9350.0
Tepexi de Rodríguez,22331.0
Huatlatlauca,6111.0
Tlahuapan,41547.0
Teteles de Avila Castillo,6653.0
Nauzontla ,3317.0
San Felipe Tepatlán ,3793.0
Ixtepec,6950.0
Tochtepec,22454.0
Aljojuca,6591.0
Santa Isabel Cholula,11498.0
Tlaxco,4934.0
Acajete,72894.0
Amozoc,125876.0
Zaragoza,16752.0
Zacapoaxtla,57887.0
