Municipio,Total
San Gabriel Chilac,San Gabriel Chilac
Coyotepec ,Coyotepec 
Tenampulco,Tenampulco
Atlixco,Atlixco
Palmar de Bravo,Palmar de Bravo
Acateno,Acateno
San Salvador Huixcolotla,San Salvador Huixcolotla
Tehuacán,Tehuacán
Olintla,Olintla
Ixcaquixtla,Ixcaquixtla
Zinacatepec,Zinacatepec
Epatlán ,Epatlán 
Nicolás Bravo,Nicolás Bravo
Camocuautla ,Camocuautla 
San Martín Texmelucan,San Martín Texmelucan
Tlachichuca,Tlachichuca
Chilchotla,Chilchotla
Atexcal ,Atexcal 
Rafael Lara Grajales,Rafael Lara Grajales
Zacapala ,Zacapala 
Zihuateutla,Zihuateutla
Ayotoxco de Guerrero,Ayotoxco de Guerrero
Ajalpan,Ajalpan
Yaonáhuac,Yaonáhuac
San Felipe Teotlalcingo,San Felipe Teotlalcingo
Tilapa,Tilapa
Teotlalco ,Teotlalco 
Ixtacamaxtitlán,Ixtacamaxtitlán
Libres,Libres
Hueytamalco,Hueytamalco
San José Chiapa,San José Chiapa
Acatlán,Acatlán
Xochitlán de Vicente Suárez,Xochitlán de Vicente Suárez
San Salvador el Verde,San Salvador el Verde
Tepeaca,Tepeaca
Cuautlancingo,Cuautlancingo
San Pedro Yeloixtlahuaca ,San Pedro Yeloixtlahuaca 
Zoquitlán ,Zoquitlán 
Cañada Morelos,Cañada Morelos
Atzala ,Atzala 
Jalpan,Jalpan
Pahuatlán,Pahuatlán
Santo Tomás Hueyotlipan,Santo Tomás Hueyotlipan
Acteopan ,Acteopan 
Zongozotla ,Zongozotla 
Tlapacoya,Tlapacoya
San José Miahuatlán,San José Miahuatlán
Piaxtla ,Piaxtla 
Xiutetelco,Xiutetelco
Honey,Honey
Esperanza,Esperanza
Cuautinchán,Cuautinchán
Yehualtepec,Yehualtepec
Cuapiaxtla de Madero,Cuapiaxtla de Madero
Cuyoaco,Cuyoaco
Zacatlán,Zacatlán
Coyomeapan ,Coyomeapan 
Ahuazotepec,Ahuazotepec
Tehuitzingo,Tehuitzingo
Tepeojuma,Tepeojuma
Zoquiapan ,Zoquiapan 
Ahuacatlán,Ahuacatlán
Pantepec,Pantepec
Zautla,Zautla
Venustiano Carranza,Venustiano Carranza
General Felipe Ángeles,General Felipe Ángeles
San Juan Atzompa ,San Juan Atzompa 
Juan N. Méndez ,Juan N. Méndez 
Francisco Z. Mena,Francisco Z. Mena
Tepatlaxco de Hidalgo,Tepatlaxco de Hidalgo
Chietla,Chietla
Huitzilan de Serdán,Huitzilan de Serdán
San Sebastián Tlacotepec,San Sebastián Tlacotepec
Vicente Guerrero ,Vicente Guerrero 
Ocotepec ,Ocotepec 
Xicotepec,Xicotepec
Huehuetlán el Grande,Huehuetlán el Grande
Atzitzintla,Atzitzintla
Lafragua,Lafragua
San Miguel Ixitlán ,San Miguel Ixitlán 
Xochiapulco ,Xochiapulco 
Xochitlán Todos Santos,Xochitlán Todos Santos
Atempan,Atempan
San Jerónimo Tecuanipan ,San Jerónimo Tecuanipan 
Xayacatlán de Bravo ,Xayacatlán de Bravo 
Cohetzala ,Cohetzala 
Jonotla ,Jonotla 
Mazapiltepec de Juárez ,Mazapiltepec de Juárez 
Jolalpan,Jolalpan
Chichiquila,Chichiquila
Juan C. Bonilla,Juan C. Bonilla
Coronango,Coronango
Tepemaxalco ,Tepemaxalco 
Zapotitlán de Méndez ,Zapotitlán de Méndez 
Tecamachalco,Tecamachalco
Huitziltepec ,Huitziltepec 
Molcaxac,Molcaxac
San Martín Totoltepec ,San Martín Totoltepec 
Izúcar de Matamoros,Izúcar de Matamoros
San Gregorio Atzompa,San Gregorio Atzompa
Teopantlán ,Teopantlán 
Chiautzingo,Chiautzingo
Xicotlán ,Xicotlán 
Tepetzintla,Tepetzintla
Huaquechula,Huaquechula
Hermenegildo Galeana,Hermenegildo Galeana
Nopalucan,Nopalucan
Chignautla,Chignautla
Juan Galindo,Juan Galindo
Los Reyes de Juárez,Los Reyes de Juárez
Petlalcingo,Petlalcingo
Tepexi de Rodríguez,Tepexi de Rodríguez
Huatlatlauca,Huatlatlauca
Tlahuapan,Tlahuapan
Teteles de Avila Castillo,Teteles de Avila Castillo
Nauzontla ,Nauzontla 
San Felipe Tepatlán ,San Felipe Tepatlán 
Ixtepec,Ixtepec
Tochtepec,Tochtepec
Aljojuca,Aljojuca
