Municipio,Porcentaje de mujeres
San Gabriel Chilac,52.5573523881158
Coyotepec ,52.9134532990574
Tenampulco,51.0010381135993
Atlixco,52.8453449747167
Palmar de Bravo,51.031338350655
Acateno,49.9890948745911
San Salvador Huixcolotla,51.304347826087
Tehuacán,52.8257442440241
Olintla,51.3466188610022
Ixcaquixtla,52.373920945025
Zinacatepec,52.1705975270984
Epatlán ,51.0216467732146
Nicolás Bravo,51.3847080072246
Camocuautla ,50.4350978970268
San Martín Texmelucan,51.8922806251525
Tlachichuca,51.0161509529378
Chilchotla,50.4475764212932
Atexcal ,52.2933402435864
Rafael Lara Grajales,52.2003510531595
Zacapala ,52.5500322788896
Zihuateutla,51.7506476142726
Ayotoxco de Guerrero,51.6569200779727
Ajalpan,51.5956023967473
Yaonáhuac,53.5326772646985
San Felipe Teotlalcingo,51.6496429539908
Tilapa,52.0384933774834
Teotlalco ,50.121984277582
Ixtacamaxtitlán,50.677356925629
Libres,51.4265775558955
Hueytamalco,50.7355072463768
San José Chiapa,51.096428229436
Acatlán,53.0075088921091
Xochitlán de Vicente Suárez,51.9232245681382
San Salvador el Verde,51.3904816513761
Tepeaca,51.9295122819509
Cuautlancingo,51.2860625022738
San Pedro Yeloixtlahuaca ,51.6915137614679
Zoquitlán ,52.2744037373986
Cañada Morelos,52.0257514884554
Atzala ,51.7857142857143
Jalpan,52.5560165975104
Pahuatlán,52.2837131301174
Santo Tomás Hueyotlipan,51.4331723027375
Acteopan ,52.8990228013029
Zongozotla ,51.1566424322538
Tlapacoya,52.1177203363438
San José Miahuatlán,52.061635040662
Piaxtla ,51.1130322022909
Xiutetelco,51.8454695759495
Honey,52.0711828921789
Esperanza,51.9775159149397
Cuautinchán,50.5348460291734
Yehualtepec,51.8452561382237
Cuapiaxtla de Madero,50.7114399544678
Cuyoaco,52.0042009452127
Zacatlán,52.4902416410069
Coyomeapan ,53.1068485749021
Ahuazotepec,51.4905149051491
Tehuitzingo,51.9176136363636
Tepeojuma,53.5882484862077
Zoquiapan ,53.5889070146819
Ahuacatlán,52.8813093109614
Pantepec,51.9430051813471
Zautla,52.5606989428971
Venustiano Carranza,52.7628103539355
General Felipe Ángeles,51.60835463118
San Juan Atzompa ,47.8974358974359
Juan N. Méndez ,51.7286982807482
Francisco Z. Mena,50.2524685816876
Tepatlaxco de Hidalgo,51.6283016866447
Chietla,51.420469889279
Huitzilan de Serdán,49.1963837267705
San Sebastián Tlacotepec,50.8226552430055
Vicente Guerrero ,53.1834782936105
Ocotepec ,52.0779988181997
