Municipio,Porcentaje de hombres
Total estatal,48.8425635653779
Landa de Matamoros,47.8237735447483
Pedro Escobedo,48.9961759082218
Peñamiller,48.8584713442349
Huimilpan,47.1229080634645
Amealco de Bonfil,48.2263879953921
El Marqués,49.8484900806326
Jalpan de Serra,47.6758219654025
Arroyo Seco,47.7096332369502
San Joaquín,46.3572197631296
Tolimán,47.0267946697235
Pinal de Amoles,48.5766490042025
Ezequiel Montes,48.0538756341242
Tequisquiapan,48.5076383983601
Cadereyta de Montes,47.7640246109302
Corregidora,48.470364637973
Colón,49.4792985801761
Querétaro,49.0188868683539
San Juan del Río,48.8072692106218
