Municipio,Porcentaje de mujeres
Total estatal,51.1574364346221
Landa de Matamoros,52.1762264552517
Pedro Escobedo,51.0038240917782
Peñamiller,51.1415286557651
Huimilpan,52.8770919365355
Amealco de Bonfil,51.7736120046079
El Marqués,50.1515099193674
Jalpan de Serra,52.3241780345975
Arroyo Seco,52.2903667630498
San Joaquín,53.6427802368704
Tolimán,52.9732053302765
Pinal de Amoles,51.4233509957976
Ezequiel Montes,51.9461243658758
Tequisquiapan,51.4923616016399
Cadereyta de Montes,52.2359753890699
Corregidora,51.529635362027
Colón,50.5207014198239
Querétaro,50.981113131646
San Juan del Río,51.1927307893782
