Municipio,Defunciones Generales
Santa María del Río,292.0
Xilitla,360.0
Axtla de Terrazas,248.0
Huehuetlán,111.0
Tanquián de Escobedo,113.0
Vanegas,41.0
Villa Juárez,113.0
Zaragoza,129.0
Villa de Ramos,190.0
San Luis Potosí,4822.0
San Nicolás Tolentino,68.0
San Ciro de Acosta,95.0
Total estatal,16697.0
Santa Catarina,71.0
Villa de Guadalupe,60.0
Aquismón,292.0
Matehuala,523.0
Ciudad Valles,1117.0
San Antonio,65.0
Venado,84.0
Cedral,96.0
Guadalcázar,187.0
Lagunillas,48.0
Villa de la Paz,37.0
Charcas,126.0
Salinas,161.0
San Vicente Tancuayalab,110.0
Armadillo de los Infante,46.0
Cárdenas,154.0
Alaquines,74.0
Villa de Arista,82.0
Ebano,307.0
Ahualulco,124.0
Tanlajás,132.0
Cerro de San Pedro,26.0
Soledad de Graciano Sánchez,1425.0
San Martín Chalchicuautla,172.0
Catorce,52.0
Ciudad del Maíz,204.0
Tamasopo,207.0
Coxcatlán,139.0
Moctezuma,112.0
Tamuín,245.0
Matlapa,201.0
Rayón,138.0
Santo Domingo,87.0
Cerritos,182.0
Tierra Nueva,63.0
El Naranjo,127.0
Tampacán,125.0
Tamazunchale,631.0
Rioverde,701.0
Villa de Reyes,287.0
Tampamolón Corona,102.0
Villa de Arriaga,97.0
Villa Hidalgo,118.0
Mexquitic de Carmona,313.0
Tancanhuitz,152.0
Ciudad Fernández,310.0
