Municipio,Nacimientos
Santa María del Río,912.0
Xilitla,832.0
Axtla de Terrazas,626.0
Huehuetlán,295.0
Tanquián de Escobedo,241.0
Vanegas,129.0
Villa Juárez,180.0
Zaragoza,555.0
Villa de Ramos,766.0
San Luis Potosí,13175.0
San Nicolás Tolentino,70.0
San Ciro de Acosta,169.0
Total estatal,46706.0
Santa Catarina,254.0
Villa de Guadalupe,158.0
Aquismón,1100.0
Matehuala,1601.0
Ciudad Valles,2632.0
San Antonio,163.0
Venado,196.0
Cedral,328.0
Guadalcázar,518.0
Lagunillas,70.0
Villa de la Paz,106.0
Charcas,360.0
Salinas,594.0
San Vicente Tancuayalab,262.0
Armadillo de los Infante,75.0
Cárdenas,301.0
Alaquines,151.0
Villa de Arista,346.0
Ebano,631.0
Ahualulco,397.0
Tanlajás,304.0
Cerro de San Pedro,76.0
Soledad de Graciano Sánchez,4937.0
San Martín Chalchicuautla,270.0
Catorce,188.0
Ciudad del Maíz,618.0
Tamasopo,523.0
Coxcatlán,257.0
Moctezuma,364.0
Tamuín,555.0
Matlapa,601.0
Rayón,258.0
Santo Domingo,195.0
Cerritos,400.0
Tierra Nueva,196.0
El Naranjo,380.0
Tampacán,224.0
Tamazunchale,1883.0
Rioverde,1672.0
Villa de Reyes,1273.0
Tampamolón Corona,229.0
Villa de Arriaga,367.0
Villa Hidalgo,293.0
Mexquitic de Carmona,1167.0
Tancanhuitz,400.0
Ciudad Fernández,864.0
