Municipio,Población total
Santa María del Río,39880.0
Xilitla,49741.0
Axtla de Terrazas,32544.0
Huehuetlán,15334.0
Tanquián de Escobedo,13448.0
Vanegas,7557.0
Villa Juárez,10304.0
Zaragoza,27386.0
Villa de Ramos,38389.0
San Luis Potosí,911908.0
San Nicolás Tolentino,4779.0
San Ciro de Acosta,10215.0
Total estatal,2.822255e6
Santa Catarina,12163.0
Villa de Guadalupe,9277.0
Aquismón,48359.0
Matehuala,102199.0
Ciudad Valles,179371.0
San Antonio,9382.0
Venado,14188.0
Cedral,19840.0
Guadalcázar,25119.0
Lagunillas,5453.0
Villa de la Paz,5298.0
Charcas,21814.0
Salinas,31107.0
San Vicente Tancuayalab,14945.0
Armadillo de los Infante,4013.0
Cárdenas,18317.0
Alaquines,7785.0
Villa de Arista,17258.0
Ebano,40899.0
Ahualulco,18974.0
Tanlajás,18208.0
Cerro de San Pedro,5050.0
Soledad de Graciano Sánchez,332072.0
San Martín Chalchicuautla,18468.0
Catorce,9579.0
Ciudad del Maíz,30320.0
Tamasopo,29184.0
Coxcatlán,15660.0
Moctezuma,19036.0
Tamuín,36968.0
Matlapa,28996.0
Rayón,15301.0
Santo Domingo,10785.0
Cerritos,22075.0
Tierra Nueva,7966.0
El Naranjo,20959.0
Tampacán,14348.0
Tamazunchale,95037.0
Rioverde,97943.0
Villa de Reyes,52912.0
Tampamolón Corona,13603.0
Villa de Arriaga,18206.0
Villa Hidalgo,15458.0
Mexquitic de Carmona,58469.0
Tancanhuitz,20300.0
Ciudad Fernández,48106.0
