Municipio,Porcentaje de hombres
Santa María del Río,48.0391173520562
Xilitla,49.1144126575662
Axtla de Terrazas,48.9091691248771
Huehuetlán,48.7935307160558
Tanquián de Escobedo,48.8771564544914
Vanegas,50.3639010189229
Villa Juárez,49.8350155279503
Zaragoza,49.229533338202
Villa de Ramos,47.583943317096
San Luis Potosí,48.348846594174
San Nicolás Tolentino,49.6128897258841
San Ciro de Acosta,48.3700440528634
Total estatal,48.6295887508393
Santa Catarina,48.6475376140755
Villa de Guadalupe,49.9191548992131
Aquismón,49.6557000765111
Matehuala,48.582667149385
Ciudad Valles,48.1471363821354
San Antonio,50.1385632061394
Venado,49.4502396391317
Cedral,48.7701612903226
Guadalcázar,49.8069190652494
Lagunillas,50.0641848523748
Villa de la Paz,49.7168742921857
Charcas,48.8493627945356
Salinas,47.8156042048414
San Vicente Tancuayalab,49.5884911341586
Armadillo de los Infante,49.7632693745328
Cárdenas,47.6879401648742
Alaquines,48.6448298008992
Villa de Arista,48.499246726156
Ebano,48.7322428421233
Ahualulco,47.1434594708549
Tanlajás,50.0384446397188
Cerro de San Pedro,50.5544554455446
Soledad de Graciano Sánchez,48.7475607699535
San Martín Chalchicuautla,49.3123240199264
Catorce,51.0491700595052
Ciudad del Maíz,49.4558047493404
Tamasopo,50.5276864035088
Coxcatlán,49.5721583652618
Moctezuma,47.7043496532885
Tamuín,48.9856091755031
Matlapa,48.6653331493999
Rayón,48.7419122933142
Santo Domingo,48.9476124246639
Cerritos,48.8425821064553
Tierra Nueva,46.6984684910871
El Naranjo,49.8353929099671
Tampacán,50.7457485363814
Tamazunchale,48.6221155970832
Rioverde,48.0309976210653
Villa de Reyes,49.4462503779861
Tampamolón Corona,49.6581636403734
Villa de Arriaga,49.395803581237
Villa Hidalgo,49.5212834778108
Mexquitic de Carmona,47.6679950059006
Tancanhuitz,49.2660098522167
Ciudad Fernández,48.731966906415
