Municipio,Porcentaje de mujeres
Santa María del Río,51.9608826479438
Xilitla,50.8855873424338
Axtla de Terrazas,51.0908308751229
Huehuetlán,51.2064692839442
Tanquián de Escobedo,51.1228435455086
Vanegas,49.6360989810771
Villa Juárez,50.1649844720497
Zaragoza,50.770466661798
Villa de Ramos,52.416056682904
San Luis Potosí,51.651153405826
San Nicolás Tolentino,50.3871102741159
San Ciro de Acosta,51.6299559471366
Total estatal,51.3704112491607
Santa Catarina,51.3524623859245
Villa de Guadalupe,50.0808451007869
Aquismón,50.3442999234889
Matehuala,51.417332850615
Ciudad Valles,51.8528636178647
San Antonio,49.8614367938606
Venado,50.5497603608683
Cedral,51.2298387096774
Guadalcázar,50.1930809347506
Lagunillas,49.9358151476252
Villa de la Paz,50.2831257078143
Charcas,51.1506372054644
Salinas,52.1843957951586
San Vicente Tancuayalab,50.4115088658414
Armadillo de los Infante,50.2367306254672
Cárdenas,52.3120598351258
Alaquines,51.3551701991008
Villa de Arista,51.500753273844
Ebano,51.2677571578767
Ahualulco,52.8565405291451
Tanlajás,49.9615553602812
Cerro de San Pedro,49.4455445544554
Soledad de Graciano Sánchez,51.2524392300465
San Martín Chalchicuautla,50.6876759800736
Catorce,48.9508299404948
Ciudad del Maíz,50.5441952506596
Tamasopo,49.4723135964912
Coxcatlán,50.4278416347382
Moctezuma,52.2956503467115
Tamuín,51.0143908244969
Matlapa,51.3346668506001
Rayón,51.2580877066858
Santo Domingo,51.0523875753361
Cerritos,51.1574178935447
Tierra Nueva,53.3015315089129
El Naranjo,50.1646070900329
Tampacán,49.2542514636186
Tamazunchale,51.3778844029168
Rioverde,51.9690023789347
Villa de Reyes,50.5537496220139
Tampamolón Corona,50.3418363596266
Villa de Arriaga,50.604196418763
Villa Hidalgo,50.4787165221892
Mexquitic de Carmona,52.3320049940994
Tancanhuitz,50.7339901477832
Ciudad Fernández,51.268033093585
