Municipio,Porcentaje de hombres
Total estatal,49.3836520872709
Escuinapa,50.1783690071348
Ahome,49.0553221136052
Choix,50.7568009817959
Concordia,50.3594521868348
Mocorito,50.9812180980227
Mazatlán,48.9351688433933
Navolato,50.6088974128566
Culiacán,48.9318704971451
San Ignacio,52.7146885413996
Badiraguato,51.4995102102328
Sinaloa,50.6546332782509
Angostura,50.1871045290636
Elota,51.5838739406205
El Fuerte,50.165125837276
Rosario,50.5282261916133
Salvador Alvarado,48.3369395662457
Guasave,49.4239209316792
Cosalá,50.9992946155655
