Municipio,Porcentaje de mujeres
Total estatal,50.6163479127291
Escuinapa,49.8216309928652
Ahome,50.9446778863948
Choix,49.2431990182041
Concordia,49.6405478131652
Mocorito,49.0187819019773
Mazatlán,51.0648311566067
Navolato,49.3911025871434
Culiacán,51.0681295028549
San Ignacio,47.2853114586004
Badiraguato,48.5004897897672
Sinaloa,49.3453667217491
Angostura,49.8128954709364
Elota,48.4161260593795
El Fuerte,49.834874162724
Rosario,49.4717738083867
Salvador Alvarado,51.6630604337543
Guasave,50.5760790683208
Cosalá,49.0007053844345
