Municipio,Edad mediana
Bavispe,34.0
Benjamín Hill,32.0
Divisaderos,36.0
Fronteras,28.0
Nacozari de García,29.0
General Plutarco Elías Calles,27.0
Huachinera ,37.0
Magdalena,29.0
Carbó,29.0
Atil,39.0
Ures,40.0
Baviácora,39.0
Bacoachi,40.0
Benito Juárez,30.0
Imuris,29.0
Agua Prieta,27.0
Huatabampo,32.0
Bacanora,44.0
Total estatal,30.0
Opodepe,37.0
Etchojoa,29.0
Pitiquito,32.0
Sahuaripa,37.0
Quiriego,32.0
Suaqui Grande,39.0
Tepache,43.0
Bácum,30.0
San Miguel de Horcasitas,23.0
Hermosillo,30.0
Oquitoa,36.5
Bacadéhuachi,42.0
La Colorada,40.0
San Ignacio Río Muerto,29.0
Empalme,30.0
San Felipe de Jesús,36.0
Cucurpe,38.0
Cajeme,32.0
Navojoa,31.0
Puerto Peñasco,29.0
Sáric,31.0
Santa Cruz,29.0
San Pedro de la Cueva,44.0
Banámichi,32.0
Arivechi,38.0
Caborca,29.0
Altar,26.0
Guaymas,31.0
Rosario,34.0
Huásabas,41.0
Tubutama,37.0
Moctezuma,31.0
Soyopa,39.0
Villa Pesqueira ,44.0
San Javier,28.0
Huépac,42.0
Cumpas,36.0
Alamos,32.0
Aconchi ,34.0
Arizpe,39.0
Bacerac,35.0
Rayón,43.0
Nogales,28.0
San Luis Río Colorado,29.0
Granados,40.0
Yécora,32.0
Trincheras,35.0
Santa Ana,31.0
Nácori Chico,39.0
Naco,27.0
Villa Hidalgo,39.0
Cananea,29.0
Mazatán,44.0
Onavas,37.0
