Municipio,Población total
Bavispe,1169.0
Benjamín Hill,4988.0
Divisaderos,753.0
Fronteras,9041.0
Nacozari de García,14369.0
General Plutarco Elías Calles,13627.0
Huachinera ,1186.0
Magdalena,33049.0
Carbó,4946.0
Atil,626.0
Ures,8548.0
Baviácora,3191.0
Bacoachi,1475.0
Benito Juárez,21692.0
Imuris,12536.0
Agua Prieta,91929.0
Huatabampo,77682.0
Bacanora,759.0
Total estatal,2.94484e6
Opodepe,2438.0
Etchojoa,61309.0
Pitiquito,9122.0
Sahuaripa,5257.0
Quiriego,3090.0
Suaqui Grande,1114.0
Tepache,1178.0
Bácum,23151.0
San Miguel de Horcasitas,10729.0
Hermosillo,936263.0
Oquitoa,496.0
Bacadéhuachi,979.0
La Colorada,1848.0
San Ignacio Río Muerto,14279.0
Empalme,51431.0
San Felipe de Jesús,369.0
Cucurpe,863.0
Cajeme,436484.0
Navojoa,164387.0
Puerto Peñasco,62689.0
Sáric,2058.0
Santa Cruz,1835.0
San Pedro de la Cueva,1458.0
Banámichi,1825.0
Arivechi,1177.0
Caborca,89122.0
Altar,9492.0
Guaymas,156863.0
Rosario,4830.0
Huásabas,888.0
Tubutama,1473.0
Moctezuma,5173.0
Soyopa,1368.0
Villa Pesqueira ,1043.0
San Javier,537.0
Huépac,943.0
Cumpas,5829.0
Alamos,24976.0
Aconchi ,2563.0
Arizpe,2788.0
Bacerac,1221.0
Rayón,1496.0
Nogales,264782.0
San Luis Río Colorado,199021.0
Granados,1009.0
Yécora,4793.0
Trincheras,1381.0
Santa Ana,16203.0
Nácori Chico,1531.0
Naco,5774.0
Villa Hidalgo,1429.0
Cananea,39451.0
Mazatán,1101.0
Onavas,365.0
