Municipio,Porcentaje de hombres
Bavispe,52.8656971770744
Benjamín Hill,49.7794707297514
Divisaderos,52.3240371845949
Fronteras,50.6581130405929
Nacozari de García,50.6228686756211
General Plutarco Elías Calles,49.3652307918104
Huachinera ,51.1804384485666
Magdalena,49.1088989076825
Carbó,51.9207440355843
Atil,49.5207667731629
Ures,52.0706598034628
Baviácora,52.0839862112191
Bacoachi,50.8474576271186
Benito Juárez,50.2535496957404
Imuris,51.0609444798979
Agua Prieta,49.8330233114686
Huatabampo,50.741484513787
Bacanora,51.3833992094862
Total estatal,49.9924274323902
Opodepe,54.3478260869565
Etchojoa,51.0659120194425
Pitiquito,51.4580135935102
Sahuaripa,51.7215141715808
Quiriego,52.3624595469256
Suaqui Grande,53.9497307001795
Tepache,52.7164685908319
Bácum,50.9006090449657
San Miguel de Horcasitas,52.2602292851151
Hermosillo,49.9314829273399
Oquitoa,46.5725806451613
Bacadéhuachi,53.3197139938713
La Colorada,55.1948051948052
San Ignacio Río Muerto,51.418166538273
Empalme,50.4909490385176
San Felipe de Jesús,54.4715447154472
Cucurpe,54.4611819235226
Cajeme,49.165834257384
Navojoa,49.4345659936613
Puerto Peñasco,50.4649938585717
Sáric,52.4295432458698
Santa Cruz,52.425068119891
San Pedro de la Cueva,54.3895747599451
Banámichi,50.6301369863014
Arivechi,50.4672897196262
Caborca,50.1963600457799
Altar,49.6418036241045
Guaymas,49.7166317104735
Rosario,51.4285714285714
Huásabas,52.5900900900901
Tubutama,53.1568228105906
Moctezuma,49.1590953025324
Soyopa,56.2134502923977
Villa Pesqueira ,56.7593480345158
San Javier,54.7486033519553
Huépac,52.3860021208908
Cumpas,50.8663578658432
Alamos,51.6856181934657
Aconchi ,52.126414358174
Arizpe,51.8651362984218
Bacerac,49.3857493857494
Rayón,54.0775401069519
Nogales,49.9505253378251
San Luis Río Colorado,50.5233116103326
Granados,51.9326065411298
Yécora,50.3859795535155
Trincheras,53.5119478638668
Santa Ana,49.305684132568
Nácori Chico,52.7759634225996
Naco,50.1731901627988
Villa Hidalgo,52.3442967109867
Cananea,49.707231755849
Mazatán,53.9509536784741
Onavas,50.4109589041096
