Municipio,Porcentaje de mujeres
Bavispe,47.1343028229256
Benjamín Hill,50.2205292702486
Divisaderos,47.6759628154051
Fronteras,49.3418869594071
Nacozari de García,49.3771313243789
General Plutarco Elías Calles,50.6347692081896
Huachinera ,48.8195615514334
Magdalena,50.8911010923175
Carbó,48.0792559644157
Atil,50.4792332268371
Ures,47.9293401965372
Baviácora,47.916013788781
Bacoachi,49.1525423728814
Benito Juárez,49.7464503042596
Imuris,48.9390555201021
Agua Prieta,50.1669766885314
Huatabampo,49.258515486213
Bacanora,48.6166007905138
Total estatal,50.0075725676098
Opodepe,45.6521739130435
Etchojoa,48.9340879805575
Pitiquito,48.5419864064898
Sahuaripa,48.2784858284192
Quiriego,47.6375404530744
Suaqui Grande,46.0502692998205
Tepache,47.2835314091681
Bácum,49.0993909550343
San Miguel de Horcasitas,47.7397707148849
Hermosillo,50.0685170726601
Oquitoa,53.4274193548387
Bacadéhuachi,46.6802860061287
La Colorada,44.8051948051948
San Ignacio Río Muerto,48.581833461727
Empalme,49.5090509614824
San Felipe de Jesús,45.5284552845528
Cucurpe,45.5388180764774
Cajeme,50.834165742616
Navojoa,50.5654340063387
Puerto Peñasco,49.5350061414283
Sáric,47.5704567541302
Santa Cruz,47.574931880109
San Pedro de la Cueva,45.6104252400549
Banámichi,49.3698630136986
Arivechi,49.5327102803738
Caborca,49.8036399542201
Altar,50.3581963758955
Guaymas,50.2833682895265
Rosario,48.5714285714286
Huásabas,47.4099099099099
Tubutama,46.8431771894094
Moctezuma,50.8409046974676
Soyopa,43.7865497076023
Villa Pesqueira ,43.2406519654842
San Javier,45.2513966480447
Huépac,47.6139978791092
Cumpas,49.1336421341568
Alamos,48.3143818065343
Aconchi ,47.873585641826
Arizpe,48.1348637015782
Bacerac,50.6142506142506
Rayón,45.9224598930481
Nogales,50.0494746621749
San Luis Río Colorado,49.4766883896674
Granados,48.0673934588702
Yécora,49.6140204464845
Trincheras,46.4880521361332
Santa Ana,50.694315867432
Nácori Chico,47.2240365774004
Naco,49.8268098372012
Villa Hidalgo,47.6557032890133
Cananea,50.292768244151
Mazatán,46.0490463215259
Onavas,49.5890410958904
