Municipio,Porcentaje de hombres
Jalpa de Méndez,49.2548116466524
Total estatal,48.8500781237644
Cárdenas,48.8408043448766
Emiliano Zapata,48.0190174326466
Macuspana,48.8843071607367
Jalapa,50.0119208455853
Centla,49.3024291986522
Comalcalco,48.9968679756326
Paraíso,49.2779690100371
Tenosique,49.2071898571658
Nacajuca,48.499001996008
Balancán,49.9658259859203
Huimanguillo,49.197160594075
Cunduacán,49.0117079638926
Jonuta,50.1785830248717
Teapa,48.9866821077012
Centro,48.2850526691506
Tacotalpa,49.5856382423547
