Municipio,Porcentaje de mujeres
Jalpa de Méndez,50.7451883533476
Total estatal,51.1499218762356
Cárdenas,51.1591956551234
Emiliano Zapata,51.9809825673534
Macuspana,51.1156928392633
Jalapa,49.9880791544147
Centla,50.6975708013478
Comalcalco,51.0031320243674
Paraíso,50.7220309899629
Tenosique,50.7928101428342
Nacajuca,51.500998003992
Balancán,50.0341740140797
Huimanguillo,50.802839405925
Cunduacán,50.9882920361075
Jonuta,49.8214169751283
Teapa,51.0133178922988
Centro,51.7149473308494
Tacotalpa,50.4143617576453
