Municipio,Edad mediana
Jiménez,33.0
Mier,38.0
Tampico,35.0
San Fernando,30.0
Ciudad Madero,35.0
San Nicolás,30.0
Valle Hermoso,31.0
Matamoros,29.0
Gustavo Díaz Ordaz,31.0
Nuevo Morelos,29.0
Padilla,32.0
Hidalgo,37.0
Gómez Farías,34.0
Total estatal,30.0
Jaumave,30.0
Bustamante,28.0
Nuevo Laredo,28.0
Tula,28.0
Abasolo,34.0
Ocampo,34.0
Méndez,34.0
Soto la Marina,32.0
Llera,36.0
Mainero,40.0
Casas,29.0
El Mante,35.0
Palmillas,33.0
Río Bravo,29.0
Antiguo Morelos,34.0
Reynosa,28.0
Victoria,31.0
Aldama,32.0
González,30.0
Altamira,29.0
Güémez,31.0
Guerrero,39.0
Burgos,37.0
Miquihuana,29.0
Camargo,33.0
Cruillas,36.0
Villagrán,37.0
San Carlos,39.0
Miguel Alemán,36.0
Xicoténcatl,34.0
