Municipio,Población total
Jiménez,6375.0
Mier,6385.0
Tampico,297562.0
San Fernando,51405.0
Ciudad Madero,205933.0
San Nicolás,926.0
Valle Hermoso,60055.0
Matamoros,541979.0
Gustavo Díaz Ordaz,15677.0
Nuevo Morelos,3810.0
Padilla,13618.0
Hidalgo,17012.0
Gómez Farías,8288.0
Total estatal,3.527735e6
Jaumave,15994.0
Bustamante,7542.0
Nuevo Laredo,425058.0
Tula,28230.0
Abasolo,9822.0
Ocampo,13190.0
Méndez,4280.0
Soto la Marina,23673.0
Llera,14645.0
Mainero,2048.0
Casas,4143.0
El Mante,106144.0
Palmillas,1917.0
Río Bravo,132484.0
Antiguo Morelos,8850.0
Reynosa,704767.0
Victoria,349688.0
Aldama,28725.0
González,41470.0
Altamira,269790.0
Güémez,15032.0
Guerrero,3803.0
Burgos,4256.0
Miquihuana,3704.0
Camargo,16546.0
Cruillas,1671.0
Villagrán,5361.0
San Carlos,7411.0
Miguel Alemán,26237.0
Xicoténcatl,22229.0
