Municipio,Porcentaje de hombres
Jiménez,49.7411764705882
Mier,52.9835552075176
Tampico,47.6394835362042
San Fernando,50.0184806925396
Ciudad Madero,47.7087207975409
San Nicolás,53.3477321814255
Valle Hermoso,49.0250603613354
Matamoros,49.4295904453863
Gustavo Díaz Ordaz,50.175416214837
Nuevo Morelos,51.8897637795276
Padilla,50.308415332648
Hidalgo,51.0757112626381
Gómez Farías,51.0376447876448
Total estatal,49.2140140911945
Jaumave,49.9687382768538
Bustamante,51.0872447626624
Nuevo Laredo,49.2737461711108
Tula,49.6280552603613
Abasolo,49.8676440643453
Ocampo,51.0235026535254
Méndez,50.0467289719626
Soto la Marina,51.1257550796266
Llera,50.9935131444179
Mainero,49.853515625
Casas,52.5706010137581
El Mante,47.9716234549292
Palmillas,50.1304121022431
Río Bravo,49.9086682165394
Antiguo Morelos,49.5706214689266
Reynosa,49.7130257233951
Victoria,48.3942829036169
Aldama,49.9460400348129
González,49.1150229081264
Altamira,49.4110233885615
Güémez,51.6365087812666
Guerrero,55.6139889560873
Burgos,51.7152255639098
Miquihuana,51.6198704103672
Camargo,52.0971836093316
Cruillas,49.4314781567923
Villagrán,51.0166013803395
San Carlos,52.0172716232627
Miguel Alemán,51.9304798566909
Xicoténcatl,49.192496288632
