Municipio,Porcentaje de mujeres
Jiménez,50.2588235294118
Mier,47.0164447924824
Tampico,52.3605164637958
San Fernando,49.9815193074604
Ciudad Madero,52.2912792024591
San Nicolás,46.6522678185745
Valle Hermoso,50.9749396386646
Matamoros,50.5704095546137
Gustavo Díaz Ordaz,49.824583785163
Nuevo Morelos,48.1102362204724
Padilla,49.691584667352
Hidalgo,48.9242887373619
Gómez Farías,48.9623552123552
Total estatal,50.7859859088055
Jaumave,50.0312617231462
Bustamante,48.9127552373376
Nuevo Laredo,50.7262538288892
Tula,50.3719447396387
Abasolo,50.1323559356547
Ocampo,48.9764973464746
Méndez,49.9532710280374
Soto la Marina,48.8742449203734
Llera,49.0064868555821
Mainero,50.146484375
Casas,47.4293989862419
El Mante,52.0283765450708
Palmillas,49.8695878977569
Río Bravo,50.0913317834606
Antiguo Morelos,50.4293785310734
Reynosa,50.2869742766049
Victoria,51.6057170963831
Aldama,50.0539599651871
González,50.8849770918736
Altamira,50.5889766114385
Güémez,48.3634912187334
Guerrero,44.3860110439127
Burgos,48.2847744360902
Miquihuana,48.3801295896328
Camargo,47.9028163906684
Cruillas,50.5685218432077
Villagrán,48.9833986196605
San Carlos,47.9827283767373
Miguel Alemán,48.0695201433091
Xicoténcatl,50.807503711368
