Municipio,Densidad de población
Tetla de la Solidaridad,207.780676522491
Nanacamilpa de Mariano Arista,172.650994922854
Tlaxco,79.06443150011
Mazatecochco de José María Morelos,791.692421740861
Tlaxcala,1921.886539218
Zacatelco,1549.85865178578
Huamantla,283.153928630397
San José Teacalco ,178.850158834503
Benito Juárez,242.523840263354
Chiautempan,948.107458809396
Teolocholco,329.565033046702
Cuapiaxtla,196.332510186269
Yauhquemehcan,1129.62255387202
Natívitas,501.144160654078
Atlangatepec,65.5239714671457
Cuaxomulco,355.553131673777
Calpulalpan,201.505400546764
Acuamanala de Miguel Hidalgo,429.075467021929
Xicohtzinco,1939.52084116444
Total estatal,336.026999841731
Emiliano Zapata,98.8421759274804
Amaxac de Guerrero,1021.00601094882
Apizaco,1849.46242056711
San Lorenzo Axocomanitla,1265.25411568048
Atltzayanca,95.4109556986053
San Francisco Tetlanohcan,297.695122182754
San Lucas Tecopilco,106.832363576933
Hueyotlipan,86.3128103309761
Papalotla de Xicohténcatl,1441.02568569932
San Damián Texóloc,576.434856938601
San Jerónimo Zacualpan ,525.554849619858
Terrenate,100.05352406427
Santa Ana Nopalucan,864.437007797998
Santa Cruz Tlaxcala,931.514188817287
Totolac,1631.23848355967
Apetatitlán de Antonio Carvajal,1377.586666994
Españita,67.4042732466215
Contla de Juan Cuamatzi,1475.33639301736
Santa Isabel Xiloxoxtla,900.444752045945
Ziltlaltépec de Trinidad Sánchez Santos,119.429679144859
Muñoz de Domingo Arenas,130.70944605538
Xaloztoc,616.862108156928
Tenancingo,1035.88283364805
Lázaro Cárdenas,138.900408842741
Santa Apolonia Teacalco,581.954910592965
Tzompantepec,468.87460731335
Ixtenco,169.006987358084
El Carmen Tequexquitla,296.612002758531
San Juan Huactzinco,1686.45340682409
San Pablo del Monte,1386.18243289135
Santa Cruz Quilehtla,1425.47244884005
Ixtacuixtla de Mariano Matamoros,241.312992410725
Tocatlán,441.616982165924
Xaltocan,103.109280937963
Tepeyanco,813.473317345214
Tetlatlahuca,518.796176965149
Santa Catarina Ayometla,937.910213994964
La Magdalena Tlaltelulco,1611.11318725639
Sanctórum de Lázaro Cárdenas,95.0465293305996
Tepetitla de Lardizábal,963.899714080445
Panotla,465.212146000329
