Municipio,Población total
Tetla de la Solidaridad,35284.0
Nanacamilpa de Mariano Arista,18686.0
Tlaxco,45438.0
Mazatecochco de José María Morelos,11592.0
Tlaxcala,99896.0
Zacatelco,45717.0
Huamantla,98764.0
San José Teacalco ,6436.0
Benito Juárez,6211.0
Chiautempan,73215.0
Teolocholco,25257.0
Cuapiaxtla,16222.0
Yauhquemehcan,42242.0
Natívitas,26309.0
Atlangatepec,7087.0
Cuaxomulco,5928.0
Calpulalpan,51172.0
Acuamanala de Miguel Hidalgo,6432.0
Xicohtzinco,14197.0
Total estatal,1.342977e6
Emiliano Zapata,4951.0
Amaxac de Guerrero,11403.0
Apizaco,80725.0
San Lorenzo Axocomanitla,5689.0
Atltzayanca,18111.0
San Francisco Tetlanohcan,11761.0
San Lucas Tecopilco,3077.0
Hueyotlipan,15190.0
Papalotla de Xicohténcatl,33499.0
San Damián Texóloc,5884.0
San Jerónimo Zacualpan ,4092.0
Terrenate,15475.0
Santa Ana Nopalucan,7952.0
Santa Cruz Tlaxcala,24116.0
Totolac,22529.0
Apetatitlán de Antonio Carvajal,16003.0
Españita,9416.0
Contla de Juan Cuamatzi,38579.0
Santa Isabel Xiloxoxtla,5443.0
Ziltlaltépec de Trinidad Sánchez Santos,9207.0
Muñoz de Domingo Arenas,4755.0
Xaloztoc,25607.0
Tenancingo,12974.0
Lázaro Cárdenas,3534.0
Santa Apolonia Teacalco,4636.0
Tzompantepec,18006.0
Ixtenco,7504.0
El Carmen Tequexquitla,17332.0
San Juan Huactzinco,7688.0
San Pablo del Monte,82688.0
Santa Cruz Quilehtla,7750.0
Ixtacuixtla de Mariano Matamoros,38970.0
Tocatlán,6294.0
Xaltocan,10601.0
Tepeyanco,13328.0
Tetlatlahuca,13561.0
Santa Catarina Ayometla,9463.0
La Magdalena Tlaltelulco,19036.0
Sanctórum de Lázaro Cárdenas,9432.0
Tepetitla de Lardizábal,22274.0
Panotla,28357.0
