Municipio,Porcentaje de hombres
Tetla de la Solidaridad,48.8975172882893
Nanacamilpa de Mariano Arista,48.4962003639088
Tlaxco,48.5870856991945
Mazatecochco de José María Morelos,50.1984126984127
Tlaxcala,47.3011932409706
Zacatelco,47.9909005402804
Huamantla,48.3587137013487
San José Teacalco ,49.0522063393412
Benito Juárez,47.7056834648205
Chiautempan,48.147237587926
Teolocholco,49.0002771508889
Cuapiaxtla,49.1431389471089
Yauhquemehcan,48.2647601912788
Natívitas,48.3674788095329
Atlangatepec,48.7935656836461
Cuaxomulco,48.9541160593792
Calpulalpan,48.1044321113109
Acuamanala de Miguel Hidalgo,49.5024875621891
Xicohtzinco,47.6297809396351
Total estatal,48.3920424549341
Emiliano Zapata,49.0203999192082
Amaxac de Guerrero,48.7064807506796
Apizaco,47.6519046144317
San Lorenzo Axocomanitla,48.6377219194938
Atltzayanca,49.3788305449727
San Francisco Tetlanohcan,47.9721112150327
San Lucas Tecopilco,50.0812479688008
Hueyotlipan,48.8874259381172
Papalotla de Xicohténcatl,48.3059195796889
San Damián Texóloc,49.6600951733515
San Jerónimo Zacualpan ,47.4095796676442
Terrenate,49.654281098546
Santa Ana Nopalucan,49.0442655935614
Santa Cruz Tlaxcala,48.1091391607232
Totolac,47.6186248834835
Apetatitlán de Antonio Carvajal,48.3971755295882
Españita,48.7043330501274
Contla de Juan Cuamatzi,48.7104383213665
Santa Isabel Xiloxoxtla,48.8149917325005
Ziltlaltépec de Trinidad Sánchez Santos,48.2133159552514
Muñoz de Domingo Arenas,48.1808622502629
Xaloztoc,49.775452024837
Tenancingo,48.6357330044705
Lázaro Cárdenas,49.0945104697227
Santa Apolonia Teacalco,48.4037963761864
Tzompantepec,48.5171609463512
Ixtenco,48.2675906183369
El Carmen Tequexquitla,48.4941149319178
San Juan Huactzinco,47.8277835587929
San Pablo del Monte,49.344523993808
Santa Cruz Quilehtla,49.4064516129032
Ixtacuixtla de Mariano Matamoros,48.5399024890942
Tocatlán,49.5551318716238
Xaltocan,47.2879916988963
Tepeyanco,47.7040816326531
Tetlatlahuca,48.0864243049923
Santa Catarina Ayometla,48.2616506393321
La Magdalena Tlaltelulco,49.590250052532
Sanctórum de Lázaro Cárdenas,48.5899067005937
Tepetitla de Lardizábal,48.033581754512
Panotla,47.3216489755616
