Municipio,Porcentaje de mujeres
Tetla de la Solidaridad,51.1024827117107
Nanacamilpa de Mariano Arista,51.5037996360912
Tlaxco,51.4129143008055
Mazatecochco de José María Morelos,49.8015873015873
Tlaxcala,52.6988067590294
Zacatelco,52.0090994597196
Huamantla,51.6412862986513
San José Teacalco ,50.9477936606588
Benito Juárez,52.2943165351795
Chiautempan,51.852762412074
Teolocholco,50.9997228491111
Cuapiaxtla,50.8568610528911
Yauhquemehcan,51.7352398087212
Natívitas,51.6325211904671
Atlangatepec,51.2064343163539
Cuaxomulco,51.0458839406208
Calpulalpan,51.8955678886891
Acuamanala de Miguel Hidalgo,50.4975124378109
Xicohtzinco,52.3702190603649
Total estatal,51.6079575450659
Emiliano Zapata,50.9796000807918
Amaxac de Guerrero,51.2935192493204
Apizaco,52.3480953855683
San Lorenzo Axocomanitla,51.3622780805062
Atltzayanca,50.6211694550273
San Francisco Tetlanohcan,52.0278887849673
San Lucas Tecopilco,49.9187520311992
Hueyotlipan,51.1125740618828
Papalotla de Xicohténcatl,51.6940804203111
San Damián Texóloc,50.3399048266485
San Jerónimo Zacualpan ,52.5904203323558
Terrenate,50.345718901454
Santa Ana Nopalucan,50.9557344064386
Santa Cruz Tlaxcala,51.8908608392768
Totolac,52.3813751165165
Apetatitlán de Antonio Carvajal,51.6028244704118
Españita,51.2956669498726
Contla de Juan Cuamatzi,51.2895616786335
Santa Isabel Xiloxoxtla,51.1850082674995
Ziltlaltépec de Trinidad Sánchez Santos,51.7866840447486
Muñoz de Domingo Arenas,51.8191377497371
Xaloztoc,50.224547975163
Tenancingo,51.3642669955295
Lázaro Cárdenas,50.9054895302773
Santa Apolonia Teacalco,51.5962036238136
Tzompantepec,51.4828390536488
Ixtenco,51.7324093816631
El Carmen Tequexquitla,51.5058850680822
San Juan Huactzinco,52.1722164412071
San Pablo del Monte,50.6554760061919
Santa Cruz Quilehtla,50.5935483870968
Ixtacuixtla de Mariano Matamoros,51.4600975109058
Tocatlán,50.4448681283762
Xaltocan,52.7120083011037
Tepeyanco,52.2959183673469
Tetlatlahuca,51.9135756950077
Santa Catarina Ayometla,51.7383493606679
La Magdalena Tlaltelulco,50.409749947468
Sanctórum de Lázaro Cárdenas,51.4100932994063
Tepetitla de Lardizábal,51.966418245488
Panotla,52.6783510244384
