Municipio,Total
Jamapa,80.0
Villa Aldama,72.0
Soledad Atzompa ,119.0
Tatahuicapan de Juárez,99.0
Zentla,81.0
Ixhuacán de los Reyes,74.0
Chicontepec,444.0
Fortín,445.0
Manlio Fabio Altamirano,216.0
Ixhuatlán del Sureste,115.0
Texhuacán ,28.0
Tempoal,245.0
Tequila,99.0
Jalacingo,231.0
Tatatila ,34.0
Tlaquilpa,35.0
Zongolica,275.0
Agua Dulce,393.0
Mecatlán ,77.0
Zaragoza,75.0
Zozocolco de Hidalgo,94.0
La Perla,118.0
Totutla,93.0
Jilotepec,109.0
Tecolutla,233.0
Jesús Carranza,166.0
Orizaba,1090.0
Tancoco,52.0
Ozuluama de Mascareñas,146.0
Miahuatlán ,34.0
Oluta,129.0
Tamalín,71.0
Rafael Delgado,142.0
Tantoyuca,703.0
Filomeno Mata,74.0
Zacualpan,42.0
Total estatal,57220.0
Paso del Macho,217.0
Emiliano Zapata,429.0
Huayacocotla,139.0
Álamo Temapache,825.0
Tlalnelhuayocan,102.0
Tamiahua,177.0
Santiago Tuxtla,408.0
Ixhuatlán de Madero,345.0
Magdalena ,24.0
Las Minas ,16.0
Tlacolulan,56.0
Tlachichilco,59.0
Ursulo Galván,283.0
Nautla,75.0
San Andrés Tenejapan ,19.0
Mariano Escobedo,184.0
Carlos A. Carrillo,210.0
Isla,302.0
Huiloapan de Cuauhtémoc,46.0
Juan Rodríguez Clara,270.0
Tomatlán,50.0
Otatitlán,52.0
Los Reyes ,38.0
Tierra Blanca,830.0
Playa Vicente,376.0
San Andrés Tuxtla,1169.0
Tuxpan,1026.0
Paso de Ovejas,272.0
Chinameca,136.0
Perote,394.0
Sochiapa ,16.0
Huatusco,301.0
Rafael Lucio,39.0
Tlacojalpan,38.0
Ixtaczoquitlán,404.0
Xico,287.0
Las Choapas,529.0
Tlacotepec de Mejía ,26.0
Misantla,542.0
Platón Sánchez,146.0
Soteapan,177.0
Castillo de Teayo,158.0
Tezonapa,401.0
San Rafael,276.0
Tihuatlán,703.0
Ixhuatlán del Café,147.0
El Higo,151.0
Chontla,103.0
Naolinco,163.0
Jalcomulco,36.0
Xalapa,3052.0
Soledad de Doblado,266.0
Tenampa,30.0
Oteapan,103.0
Tlapacoyan,415.0
Ixcatepec,104.0
Jáltipan,364.0
Chocamán,121.0
Veracruz,4186.0
Ignacio de la Llave,178.0
Tenochtitlán ,42.0
Omealca,186.0
Nanchital de Lázaro Cárdenas del Río,181.0
Uxpanapa,178.0
Martínez de la Torre,814.0
Juchique de Ferrer,144.0
Poza Rica de Hidalgo,1630.0
Sayula de Alemán,273.0
Espinal,211.0
Ilamatlán ,54.0
Soconusco,92.0
Yecuatla,105.0
Medellín de Bravo,458.0
Mixtla de Altamirano ,93.0
Pánuco,602.0
Río Blanco,358.0
Saltabarranca,61.0
Minatitlán,1290.0
Xoxocotla ,25.0
Papantla,1310.0
Tantima,121.0
Teocelo,115.0
José Azueta,184.0
Chumatlán ,24.0
Tepetzintla,111.0
Tlacotalpan,138.0
Naranjal ,26.0
Nogales,350.0
Hueyapan de Ocampo,331.0
Ixmatlahuacan,57.0
Vega de Alatorre,167.0
Tepatlaxco,51.0
Landero y Coss ,20.0
Chinampa de Gorostiza,104.0
Pajapan,80.0
Pueblo Viejo,272.0
Tlalixcoyan,330.0
San Juan Evangelista,270.0
Ixhuatlancillo,165.0
Maltrata,110.0
Moloacán,121.0
Yanga,138.0
Santiago Sochiapan,94.0
Mecayapan ,98.0
Tonayán ,40.0
Tepetlán,71.0
Tampico Alto,79.0
Las Vigas de Ramírez,95.0
Tehuipango ,141.0
Texistepec,148.0
Chiconquiaco,78.0
Tlilapan ,26.0
Hidalgotitlán,93.0
Tuxtilla ,31.0
Lerdo de Tejada,241.0
Tres Valles,362.0
Puente Nacional,160.0
Texcatepec ,44.0
Gutiérrez Zamora,242.0
Zontecomatlán de López y Fuentes,66.0
