Municipio,Total
Jamapa,84.2520971676385
Villa Aldama,242.788240465746
Soledad Atzompa ,214.226886968185
Tatahuicapan de Juárez,50.9928882711767
Zentla,70.6583029609686
Ixhuacán de los Reyes,76.0003510397948
Chicontepec,57.5124167793344
Fortín,1084.75874595062
Manlio Fabio Altamirano,96.7766994864035
Ixhuatlán del Sureste,101.019008158493
Texhuacán ,130.644136278692
Tempoal,29.8578751302167
Tequila,163.428654279432
Jalacingo,224.874420557243
Tatatila ,65.7413680371181
Tlaquilpa,140.654475209209
Zongolica,159.337586250424
Agua Dulce,118.441244220552
Mecatlán ,293.403092073703
Zaragoza,548.411428841451
Zozocolco de Hidalgo,210.669172109701
La Perla,204.951999410558
Totutla,175.827428395986
Jilotepec,294.682490038811
Tecolutla,46.2304674450616
Jesús Carranza,20.1863536551814
Orizaba,4449.49018119188
Tancoco,37.107312954033
Ozuluama de Mascareñas,9.51502721235057
Miahuatlán ,164.253963684804
Oluta,218.250105340573
Tamalín,29.0805215243474
Rafael Delgado,912.418000554286
Tantoyuca,76.7554519633208
Filomeno Mata,443.008967576977
Zacualpan,25.7365885569443
Total estatal,112.255486051134
Paso del Macho,79.6078859270381
Emiliano Zapata,205.608014338466
Huayacocotla,41.7333818675715
Álamo Temapache,83.9957043604534
Tlalnelhuayocan,535.753564825045
Tamiahua,21.5173957915124
Santiago Tuxtla,92.3965009211476
Ixhuatlán de Madero,75.9702378989432
Magdalena ,239.641283599433
Las Minas ,57.7917353411005
Tlacolulan,87.5557404758104
Tlachichilco,48.2844231214226
Ursulo Galván,242.365721849636
Nautla,28.4891913061975
San Andrés Tenejapan ,143.073607002812
Mariano Escobedo,556.229717384341
Carlos A. Carrillo,95.742234644341
Isla,46.1845289731583
Huiloapan de Cuauhtémoc,389.550708669576
Juan Rodríguez Clara,38.6719757304883
Tomatlán,383.285640792695
Otatitlán,113.390818774338
Los Reyes ,184.420897940095
Tierra Blanca,62.9845487415337
Playa Vicente,32.9719366846436
San Andrés Tuxtla,169.738197731124
Tuxpan,160.322736288461
Paso de Ovejas,86.1772774700281
Chinameca,117.738199961489
Perote,127.131554199029
Sochiapa ,240.267308344068
Huatusco,295.304613580457
Rafael Lucio,723.984584978878
Tlacojalpan,43.7005646859732
Ixtaczoquitlán,538.739310091593
Xico,221.31513533544
Las Choapas,23.1070657610171
Tlacotepec de Mejía ,65.593388508342
Misantla,125.642733467201
Platón Sánchez,73.7478924914371
Soteapan,71.668954477918
Castillo de Teayo,73.8879085793247
Tezonapa,104.375294904047
San Rafael,103.992648195416
Tihuatlán,129.073566198365
Ixhuatlán del Café,178.776955148836
El Higo,49.602684691718
Chontla,34.2111493070306
Naolinco,210.636786009732
Jalcomulco,69.5007198814157
Xalapa,3919.69962729511
Soledad de Doblado,67.6078819915075
Tenampa,98.8861127950356
Oteapan,2262.44700212976
Tlapacoyan,365.40240882816
Ixcatepec,69.9962432537315
Jáltipan,122.049416190464
Chocamán,470.219076227423
Veracruz,2457.19375553375
Ignacio de la Llave,41.6332581038407
Tenochtitlán ,58.0614468858972
Omealca,111.189408042193
Nanchital de Lázaro Cárdenas del Río,1032.86232336111
Uxpanapa,15.7561516754233
Martínez de la Torre,273.022784532896
Juchique de Ferrer,80.1801293615228
Poza Rica de Hidalgo,2955.08314101547
Sayula de Alemán,48.9080065199003
Espinal,111.373839882336
Ilamatlán ,86.1176632548472
Soconusco,172.157707519564
Yecuatla,99.627990470639
Medellín de Bravo,239.597777180263
Mixtla de Altamirano ,182.307027748756
Pánuco,30.3600164107477
Río Blanco,2742.2065786997
Saltabarranca,56.4677894057498
Minatitlán,68.3535381308276
Xoxocotla ,157.956230569459
Papantla,109.793981912381
Tantima,35.9465797721521
Teocelo,278.878806337055
José Azueta,42.4082000283431
Chumatlán ,174.321281893919
Tepetzintla,64.3088401233757
Tlacotalpan,22.2942077738711
Naranjal ,248.201685057163
Nogales,578.968475145116
Hueyapan de Ocampo,58.6945532353905
Ixmatlahuacan,16.0516345483001
Vega de Alatorre,59.6667843527934
Tepatlaxco,148.27303860086
Landero y Coss ,87.6270496315458
Chinampa de Gorostiza,116.133336039084
Pajapan,57.9203208138411
Pueblo Viejo,200.619616003439
Tlalixcoyan,41.1755793284769
San Juan Evangelista,25.8633619663494
Ixhuatlancillo,521.13537096977
Maltrata,165.720428294668
Moloacán,66.0799901560599
Yanga,203.683098015616
Santiago Sochiapan,32.7272651658491
Mecayapan ,57.7956723586714
Tonayán ,121.519759263039
Tepetlán,98.4583021649689
Tampico Alto,13.215732483161
Las Vigas de Ramírez,203.496104741018
Tehuipango ,337.623720022015
Texistepec,44.3736781631353
Chiconquiaco,103.79979006101
Tlilapan ,494.800808708221
Hidalgotitlán,18.0765635012127
Tuxtilla ,40.2368599104488
Lerdo de Tejada,227.699763727066
Tres Valles,82.1282885646572
Puente Nacional,61.2979495572576
Texcatepec ,55.4368270534627
Gutiérrez Zamora,134.205508235128
Zontecomatlán de López y Fuentes,60.4812738079726
