Municipio,Total
Jamapa,32.0
Villa Aldama,22.0
Soledad Atzompa ,23.0
Tatahuicapan de Juárez,27.0
Zentla,32.0
Ixhuacán de los Reyes,27.0
Chicontepec,37.0
Fortín,32.0
Manlio Fabio Altamirano,33.0
Ixhuatlán del Sureste,31.0
Texhuacán ,26.0
Tempoal,33.0
Tequila,23.0
Jalacingo,23.0
Tatatila ,23.0
Tlaquilpa,24.0
Zongolica,27.0
Agua Dulce,34.0
Mecatlán ,24.0
Zaragoza,26.0
Zozocolco de Hidalgo,28.0
La Perla,19.0
Totutla,29.0
Jilotepec,31.0
Tecolutla,34.0
Jesús Carranza,29.0
Orizaba,36.0
Tancoco,35.0
Ozuluama de Mascareñas,36.0
Miahuatlán ,25.0
Oluta,30.0
Tamalín,33.0
Rafael Delgado,26.0
Tantoyuca,29.0
Filomeno Mata,19.0
Zacualpan,30.0
Total estatal,31.0
Paso del Macho,30.0
Emiliano Zapata,32.0
Huayacocotla,27.0
Álamo Temapache,32.0
Tlalnelhuayocan,27.0
Tamiahua,40.0
Santiago Tuxtla,33.0
Ixhuatlán de Madero,33.0
Magdalena ,23.0
Las Minas ,22.0
Tlacolulan,23.0
Tlachichilco,30.0
Ursulo Galván,37.0
Nautla,37.0
San Andrés Tenejapan ,25.0
Mariano Escobedo,26.0
Carlos A. Carrillo,37.0
Isla,31.0
Huiloapan de Cuauhtémoc,30.0
Juan Rodríguez Clara,31.0
Tomatlán,31.0
Otatitlán,34.0
Los Reyes ,23.0
Tierra Blanca,33.0
Playa Vicente,31.0
San Andrés Tuxtla,30.0
Tuxpan,33.0
Paso de Ovejas,34.0
Chinameca,31.0
Perote,26.0
Sochiapa ,25.0
Huatusco,28.0
Rafael Lucio,27.0
Tlacojalpan,33.0
Ixtaczoquitlán,30.0
Xico,29.0
Las Choapas,26.0
Tlacotepec de Mejía ,29.0
Misantla,31.0
Platón Sánchez,33.0
Soteapan,24.0
Castillo de Teayo,32.0
Tezonapa,29.0
San Rafael,34.0
Tihuatlán,30.0
Ixhuatlán del Café,27.0
El Higo,33.0
Chontla,37.0
Naolinco,31.0
Jalcomulco,36.0
Xalapa,32.0
Soledad de Doblado,32.0
Tenampa,29.0
Oteapan,30.0
Tlapacoyan,29.0
Ixcatepec,36.0
Jáltipan,34.0
Chocamán,27.0
Veracruz,34.0
Ignacio de la Llave,36.0
Tenochtitlán ,27.0
Omealca,30.0
Nanchital de Lázaro Cárdenas del Río,33.0
Uxpanapa,25.0
Martínez de la Torre,30.0
Juchique de Ferrer,33.0
Poza Rica de Hidalgo,35.0
Sayula de Alemán,29.0
Espinal,30.0
Ilamatlán ,26.0
Soconusco,31.0
Yecuatla,33.0
Medellín de Bravo,32.0
Mixtla de Altamirano ,22.0
Pánuco,32.0
Río Blanco,34.0
Saltabarranca,37.0
Minatitlán,34.0
Xoxocotla ,24.0
Papantla,32.0
Tantima,38.0
Teocelo,32.0
José Azueta,33.0
Chumatlán ,29.0
Tepetzintla,32.0
Tlacotalpan,38.0
Naranjal ,27.0
Nogales,30.0
Hueyapan de Ocampo,32.0
Ixmatlahuacan,38.0
Vega de Alatorre,34.0
Tepatlaxco,27.0
Landero y Coss ,34.0
Chinampa de Gorostiza,31.0
Pajapan,28.0
Pueblo Viejo,30.0
Tlalixcoyan,34.0
San Juan Evangelista,31.0
Ixhuatlancillo,29.0
Maltrata,25.0
Moloacán,30.0
Yanga,33.0
Santiago Sochiapan,28.0
Mecayapan ,27.0
Tonayán ,24.0
Tepetlán,32.0
Tampico Alto,38.0
Las Vigas de Ramírez,25.0
Tehuipango ,20.0
Texistepec,32.0
Chiconquiaco,25.0
Tlilapan ,25.0
Hidalgotitlán,29.0
Tuxtilla ,40.0
Lerdo de Tejada,38.0
Tres Valles,32.0
Puente Nacional,34.0
Texcatepec ,24.0
Gutiérrez Zamora,36.0
Zontecomatlán de López y Fuentes,25.0
