Municipio,Total
Jamapa,168.0
Villa Aldama,316.0
Soledad Atzompa ,605.0
Tatahuicapan de Juárez,276.0
Zentla,184.0
Ixhuacán de los Reyes,210.0
Chicontepec,611.0
Fortín,807.0
Manlio Fabio Altamirano,298.0
Ixhuatlán del Sureste,282.0
Texhuacán ,108.0
Tempoal,514.0
Tequila,369.0
Jalacingo,1059.0
Tatatila ,119.0
Tlaquilpa,184.0
Zongolica,790.0
Agua Dulce,535.0
Mecatlán ,258.0
Zaragoza,256.0
Zozocolco de Hidalgo,270.0
La Perla,856.0
Totutla,266.0
Jilotepec,206.0
Tecolutla,290.0
Jesús Carranza,493.0
Orizaba,1770.0
Tancoco,73.0
Ozuluama de Mascareñas,283.0
Miahuatlán ,91.0
Oluta,309.0
Tamalín,177.0
Rafael Delgado,389.0
Tantoyuca,1611.0
Filomeno Mata,426.0
Zacualpan,85.0
Total estatal,118488.0
Paso del Macho,485.0
Emiliano Zapata,879.0
Huayacocotla,364.0
Álamo Temapache,1699.0
Tlalnelhuayocan,313.0
Tamiahua,225.0
Santiago Tuxtla,832.0
Ixhuatlán de Madero,858.0
Magdalena ,65.0
Las Minas ,85.0
Tlacolulan,259.0
Tlachichilco,171.0
Ursulo Galván,392.0
Nautla,104.0
San Andrés Tenejapan ,74.0
Mariano Escobedo,652.0
Carlos A. Carrillo,282.0
Isla,637.0
Huiloapan de Cuauhtémoc,113.0
Juan Rodríguez Clara,626.0
Tomatlán,111.0
Otatitlán,149.0
Los Reyes ,141.0
Tierra Blanca,1626.0
Playa Vicente,749.0
San Andrés Tuxtla,2583.0
Tuxpan,2122.0
Paso de Ovejas,432.0
Chinameca,302.0
Perote,1407.0
Sochiapa ,82.0
Huatusco,1031.0
Rafael Lucio,142.0
Tlacojalpan,86.0
Ixtaczoquitlán,980.0
Xico,635.0
Las Choapas,1827.0
Tlacotepec de Mejía ,99.0
Misantla,859.0
Platón Sánchez,283.0
Soteapan,720.0
Castillo de Teayo,282.0
Tezonapa,965.0
San Rafael,433.0
Tihuatlán,1474.0
Ixhuatlán del Café,478.0
El Higo,288.0
Chontla,143.0
Naolinco,293.0
Jalcomulco,56.0
Xalapa,5628.0
Soledad de Doblado,403.0
Tenampa,87.0
Oteapan,237.0
Tlapacoyan,894.0
Ixcatepec,154.0
Jáltipan,473.0
Chocamán,378.0
Veracruz,7015.0
Ignacio de la Llave,227.0
Tenochtitlán ,86.0
Omealca,418.0
Nanchital de Lázaro Cárdenas del Río,348.0
Uxpanapa,686.0
Martínez de la Torre,2013.0
Juchique de Ferrer,238.0
Poza Rica de Hidalgo,2243.0
Sayula de Alemán,489.0
Espinal,553.0
Ilamatlán ,272.0
Soconusco,206.0
Yecuatla,151.0
Medellín de Bravo,910.0
Mixtla de Altamirano ,337.0
Pánuco,1185.0
Río Blanco,568.0
Saltabarranca,87.0
Minatitlán,1852.0
Xoxocotla ,106.0
Papantla,2185.0
Tantima,141.0
Teocelo,212.0
José Azueta,420.0
Chumatlán ,81.0
Tepetzintla,245.0
Tlacotalpan,154.0
Naranjal ,110.0
Nogales,627.0
Hueyapan de Ocampo,649.0
Ixmatlahuacan,63.0
Vega de Alatorre,251.0
Tepatlaxco,173.0
Landero y Coss ,29.0
Chinampa de Gorostiza,228.0
Pajapan,314.0
Pueblo Viejo,556.0
Tlalixcoyan,512.0
San Juan Evangelista,442.0
Ixhuatlancillo,335.0
Maltrata,391.0
Moloacán,334.0
Yanga,225.0
Santiago Sochiapan,234.0
Mecayapan ,331.0
Tonayán ,128.0
Tepetlán,144.0
Tampico Alto,148.0
Las Vigas de Ramírez,454.0
Tehuipango ,812.0
Texistepec,296.0
Chiconquiaco,262.0
Tlilapan ,118.0
Hidalgotitlán,374.0
Tuxtilla ,44.0
Lerdo de Tejada,196.0
Tres Valles,640.0
Puente Nacional,296.0
Texcatepec ,246.0
Gutiérrez Zamora,310.0
Zontecomatlán de López y Fuentes,296.0
