Municipio,Total
Jamapa,18.0
Villa Aldama,37.0
Soledad Atzompa ,17936.0
Tatahuicapan de Juárez,8818.0
Zentla,19.0
Ixhuacán de los Reyes,41.0
Chicontepec,36365.0
Fortín,497.0
Manlio Fabio Altamirano,51.0
Ixhuatlán del Sureste,202.0
Texhuacán ,3245.0
Tempoal,2381.0
Tequila,11211.0
Jalacingo,88.0
Tatatila ,3.0
Tlaquilpa,6007.0
Zongolica,27311.0
Agua Dulce,328.0
Mecatlán ,9854.0
Zaragoza,3393.0
Zozocolco de Hidalgo,9292.0
La Perla,36.0
Totutla,36.0
Jilotepec,41.0
Tecolutla,927.0
Jesús Carranza,1019.0
Orizaba,2301.0
Tancoco,615.0
Ozuluama de Mascareñas,278.0
Miahuatlán ,6.0
Oluta,121.0
Tamalín,894.0
Rafael Delgado,8946.0
Tantoyuca,46400.0
Filomeno Mata,13650.0
Zacualpan,65.0
Total estatal,644559.0
Paso del Macho,58.0
Emiliano Zapata,205.0
Huayacocotla,912.0
Álamo Temapache,8148.0
Tlalnelhuayocan,43.0
Tamiahua,241.0
Santiago Tuxtla,194.0
Ixhuatlán de Madero,32745.0
Magdalena ,2314.0
Las Minas ,9.0
Tlacolulan,22.0
Tlachichilco,5326.0
Ursulo Galván,67.0
Nautla,70.0
San Andrés Tenejapan ,2043.0
Mariano Escobedo,245.0
Carlos A. Carrillo,40.0
Isla,1178.0
Huiloapan de Cuauhtémoc,182.0
Juan Rodríguez Clara,1050.0
Tomatlán,18.0
Otatitlán,81.0
Los Reyes ,4493.0
Tierra Blanca,2324.0
Playa Vicente,9989.0
San Andrés Tuxtla,688.0
Tuxpan,2381.0
Paso de Ovejas,57.0
Chinameca,276.0
Perote,246.0
Sochiapa ,4.0
Huatusco,241.0
Rafael Lucio,10.0
Tlacojalpan,20.0
Ixtaczoquitlán,3900.0
Xico,77.0
Las Choapas,3487.0
Tlacotepec de Mejía ,5.0
Misantla,261.0
Platón Sánchez,5643.0
Soteapan,24332.0
Castillo de Teayo,1630.0
Tezonapa,8735.0
San Rafael,299.0
Tihuatlán,2687.0
Ixhuatlán del Café,69.0
El Higo,181.0
Chontla,3143.0
Naolinco,37.0
Jalcomulco,14.0
Xalapa,2457.0
Soledad de Doblado,29.0
Tenampa,23.0
Oteapan,925.0
Tlapacoyan,614.0
Ixcatepec,6298.0
Jáltipan,550.0
Chocamán,75.0
Veracruz,3902.0
Ignacio de la Llave,82.0
Tenochtitlán ,8.0
Omealca,927.0
Nanchital de Lázaro Cárdenas del Río,622.0
Uxpanapa,7719.0
Martínez de la Torre,956.0
Juchique de Ferrer,22.0
Poza Rica de Hidalgo,3316.0
Sayula de Alemán,4236.0
Espinal,9073.0
Ilamatlán ,10551.0
Soconusco,174.0
Yecuatla,161.0
Medellín de Bravo,170.0
Mixtla de Altamirano ,8793.0
Pánuco,1445.0
Río Blanco,489.0
Saltabarranca,3.0
Minatitlán,4593.0
Xoxocotla ,1134.0
Papantla,31984.0
Tantima,794.0
Teocelo,33.0
José Azueta,415.0
Chumatlán ,3275.0
Tepetzintla,2002.0
Tlacotalpan,28.0
Naranjal ,265.0
Nogales,1773.0
Hueyapan de Ocampo,9068.0
Ixmatlahuacan,20.0
Vega de Alatorre,80.0
Tepatlaxco,18.0
Landero y Coss ,15.0
Chinampa de Gorostiza,937.0
Pajapan,9025.0
Pueblo Viejo,947.0
Tlalixcoyan,192.0
San Juan Evangelista,325.0
Ixhuatlancillo,5570.0
Maltrata,58.0
Moloacán,126.0
Yanga,73.0
Santiago Sochiapan,4899.0
Mecayapan ,11571.0
Tonayán ,6.0
Tepetlán,6.0
Tampico Alto,121.0
Las Vigas de Ramírez,19.0
Tehuipango ,20142.0
Texistepec,408.0
Chiconquiaco,44.0
Tlilapan ,1646.0
Hidalgotitlán,344.0
Tuxtilla ,7.0
Lerdo de Tejada,34.0
Tres Valles,3325.0
Puente Nacional,52.0
Texcatepec ,6950.0
Gutiérrez Zamora,740.0
Zontecomatlán de López y Fuentes,9929.0
