Municipio,Total
Jamapa,11132.0
Villa Aldama,12492.0
Soledad Atzompa ,24578.0
Tatahuicapan de Juárez,15044.0
Zentla,12581.0
Ixhuacán de los Reyes,11387.0
Chicontepec,53858.0
Fortín,66372.0
Manlio Fabio Altamirano,23918.0
Ixhuatlán del Sureste,15831.0
Texhuacán ,5575.0
Tempoal,34408.0
Tequila,16343.0
Jalacingo,46794.0
Tatatila ,6041.0
Tlaquilpa,7933.0
Zongolica,45028.0
Agua Dulce,44104.0
Mecatlán ,12799.0
Zaragoza,11899.0
Zozocolco de Hidalgo,14524.0
La Perla,28258.0
Totutla,17217.0
Jilotepec,16585.0
Tecolutla,24551.0
Jesús Carranza,28524.0
Orizaba,123182.0
Tancoco,5795.0
Ozuluama de Mascareñas,22756.0
Miahuatlán ,4841.0
Oluta,17027.0
Tamalín,11631.0
Rafael Delgado,24127.0
Tantoyuca,99959.0
Filomeno Mata,19179.0
Zacualpan,6788.0
Total estatal,8.062579e6
Paso del Macho,31894.0
Emiliano Zapata,85489.0
Huayacocotla,21796.0
Álamo Temapache,107270.0
Tlalnelhuayocan,19664.0
Tamiahua,21902.0
Santiago Tuxtla,57085.0
Ixhuatlán de Madero,50836.0
Magdalena ,3299.0
Las Minas ,2934.0
Tlacolulan,11685.0
Tlachichilco,10900.0
Ursulo Galván,30097.0
Nautla,10130.0
San Andrés Tenejapan ,3134.0
Mariano Escobedo,38670.0
Carlos A. Carrillo,23376.0
Isla,42807.0
Huiloapan de Cuauhtémoc,7293.0
Juan Rodríguez Clara,38367.0
Tomatlán,7197.0
Otatitlán,5651.0
Los Reyes ,6308.0
Tierra Blanca,95602.0
Playa Vicente,39327.0
San Andrés Tuxtla,162428.0
Tuxpan,154600.0
Paso de Ovejas,33442.0
Chinameca,22638.0
Perote,77432.0
Sochiapa ,3925.0
Huatusco,59920.0
Rafael Lucio,8343.0
Tlacojalpan,4489.0
Ixtaczoquitlán,74004.0
Xico,39623.0
Las Choapas,81080.0
Tlacotepec de Mejía ,4284.0
Misantla,65761.0
Platón Sánchez,18053.0
Soteapan,34385.0
Castillo de Teayo,20145.0
Tezonapa,54537.0
San Rafael,30351.0
Tihuatlán,92726.0
Ixhuatlán del Café,23132.0
El Higo,19402.0
Chontla,13359.0
Naolinco,22835.0
Jalcomulco,5054.0
Xalapa,488531.0
Soledad de Doblado,28130.0
Tenampa,6448.0
Oteapan,10343.0
Tlapacoyan,61377.0
Ixcatepec,12379.0
Jáltipan,38669.0
Chocamán,20839.0
Veracruz,607209.0
Ignacio de la Llave,16525.0
Tenochtitlán ,5040.0
Omealca,23773.0
Nanchital de Lázaro Cárdenas del Río,29209.0
Uxpanapa,30891.0
Martínez de la Torre,108842.0
Juchique de Ferrer,15059.0
Poza Rica de Hidalgo,189457.0
Sayula de Alemán,32400.0
Espinal,26830.0
Ilamatlán ,13377.0
Soconusco,16574.0
Yecuatla,11205.0
Medellín de Bravo,95202.0
Mixtla de Altamirano ,12125.0
Pánuco,96185.0
Río Blanco,41795.0
Saltabarranca,6126.0
Minatitlán,144776.0
Xoxocotla ,5900.0
Papantla,159910.0
Tantima,11991.0
Teocelo,16957.0
José Azueta,22709.0
Chumatlán ,4008.0
Tepetzintla,14619.0
Tlacotalpan,12898.0
Naranjal ,4614.0
Nogales,37314.0
Hueyapan de Ocampo,41670.0
Ixmatlahuacan,5574.0
Vega de Alatorre,20204.0
Tepatlaxco,8925.0
Landero y Coss ,1543.0
Chinampa de Gorostiza,16283.0
Pajapan,18051.0
Pueblo Viejo,57909.0
Tlalixcoyan,37795.0
San Juan Evangelista,32631.0
Ixhuatlancillo,27295.0
Maltrata,18327.0
Moloacán,16493.0
Yanga,17902.0
Santiago Sochiapan,13062.0
Mecayapan ,17134.0
Tonayán ,6105.0
Tepetlán,9405.0
Tampico Alto,11561.0
Las Vigas de Ramírez,20300.0
Tehuipango ,29686.0
Texistepec,19925.0
Chiconquiaco,13881.0
Tlilapan ,5548.0
Hidalgotitlán,18275.0
Tuxtilla ,2258.0
Lerdo de Tejada,19123.0
Tres Valles,44978.0
Puente Nacional,23544.0
Texcatepec ,10824.0
Gutiérrez Zamora,24085.0
Zontecomatlán de López y Fuentes,14644.0
